angle_deg,level_db
-63.8313746831356,-33.66507400640178
-63.76649036404241,-33.74445173442196
-63.70175481020997,-33.82576078646794
-63.63716692097493,-33.90903267742472
-63.57272560891837,-33.99430019163171
-63.50842979964393,-34.08159743525095
-63.44427843156073,-34.17095989133129
-63.38027045567091,-34.26242447769438
-63.3164048353616,-34.35602960776591
-63.25268054620149,-34.45181525447824
-63.189096575741374,-34.54982301736947
-63.12565192331919,-34.65009619299967
-63.06234559986883,-34.75267984880353
-62.99917662773315,-34.85762090048621
-62.93614404048062,-34.96496819306109
-62.873246882726036,-35.07477258561162
-62.81048420995449,-35.18708703983685
-62.747855088349354,-35.30196671241168
-62.685358594623395,-35.41946905116116
-62.622993815853576,-35.5396538949912
-62.5607598493189,-35.66258357747057
-62.498655802341816,-35.78832303387534
-62.43668079213246,-35.91693991141394
-62.37483394563622,-36.04850468223912
-62.31311439938419,-36.18309075869932
-62.2515212993466,-36.32077461010737
-62.19005380078908,-36.461635880075754
-62.12871106813184,-36.60575750319331
-62.06749227481132,-36.753225819477834
-62.0063966031449,-36.90413068461633
-61.94542324419782,-37.058565573486646
-61.884571397652856,-37.21662767382041
-61.82384027168255,-37.37841796607803
-61.76322908282365,-37.544041284645196
-61.70273705585404,-37.7136063542694
-61.64236342367202,-37.88722579419645
-61.58210742717785,-38.065016080661465
-61.521968315157395,-38.24709745618012
-61.461945344168,-38.43359377134797
-61.40203777842653,-38.62463224149696
-61.342244889699444,-38.8203430964144
-61.28256595719481,-39.02085909622012
-61.22300026745639,-39.22631488021503
-61.163547114259615,-39.43684610777016
-61.10420579850945,-39.652588340806915
-61.04497562814016,-39.87367560573766
-60.985855918016725,-40.100238558406986
-60.9268459898382,-40.332402158094354
-60.86794517204275,-40.57028273536095
-60.8091527997143,-40.81398431281425
-60.75046821449085,-41.06359400700099
-60.69189076447454,-41.319176303051755
-60.63341980414318,-41.5807659509055
-60.57505469426333,-41.84835918300791
-60.51679480180487,-42.12190289910143
-60.45863949985721,-42.40128140638692
-60.40058816754678,-42.68630024755315
-60.342640189956015,-42.97666660328667
-60.284794958043705,-43.271965733891705
-60.22705186856674,-43.57163294887988
-60.16941032400319,-43.87492069766424
-60.11186973247669,-44.18086060780241
-60.054429507681995,-44.48822072654033
-59.997089068811974,-44.79545893174348
-59.93984784048574,-45.10067456570133
-59.882705252677944,-45.40156189651745
-59.825660740649276,-45.695371061384826
-59.76871374487817,-45.978884602503186
-59.7118637109936,-46.24842024666272
-59.65511008970894,-46.49987253213897
-59.598452336756985,-46.72880616741767
-59.54188991282599,-46.93061122171552
-59.485422283496796,-47.10072310654445
-59.42904891918091,-47.234898407250256
-59.37276929505964,-47.32952240826557
-59.31658289102418,-47.38190947550896
-59.260489191616706,-47.39054892586296
-59.20448768597239,-47.355251780437165
-59.14857786776227,-47.27716954493402
-59.092759235137144,-47.15868121057242
-59.037031290672296,-47.003170992468625
-58.981393541313096,-46.814738267215425
-58.92584549832148,-46.59788760467209
-58.870386677223166,-46.357240983628635
-58.81501659775592,-46.097300717430784
-58.759734783818324,-45.822276061690665
-58.70454076341967,-45.53597340598648
-58.649434068630306,-45.24174146161663
-58.594414235533,-44.94245896689027
-58.53948080417492,-44.64055200372713
-58.48463331852037,-44.33802963194292
-58.4298713264043,-44.036529008808294
-58.375194379486445,-43.737363686704754
-58.32060203320617,-43.441570961747146
-58.266093846738144,-43.1499558367299
-58.21166938294838,-42.86313037107162
-58.157328208351295,-42.581547996129
-58.103069893067065,-42.305532872727184
-58.048894010779975,-42.035304648196
-57.994800138696974,-41.77099910479902
-57.94078785750725,-41.512685234026094
-57.886856751342116,-41.2603792594495
-57.83300640773563,-41.01405608992132
-57.77923641758572,-40.773658630819504
-57.72554637511595,-40.53910532356152
-57.67193587783774,-40.310296228155266
-57.61840452651324,-40.087117913008484
-57.56495192511867,-39.869447371680856
-57.51157768080825,-39.65715514796969
-57.45828140387855,-39.450107818320134
-57.4050627077335,-39.24816995347321
-57.35192120884972,-39.05120565881953
-57.29885652674252,-38.859079774446286
-57.24586828393224,-38.67165880072234
-57.19295610591118,-38.48881160289237
-57.14011962111089,-38.310409938069874
-57.08735846087003,-38.136328839819285
-57.03467225940256,-37.966446888853454
-56.98206065376653,-37.80064639295935
-56.9295232838331,-37.63881349487748
-56.87705979225622,-37.48083822328844
-56.82466982444252,-37.32661449917496
-56.7723530285218,-37.17604010747031
-56.72010905531773,-37.029016641999995
-56.66793755831918,-36.885449430179264
-56.615838193651726,-36.745247442658645
-56.563810620049686,-36.60832319209854
-56.51185449882848,-36.47459262441775
-56.45996949385738,-36.343975005182585
-56.40815527153261,-36.21639280326106
-56.35641150075086,-36.0917715734153
