sample,feasible,forward_distance_m,lateral_drift_m,mechanical_work_j,descriptor_duty_factor,descriptor_body_height_std_mm,minimum_torso_height_m,terrain_contact_steps,constraint_fall_m,constraint_drift_m,score,decision_0,decision_1,decision_2,decision_3,decision_4,decision_5,decision_6,decision_7,decision_8,decision_9,decision_10,decision_11,decision_12,decision_13,decision_14,decision_15,decision_16,decision_17,decision_18,decision_19,decision_20,decision_21,decision_22,decision_23,decision_24
1601,1,0.34350985465518236,0.10571468808639864,0.16022859326967212,0.9128472222222223,82.6770994883693,0.31024889243216897,720,-0.16024889243216897,-0.3942853119136014,-0.343189397468643,2.979389755618644,0.7893703303417506,-1.6659154238578535,-0.33053451922098726,0.061135728437807485,2.537043023788928,-0.04185411683705642,0.04333494153371209,3.0067719459069746,-0.08274036192505729,0.6412857971604939,-0.2909749292435566,-0.15239340582997113,0.21142546499097412,0.7972480856799491,-0.49529612765268355,0.3799999735647749,-2.9476142458929884,0.008537693268139912,0.7866938189133653,-0.07797057950848973,0.33511966214961575,0.31085912005458366,2.5174756132620235,-0.2562389494502632
1602,0,0.9296458863071566,0.0055209728710525225,0.9193572479738849,0.17847222222222223,168.38805570110623,0.10199815143790884,257,0.04800184856209115,-0.4944790271289475,1048.0018485620913,1.380365726541512,0.6730441276682066,2.7701666370644773,0.4417187045167249,0.1735513343790993,-1.631332795285233,0.019596675793552953,0.22075309165565554,0.6245096403835064,0.38327655750863576,0.26314458376063304,2.1956820192389648,-0.45581737202157735,0.7894860384083587,-0.6763383918269366,-0.26051467246170346,0.5398128513130191,-3.026237400847835,-0.3821666683526661,0.46594118603694157,0.5801036968576327,0.09149543605488497,0.5965649041354798,1.2892787599269422,-0.5466939990402584
1603,0,0.8987991913466258,0.15063493450642668,0.8770341211887073,0.1986111111111111,168.96598117047222,0.10376336595084708,288,0.046236634049152917,-0.3493650654935733,1046.2366340491528,2.916639140266794,0.43341433797076967,0.5482512233225112,0.04898713875418925,0.7218750735836138,0.9795067778548541,-0.4132467444050514,0.6291612173549228,-2.6672216453547004,-0.3665143290125962,0.5618567386748676,0.8776638990116439,0.4511756482615997,0.47766675578957224,1.0294819925037393,0.49712270953574766,0.11504598864068277,-1.6695984354640176,0.056627183368760825,0.43573761111706893,-0.7946033163316044,0.28812889521681495,0.4130993195918755,-0.7878399081541656,-0.5171197272388862
1604,1,0.3775319193242578,0.15053990680076745,0.08451398117759816,0.9923611111111111,77.99068333120937,0.3127269869154301,720,-0.1627269869154301,-0.34946009319923255,-0.3773628913619026,2.9255440587309893,0.13293965551729894,-1.4410229315319356,-0.3113438431829706,0.04657778200498806,2.7566921777383815,0.3413921575463995,0.2276871456621648,-0.5692482918133104,-0.23685410508848803,0.5120976168652643,-1.5074743956085248,0.016365582876002316,0.6428647816475123,1.3445921082942718,-0.05683635125511466,0.672889633793063,-0.20252006056713556,-0.3631229657952866,0.5973214335980762,-2.6244573280085937,0.27776647498532014,0.40180580960246115,-1.4175548289609712,-0.1588321837664896
1605,0,0.8578351632188412,0.02815246564991583,0.8647103439529616,0.14652777777777778,155.60808270634882,0.10324893598122331,214,0.046751064018776683,-0.4718475343500842,1046.7510640187768,1.6974680294462512,0.6305197459423665,1.7852608062129818,-0.19615130446022477,0.08432380317571164,0.7729972550767972,-0.03908085727981081,0.20393307896933344,1.1029382281313227,-0.5942860731979953,0.2954106380326837,0.5024245350280503,0.7996828932198817,0.4089577242985544,2.3751529914018814,0.34877049780773484,0.5473815071606191,0.40027573579867326,0.012131720553961278,0.7434239608652683,2.219149550853821,0.21580429437519866,0.47925797896509925,-2.938083487372054,0.30107398184950984
1606,0,0.8833111298312684,0.03991424380581262,0.6516116467069668,0.16666666666666666,159.3301435020999,0.10322981665026948,241,0.046770183349730515,-0.4600857561941874,1046.7701833497306,1.2198213280458483,0.12104036082477405,-2.6585619950672266,0.029152398683027214,0.2419940791395023,-0.6111262767299013,0.6780264526978513,0.10318522748764157,1.2673415884850465,0.5099340495653827,0.1600714835394185,-0.05815133337673073,0.012702986502164726,0.1328710199136067,-1.3747073584660916,0.5104433689124502,0.14889510201027845,-0.49381253431914995,0.19496090039697367,0.6130376812263145,-2.919337346098152,-0.4744316072099469,0.5653006779319202,2.3751310681917595,0.528513939043329
1607,1,0.39262849410973166,0.056638998469463075,0.07820721565101935,0.9965277777777778,79.48578650157395,0.3485751086844418,720,-0.1985751086844418,-0.4433610015305369,-0.3924720796784296,2.909673415840555,0.6596455773260912,-0.4840347330182313,-0.3177439590806312,0.19920815169351727,1.197701044962205,-0.012446823360991233,0.6450947263104236,-1.475331961597398,0.18599864030745694,0.6104033206168245,1.4405069654312692,-0.2817140980145464,0.11662444365784852,-0.5388526431574476,-0.4504214828216807,0.0342725403279327,-2.538759996096113,0.12757145979818318,0.3546965642378149,1.3918042607511687,0.06298253135208554,0.7390608275692616,2.6796634396424084,-0.0651850462177812
1608,1,0.4411082935528613,0.10077978322306494,0.26450739022579267,0.8607638888888889,115.25218531851681,0.31100087667123305,720,-0.16100087667123306,-0.3992202167769351,-0.4405792787724097,1.5068750499532748,0.36511062310030856,3.111037524253722,0.7949260637319496,0.5684216616796308,0.8333141380457798,0.5338262088072411,0.46293550517779025,-1.7133039416207305,-0.10169293426084486,0.44132759859115417,2.48665769837363,-0.2715747400571259,0.272270356423039,1.2879924186102478,-0.34458823740200223,0.7025102964912522,-1.0302054603738116,0.7877482025938548,0.6275760249343502,-0.6624127895478877,-0.3052992164467725,0.2863030492709628,2.7765352904425535,-0.19074052422269017
1609,0,0.8971913265779121,0.001891016726347606,0.8486279274267714,0.1673611111111111,160.38986718117835,0.10319519602057815,241,0.04680480397942184,-0.4981089832736524,1046.8048039794219,1.5199710482419286,0.11885835182067198,1.080369107593266,-0.2288773830301224,0.7735826676642583,-0.723951763044858,-0.40579111925489464,0.6919558979197155,-1.2040235742137446,0.7372989728715523,0.713459235428865,-0.15395633043435142,-0.29934128083309247,0.12685016880389696,-1.2275718996389302,0.4096727572680313,0.2645269303297639,-0.8843165088379821,0.10327611715143103,0.48202805705786606,-1.6938103888224008,0.48925379152128856,0.29637873893658473,1.9340505160471881,-0.23561952701958933
1610,0,0.8169945914661858,0.12758418665916657,0.7131143363814212,0.14097222222222222,146.90187782861014,0.10327264044359165,208,0.046727359556408346,-0.3724158133408334,1046.7273595564084,1.146900590436541,0.7466610202441016,0.9826891177068582,-0.55372878690725,0.6802383743613336,2.3610945747099192,0.501062168877998,0.5607086760737845,-3.0249921112847518,-0.10910555196894844,0.5362642388001538,-0.9568914702550098,-0.24917187417753262,0.5106128956196186,2.1996877893697633,0.6047088518001843,0.7098889009037189,1.749378196315952,0.7601953659849933,0.42374991546088464,1.4410861134251567,0.42724000943845153,0.20436863302377697,2.7567818191483022,-0.3662101365001107
1611,1,0.37220339224589444,0.11835823122437707,0.207555415157386,0.9913194444444444,93.76095597043573,0.28656075018374916,720,-0.13656075018374916,-0.38164176877562295,-0.3717882814155797,2.440644641345661,0.15778486018357596,1.7244317415379138,-0.5067373802220894,0.026046555856410247,2.9936658113607404,-0.2979322122953798,0.6591030834552134,-1.6811486003743414,0.0677601409077363,0.6893953484375727,3.0390344675897722,0.28318900962913396,0.2173443812546445,-2.5015118108572074,0.03409326514768318,0.5486938352007866,2.667004647179061,-0.023398417287505358,0.268872031603604,1.0529673158048176,-0.3177505342980079,0.7944405145914507,0.8806094171072427,0.31982678766697203
1612,0,0.8447994614460521,0.0010722434220493144,0.8989197638618567,0.16006944444444443,147.3479526777274,0.10335593913002418,231,0.046644060869975815,-0.4989277565779507,1046.6440608699759,1.7699988097128287,0.5827092324363521,-2.9980315439524006,0.6693869839682604,0.23863769216668188,-0.10549334148404332,-0.2832284628398857,0.6050454490516656,0.9691446241970141,0.6197922118161098,0.2689893538251553,0.6744472680725866,-0.5813223483130028,0.2739960962174367,-2.2785906556229403,-0.5282638207917055,0.6728602464401462,-1.0629440477086622,0.5605675570103076,0.44502528911002814,-1.4302593161939812,0.4606972865940139,0.7187957868562962,-0.22993336374765505,-0.015159782105146569
1613,0,0.851402244186912,0.0037699305271433267,0.719472417434484,0.16111111111111112,149.67055448267735,0.10239301739719808,232,0.04760698260280191,-0.4962300694728567,1047.606982602802,2.030275230138739,0.7040032977595018,2.2775437835209615,-0.2580313372585088,0.3471602736419994,-1.1156188881175502,0.11285753072304638,0.4799312966494137,2.0746974034974945,0.5622236430195166,0.26890373576387205,-2.008688670756588,-0.28696280392233964,0.4884604820102183,0.2634284200818797,0.7170488681938275,0.4156353104878682,1.0957978860614253,0.2656559210355067,0.613740521935866,2.3307174687836048,0.7964691228357742,0.24882097066724285,-2.1460436964152194,0.29606553155695636
1614,1,0.4273688778634294,0.13138180301358193,0.18776302065047942,0.9809027777777778,96.36942237962622,0.31312156299291194,720,-0.16312156299291194,-0.36861819698641807,-0.42699335182212844,1.6691040682948914,0.15950632261681666,1.0524967105648972,0.7801688284714897,0.3038647299194536,-1.28089563618915,0.5688468194871664,0.7876882494440713,2.4883845910965503,0.7608260786992408,0.054544189735289274,2.648881769255434,0.04868765613632087,0.6505170342944706,1.000578675346027,0.3578610873353478,0.12515842601367452,-2.0879606706595535,0.13127015343283277,0.6137990262841115,1.2741880512916115,0.5736238471704994,0.7184580317275882,-1.6131388627553545,0.3112137583632508
1615,0,0.9010953845940397,0.026333021220033993,0.66180268503109,0.17777777777777778,165.00546536589246,0.10317245171823762,257,0.046827548281762374,-0.473666978779966,1046.8275482817623,0.607423491461577,0.6775515774427429,0.5732799413096252,-0.0416303472717674,0.01706908097487574,-2.583350460005673,-0.4905870473315746,0.7674959372422849,0.6901203303972245,0.6491915777728375,0.3290158949398735,2.7893931149883633,0.5173554469189882,0.46338296235154197,-0.18168772680551593,0.6876789882005979,0.17130363981527985,-2.669965749588531,0.11767003356377292,0.5816152746909681,-0.5022511267117444,0.7404431350136814,0.5320525583527947,-1.306564633464481,-0.0935851894848585
1616,0,0.684023247677229,0.007808057182024115,0.6170902920556058,0.13402777777777777,118.08608643601141,0.10195905769111997,194,0.04804094230888002,-0.4921919428179759,1048.04094230888,0.7590738044313103,0.1558516458381507,-1.4807896626598307,-0.5271878236580704,0.7966380338008388,-0.05424054494992925,-0.2561957413349269,0.03993595967264057,2.759283817889016,0.03242425658597292,0.6308820839111783,-1.0310343892536529,0.3397046520516107,0.3829856273304323,1.0704801069806837,-0.2309972896585174,0.6040708840784279,-2.390511809253292,0.16028622597336717,0.16684765837908808,0.7960635243687899,0.28847170282775014,0.6329604966907151,1.5316294495991798,0.4490861848011162
1617,0,0.678130491621438,0.002319532775084254,0.7157027491353071,0.13541666666666666,115.65636560445262,0.10211162427544627,195,0.04788837572455372,-0.49768046722491577,1047.8883757245537,1.3209926906401266,0.7545951455216257,-1.6346314124618517,-0.1522493036331985,0.008359243381188364,-2.23789137074645,0.5607573822030038,0.7335421515495683,-1.593954317723052,0.3547491749734113,0.7919679942429615,-2.7211612575671262,0.4370619154560992,0.024605914967968268,0.14665984143822097,0.6371863597265751,0.48348875675877867,-2.214970403111332,-0.0896299784906146,0.31826151995022256,-0.7900423824540166,-0.5589754965437449,0.1956156681654247,-2.2538952177984246,0.4653540944454876
1618,0,0.8542765618958577,0.002004376979312797,0.7186338293012458,0.16319444444444445,150.24167207893254,0.10210942943531004,235,0.047890570564689955,-0.49799562302068723,1047.89057056469,0.5123587909829401,0.19965612870782287,0.6261544630525351,-0.17644685622523304,0.21878914203296934,2.807847265807669,-0.2975325006314953,0.35690274255191756,-3.1025285638082494,0.4701748863287424,0.5663542317185896,-2.600178185973614,0.04509541654738103,0.08288251483480123,-2.2452634468285453,-0.18704020596819987,0.1106770341433106,0.46399465293226516,0.5787855754796324,0.7190168413117739,0.16352042094497055,-0.522665649634891,0.6117927469208086,2.658921500023406,0.0027158944100940108
1619,1,0.37228758655008287,0.09362796066784584,0.2206333096500732,0.9131944444444444,89.7005731205793,0.308227297795653,720,-0.158227297795653,-0.40637203933215416,-0.3718463199307827,2.846770530805956,0.7203923979922959,-3.0967498537771374,0.050661055762285745,0.767953118449209,1.368964069972061,-0.1261979413368623,0.63859576254421,0.6560681815890255,-0.37518919871699846,0.590885908414917,1.0034305241642691,-0.2199192840929154,0.26921304129305845,1.1505741704610406,0.0738983098642626,0.21742560779312914,-0.7125824386566686,0.003909463141579583,0.41249125137128567,2.641637232526251,0.26212167243445406,0.3719397605314275,-1.756749966469223,0.029095409349486623
1620,0,1.0274441255183118,0.10737703051582823,0.6735675049315125,0.2677083333333333,215.2910659028049,0.10365704256682383,351,0.046342957433176166,-0.39262296948417175,1046.3429574331763,2.76442197808557,0.14389998684186764,-2.5533970381815276,0.3691835287775296,0.7059111286205402,2.281463583485463,-0.15223027952228257,0.5752360587690911,-1.0621783826218074,-0.5481487673344504,0.4691586463302561,1.088987698638964,0.44870037059035595,0.019175995982372296,-2.3280741579813595,0.196045444835667,0.10162466341889323,-1.2331065574669742,0.3937512547654688,0.6081876220962501,-1.4191856260777387,0.4547205650615841,0.33808609441311344,0.6390716314455629,0.4096343024093946
1621,1,0.333115565512343,0.13484448979634778,0.1414062564650382,0.9527777777777777,74.14641247556278,0.31258017795215054,720,-0.16258017795215055,-0.3651555102036522,-0.33283275299941295,2.3631811941121352,0.5502896702081017,0.047178216510272986,0.15002409612084622,0.22733938886353755,2.9019469777460136,-0.4387049947052842,0.4297063055403423,0.1358759957949891,0.4981732565548408,0.39844753854187687,1.0371358856819644,-0.09986456713554204,0.7992507186168932,2.7911251120865064,-0.4957584710184459,0.43720762033986926,-3.0598047268588875,-0.17821694683092681,0.03518131427922029,-0.5285992894260647,0.19736856476712517,0.4396308044879671,1.1906997151243148,0.5101455621047825
1622,1,0.3915434096919832,0.0963193676932782,0.24718435440463096,0.8770833333333333,97.08454936558616,0.3124570849244178,720,-0.16245708492441782,-0.4036806323067218,-0.39104904098317395,0.5110646385522389,0.34777775372256275,1.584232341132946,0.5248286615818117,0.6552740137399221,-1.3504996421092552,0.5987197153901734,0.42951268517723923,-1.4189113315970137,0.11454038123715016,0.27385967721880083,3.0368203277295214,-0.27314823919970255,0.6815930189913958,1.9360642492875728,0.7290680980234224,0.1639448738285455,-2.7347338832922965,-0.23713679862459242,0.12153870761640331,0.24061852568603115,0.630807983137624,0.65503739725118,1.0699978103619525,0.432422394732045
