accepted_candidates,best_mga_score,portfolio_size,portfolio_score_sum,niches,cumulative_worker_seconds
52,1278762.7601553488,20,17433194.808709476,51,135871.14999651205
53,1278762.7601553488,20,17433194.808709476,52,139699.22915732805
54,1278762.7601553488,20,17433194.808709476,53,143507.35354137604
55,1278762.7601553488,20,17433194.808709476,54,146346.34652924805
56,1278762.7601553488,20,17773142.180924207,55,147936.91397777604
57,1278762.7601553488,20,17773142.180924207,56,149135.78886542405
58,1278762.7601553488,20,18082655.045448724,57,150683.88709614406
59,1278762.7601553488,20,18082655.045448724,58,156556.18316961607
60,1278762.7601553488,20,18082655.045448724,59,159033.59100316805
61,1278762.7601553488,20,18410874.051864658,60,161159.13733251207
62,1278762.7601553488,20,18410874.051864658,61,162911.12442928005
63,1278762.7601553488,20,18410874.051864658,62,167039.67466051204
64,1278762.7601553488,20,18410874.051864658,63,170690.06031633605
65,1278762.7601553488,20,18410874.051864658,64,173342.49376432004
66,1278762.7601553488,20,18410874.051864658,65,174997.41914888003
67,1278762.7601553488,20,18487679.58016097,66,178455.26989558403
68,1278762.7601553488,20,18487679.58016097,67,184549.57919870404
69,1278762.7601553488,20,18487679.58016097,68,187244.84955825604
70,1278762.7601553488,20,18487679.58016097,69,189294.79102172804
71,1278762.7601553488,20,18688272.725940447,69,191555.17402713603
72,1278762.7601553488,20,19125546.079925492,70,193530.34713720003
73,1278762.7601553488,20,19125546.079925492,71,198558.00751486403
74,1278762.7601553488,20,19415113.53834149,72,201631.44040132803
75,1278762.7601553488,20,19679213.773886155,73,206213.60476500803
76,1278762.7601553488,20,19679213.773886155,74,209216.89029849603
77,1278762.7601553488,20,19781032.99489894,75,212218.87670272004
78,1278762.7601553488,20,19781032.99489894,76,216942.90316308805
79,1278762.7601553488,20,19781032.99489894,77,220601.12575196804
80,1278762.7601553488,20,20112803.720430564,78,222159.32200742402
81,1278762.7601553488,20,20112803.720430564,79,226024.853772016
82,1278762.7601553488,20,20524000.490924057,80,227509.10451993602
83,1278762.7601553488,20,20879249.001420457,81,229204.13140852802
84,1278762.7601553488,20,20879249.001420457,82,232893.71051182403
85,1278762.7601553488,20,20879249.001420457,83,236542.23062521603
86,1278762.7601553488,20,20879249.001420457,84,237908.23949153602
87,1278762.7601553488,20,21152362.057366017,85,239601.67972846402
88,1278762.7601553488,20,21152362.057366017,86,243428.222114272
89,1278762.7601553488,20,21195489.047516935,87,245768.068235632
90,1278762.7601553488,20,21471998.85849422,88,247721.864807184
91,1278762.7601553488,20,21703932.68102635,89,250560.303468544
92,1278762.7601553488,20,21703932.68102635,90,252903.862991056
93,1278762.7601553488,20,21703932.68102635,91,255561.851512336
94,1278762.7601553488,20,21703932.68102635,92,258562.195934832
95,1278762.7601553488,20,21703932.68102635,93,261731.088150736
96,1278762.7601553488,20,21703932.68102635,94,264886.512344784
97,1278762.7601553488,20,21820581.99948423,94,269602.761628576
98,1278762.7601553488,20,21901995.33965219,95,272039.467377536
99,1278762.7601553488,20,21901995.33965219,96,276151.776056224
100,1278762.7601553488,20,22140497.510948338,97,279249.220123104
