niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_period_train,descriptor_amplitude_train,descriptor_period_validation,descriptor_amplitude_validation,validation_niche_id,same_niche,visit_count,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
278,18,13,9.77269001398188,9.451069638683947,59.06099455451334,13821.75,54.95974346747552,6838.375,136,0,60,1.1989700043360187,2.841787463857102,-2.0221412591016645,2.00939527695047,1.5933780901068009,1.1649362758436508,0.5777793044248876,-0.8010299956639813,-0.08177330987248049,-1.1538347946087288,-0.29235991230601466,0.2586682016648967,0.19933903115967494,1.7848409415057056,2.2699762237834613
310,10,15,9.780046136053379,9.98193917694683,38.76866283268745,15185.25,39.286282599699945,15572.5,311,0,35,1.583802163302436,3.052878607539119,-1.9668044865846348,2.190448434034979,1.6998092779582714,1.1836455195261484,0.6820930045854706,-0.7699083128771342,-0.08925702505151456,-0.6154964653313013,0.1720119747465854,-0.01458247019814879,0.8010299956639813,1.5670178932289298,2.034689991486547
181,1,9,9.786431433174467,10.039352709163731,13.551283496148525,9173.75,13.931050803955687,9065.125,182,0,25,1.6744702705632692,2.9540359856546337,-2.14499391894652,2.1989700043360187,1.8797699377695327,1.1935632308517026,0.607266246172348,-0.28863110283880444,0.20994863416992093,-0.5061953779752076,0.32368425364682274,0.4394917064911574,-0.07475571457130098,1.4749860824057426,2.1357998432863665
277,17,13,9.888811930581012,10.34935507182074,56.51069198687633,13296,45.499626444839585,14420.125,293,0,28,1.6366873220142815,3.165357149500889,-1.5176685629264575,2.1989700043360187,1.610324335517411,1.004256854276532,0.7919790853729527,-0.709188606554058,-0.1063750700386795,-0.8326250726037924,-0.21513658708513345,0.12939309038123517,0.4193886080909635,1.2597998598371456,1.9212666645531158
276,16,13,9.932463494050586,10.21812168607671,53.776323241468916,13495.25,50.1841265904728,13225.75,275,0,38,1.4099727133803117,2.9309536504338802,-1.5688430289206308,2.118081466431282,1.7869227382636377,1.187246834771234,0.7652794266309226,-0.7674045999417982,-0.05400820113575604,-0.8113830236111031,-0.14196525789367437,-0.10160532021400917,0.14270257118168078,1.601581184221032,2.1563787363269227
279,19,13,9.937100631551846,10.834586419868122,64,13709.75,61.52993340468293,14791.875,299,0,108,1.1989700043360187,2.9543947937303368,-2.0737431224483,1.9989041099492537,1.6487313946295308,1.1989700043360187,0.5964385104067484,-0.796685810364506,-0.008547731390706258,-1.036516947429507,-0.4646202616402318,0.22689793521721807,0.2522326781504095,1.7145226427901503,2.2672250096801703
309,9,15,9.945180562293395,9.444905029034995,33.3205764202863,15367.5,38.42149165592026,14797.625,290,0,27,1.2272801376059792,2.96085407875346,-1.8726862135096105,2.1989700043360187,1.774529617768086,1.185894454366389,0.5783766173640987,-0.6332971966637997,0.057392515984707106,-0.7296520753639051,0.3765256390893428,-0.001542954533518305,0.8010299956639813,1.6616494278652716,1.8039616134268999
299,19,14,10.043146716547753,9.78652385521851,64,14082,53.681462097903335,9946,196,0,122,1.254860593740389,2.911782992875628,-2.0543340068163913,1.9948291020135775,1.6794732793911926,1.1989700043360187,0.5783441606831979,-0.7742105119643068,-0.052697998154176605,-1.038389909330501,-0.5,0.2922988624628466,0.27446345239348485,1.7147294807224782,2.2415554708202716
333,13,16,10.11598479834966,9.454452898174004,45.65322823805674,16904,49.31418971926625,16166.625,334,0,17,1.326244768503826,3.084845850545681,-2.0177846380378353,2.198912987095108,1.691253444237456,1.1678802392328955,0.699215746775461,-0.8010299956639813,0.02667751511065866,-0.8292994691339575,0.4078203044817431,-0.2287071759087509,0.40765815753608914,1.7700784994124805,1.709926071781358
294,14,14,10.140650490163392,10.33384191001184,47.841829695385904,14041.75,50.02133302584861,13992.125,275,0,38,1.2594396985694736,3.0076500397750285,-1.960643388972885,2.186088389026227,1.669167453091868,1.1457992523946003,0.6727731048383798,-0.7453044332632418,0.026117626897842895,-0.8412066986490248,0.2483166112423928,-0.21319745334612342,0.4277723559941892,1.5862845013028675,1.5801904746409547
