i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
36,1,4.562500000,0.187500000,0,0.021176614,-0.002465095,-0.003736614,0.023761615,0.300000000,0.250000000
37,1,4.687500000,0.187500000,0,0.030008581,-0.003213722,-0.008087054,0.022949079,0.300000000,0.250000000
38,1,4.812500000,0.187500000,0,0.018684896,0.011542672,-0.004676145,0.021181489,0.300000000,0.250000000
39,1,4.937500000,0.187500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
0,2,0.062500000,0.312500000,0,0.074052388,0.000000000,-0.000000000,0.000000000,0.300000000,0.250000000
1,2,0.187500000,0.312500000,0,0.069153368,0.010855115,0.007190199,0.000000604,0.300000000,0.250000000
2,2,0.312500000,0.312500000,0,0.071711014,0.014572480,0.006651036,0.000002342,0.300000000,0.250000000
3,2,0.437500000,0.312500000,0,0.064171580,0.007423832,0.005813519,0.000006205,0.300000000,0.250000000
4,2,0.562500000,0.312500000,0,0.054945955,0.004237211,0.004563173,0.000013934,0.300000000,0.250000000
5,2,0.687500000,0.312500000,0,0.049883897,0.005431889,0.004840618,0.000028134,0.300000000,0.250000000
6,2,0.812500000,0.312500000,0,0.046977405,0.004256190,0.004927027,0.000052556,0.300000000,0.250000000
7,2,0.937500000,0.312500000,0,0.043220023,0.002887661,0.004551372,0.000092445,0.300000000,0.250000000
8,2,1.062500000,0.312500000,0,0.039740838,0.002241624,0.004344430,0.000154192,0.300000000,0.250000000
9,2,1.187500000,0.312500000,0,0.037478545,0.002129519,0.004400065,0.000245405,0.300000000,0.250000000
10,2,1.312500000,0.312500000,0,0.035737505,0.001482537,0.004307376,0.000374715,0.300000000,0.250000000
11,2,1.437500000,0.312500000,0,0.034173452,0.001005051,0.004173845,0.000551310,0.300000000,0.250000000
12,2,1.562500000,0.312500000,0,0.033069080,0.000722960,0.004124452,0.000783965,0.300000000,0.250000000
13,2,1.687500000,0.312500000,0,0.032400413,0.000449221,0.004091584,0.001080384,0.300000000,0.250000000
14,2,1.812500000,0.312500000,0,0.032082088,0.000017431,0.003989709,0.001446224,0.300000000,0.250000000
15,2,1.937500000,0.312500000,0,0.032166679,-0.000321688,0.003873726,0.001884933,0.300000000,0.250000000
16,2,2.062500000,0.312500000,0,0.032632130,-0.000634763,0.003807331,0.002396774,0.300000000,0.250000000
17,2,2.187500000,0.312500000,0,0.033480228,-0.001030075,0.003730769,0.002977667,0.300000000,0.250000000
18,2,2.312500000,0.312500000,0,0.034818689,-0.001485316,0.003533369,0.003621013,0.300000000,0.250000000
19,2,2.437500000,0.312500000,0,0.036658497,-0.001841582,0.003347346,0.004318612,0.300000000,0.250000000
20,2,2.562500000,0.312500000,0,0.039070164,-0.002509468,0.003213625,0.005057683,0.300000000,0.250000000
21,2,2.687500000,0.312500000,0,0.041988968,-0.002966287,0.002928180,0.005827504,0.300000000,0.250000000
22,2,2.812500000,0.312500000,0,0.045352434,-0.003328108,0.002590233,0.006617914,0.300000000,0.250000000
23,2,2.937500000,0.312500000,0,0.049611402,-0.003976652,0.002238787,0.007415757,0.300000000,0.250000000
24,2,3.062500000,0.312500000,0,0.054529680,-0.004416660,0.001689755,0.008218995,0.300000000,0.250000000
25,2,3.187500000,0.312500000,0,0.059757430,-0.004600658,0.001183884,0.009033268,0.300000000,0.250000000
26,2,3.312500000,0.312500000,0,0.065029056,-0.004476183,0.000604058,0.009854616,0.300000000,0.250000000
27,2,3.437500000,0.312500000,0,0.069997583,-0.003629393,-0.000195338,0.010697072,0.300000000,0.250000000
28,2,3.562500000,0.312500000,0,0.074981636,-0.003122744,-0.001030126,0.011597219,0.300000000,0.250000000
29,2,3.687500000,0.312500000,0,0.078384881,-0.001814511,-0.001824519,0.012577642,0.300000000,0.250000000
30,2,3.812500000,0.312500000,0,0.079256600,-0.000673881,-0.001981091,0.013667755,0.300000000,0.250000000
31,2,3.937500000,0.312500000,0,0.079547463,0.001956593,-0.003058638,0.014893654,0.300000000,0.250000000
32,2,4.062500000,0.312500000,0,0.078374308,0.002598640,-0.003992491,0.016329529,0.300000000,0.250000000
33,2,4.187500000,0.312500000,0,0.074088835,0.002400613,-0.003451767,0.017976738,0.300000000,0.250000000
34,2,4.312500000,0.312500000,0,0.070216468,0.004625815,-0.003557764,0.019651308,0.300000000,0.250000000
35,2,4.437500000,0.312500000,0,0.070107569,0.004481524,-0.005592293,0.021383344,0.300000000,0.250000000
36,2,4.562500000,0.312500000,0,0.064774494,-0.001797000,-0.005021169,0.022880043,0.300000000,0.250000000
37,2,4.687500000,0.312500000,0,0.052387123,0.001698373,-0.001756068,0.022619957,0.300000000,0.250000000
38,2,4.812500000,0.312500000,0,0.060506455,0.014710516,-0.004720304,0.015117032,0.300000000,0.250000000
39,2,4.937500000,0.312500000,0,0.090508474,0.014702401,0.000000000,0.000000000,0.300000000,0.250000000
0,3,0.062500000,0.437500000,0,0.074052388,0.000000000,-0.000000000,0.000000000,0.300000000,0.250000000
1,3,0.187500000,0.437500000,0,0.070028693,0.004324130,0.005415230,0.000000387,0.300000000,0.250000000
2,3,0.312500000,0.437500000,0,0.074173230,0.015884027,0.006869708,0.000001527,0.300000000,0.250000000
3,3,0.437500000,0.437500000,0,0.074905466,0.012446796,0.005775674,0.000004080,0.300000000,0.250000000
4,3,0.562500000,0.437500000,0,0.071631837,0.010672691,0.004610519,0.000009290,0.300000000,0.250000000
5,3,0.687500000,0.437500000,0,0.068332345,0.008664179,0.004869659,0.000019113,0.300000000,0.250000000
6,3,0.812500000,0.437500000,0,0.065362132,0.007736318,0.005025863,0.000036441,0.300000000,0.250000000
7,3,0.937500000,0.437500000,0,0.061863694,0.006602934,0.004585709,0.000065323,0.300000000,0.250000000
8,3,1.062500000,0.437500000,0,0.058573048,0.005362757,0.004309498,0.000110876,0.300000000,0.250000000
9,3,1.187500000,0.437500000,0,0.056057747,0.004265306,0.004433805,0.000179590,0.300000000,0.250000000
10,3,1.312500000,0.437500000,0,0.053859425,0.003459912,0.004394543,0.000278968,0.300000000,0.250000000
11,3,1.437500000,0.437500000,0,0.051815125,0.002641379,0.004184539,0.000416921,0.300000000,0.250000000
12,3,1.562500000,0.437500000,0,0.050286103,0.001824781,0.004117667,0.000601269,0.300000000,0.250000000
13,3,1.687500000,0.437500000,0,0.049340284,0.001064127,0.004125574,0.000839469,0.300000000,0.250000000
14,3,1.812500000,0.437500000,0,0.048766846,0.000300281,0.004011698,0.001137487,0.300000000,0.250000000
15,3,1.937500000,0.437500000,0,0.048543509,-0.000480103,0.003892737,0.001498896,0.300000000,0.250000000
16,3,2.062500000,0.437500000,0,0.048867500,-0.001306335,0.003839500,0.001924092,0.300000000,0.250000000
17,3,2.187500000,0.437500000,0,0.049812398,-0.002201063,0.003705584,0.002411238,0.300000000,0.250000000
18,3,2.312500000,0.437500000,0,0.051247199,-0.003106942,0.003528509,0.002956429,0.300000000,0.250000000
