station,satellite,open_seconds,close_seconds,duration_seconds,accepted
Fairbanks,SAT-1,25455.468750,25629.140625,173.671875,false
Troll,SAT-4,25566.328125,25984.687500,418.359375,true
Svalbard,SAT-1,25848.750000,26187.890625,339.140625,true
Svalbard,SAT-2,27111.562500,27326.484375,214.921875,true
Troll,SAT-3,27307.031250,27583.125000,276.093750,true
Svalbard,SAT-4,27922.968750,28326.093750,403.125000,true
Troll,SAT-1,28450.781250,28554.843750,104.062500,false
Singapore,SAT-2,28451.484375,28829.296875,377.812500,true
Svalbard,SAT-3,29779.687500,30061.875000,282.187500,true
Cordoba,SAT-2,30841.640625,31005.703125,164.062500,false
Fairbanks,SAT-1,30905.859375,31313.906250,408.046875,true
Troll,SAT-4,31185.000000,31560.703125,375.703125,true
Svalbard,SAT-1,31471.171875,31875.468750,404.296875,true
Svalbard,SAT-2,32798.906250,33025.312500,226.406250,true
Hartebeesthoek,SAT-1,33104.531250,33516.093750,411.562500,true
Cordoba,SAT-3,33538.593750,33898.593750,360.000000,true
Svalbard,SAT-4,33608.437500,33946.406250,337.968750,true
Troll,SAT-1,33875.625000,34231.406250,355.781250,true
Svalbard,SAT-3,35504.765625,35712.656250,207.890625,true
Fairbanks,SAT-1,36556.171875,36912.187500,356.015625,true
Singapore,SAT-3,36825.703125,37221.093750,395.390625,true
Troll,SAT-4,36836.484375,37023.046875,186.562500,true
Svalbard,SAT-1,37087.968750,37510.312500,422.343750,true
Svalbard,SAT-2,38441.250000,38751.562500,310.312500,true
Svalbard,SAT-4,39331.171875,39578.437500,247.265625,true
Troll,SAT-1,39432.890625,39855.234375,422.343750,true
Svalbard,SAT-3,41188.359375,41415.000000,226.640625,true
Svalbard,SAT-1,42700.781250,43090.312500,389.531250,true
Cordoba,SAT-4,43021.875000,43429.218750,407.343750,true
Fairbanks,SAT-2,43527.187500,43902.656250,375.468750,true
Svalbard,SAT-2,44066.015625,44453.203125,387.187500,true
Svalbard,SAT-4,45047.812500,45244.921875,197.109375,true
Troll,SAT-1,45095.390625,45461.250000,365.859375,true
Hartebeesthoek,SAT-2,45753.515625,46079.765625,326.250000,true
Singapore,SAT-4,46330.312500,46718.437500,388.125000,true
Troll,SAT-2,46511.250000,46820.156250,308.906250,true
Svalbard,SAT-3,46827.890625,47141.718750,313.828125,true
Svalbard,SAT-1,48307.500000,48623.906250,316.406250,true
Fairbanks,SAT-2,49121.250000,49520.390625,399.140625,true
Svalbard,SAT-2,49683.984375,50105.859375,421.875000,true
Svalbard,SAT-4,50711.484375,50963.437500,251.953125,true
Troll,SAT-1,50900.156250,51013.125000,112.968750,false
Hartebeesthoek,SAT-2,51465.937500,51571.406250,105.468750,false
Fairbanks,SAT-3,51904.453125,52289.765625,385.312500,true
Troll,SAT-2,52035.468750,52450.546875,415.078125,true
Svalbard,SAT-3,52451.484375,52841.484375,390.000000,true
Svalbard,SAT-1,53899.687500,54133.125000,233.437500,true
Hartebeesthoek,SAT-3,54120.468750,54476.718750,356.250000,true
Troll,SAT-3,54885.468750,55207.734375,322.265625,true
Svalbard,SAT-2,55297.734375,55703.203125,405.468750,true
Cordoba,SAT-1,55677.187500,56091.796875,414.609375,true
Fairbanks,SAT-4,55907.343750,56142.890625,235.546875,true
Svalbard,SAT-4,56342.578125,56685.468750,342.890625,true
Fairbanks,SAT-3,57510.937500,57902.343750,391.406250,true
Troll,SAT-2,57664.687500,58061.718750,397.031250,true
Singapore,SAT-1,57996.562500,58395.234375,398.671875,true
Svalbard,SAT-3,58068.515625,58490.859375,422.343750,true
Troll,SAT-4,58899.140625,59070.000000,170.859375,false
Svalbard,SAT-1,59454.375000,59662.031250,207.656250,true
Troll,SAT-3,60417.656250,60835.546875,417.890625,true
Svalbard,SAT-2,60906.328125,61250.156250,343.828125,true
Fairbanks,SAT-4,61391.015625,61805.625000,414.609375,true
Svalbard,SAT-4,61962.656250,62369.296875,406.640625,true
Troll,SAT-2,63411.562500,63644.296875,232.734375,true
Hartebeesthoek,SAT-4,63591.093750,64005.468750,414.375000,true
Svalbard,SAT-3,63681.562500,64085.156250,403.593750,true
Troll,SAT-4,64353.046875,64725.234375,372.187500,true
Svalbard,SAT-1,64967.812500,65237.812500,270.000000,true
Troll,SAT-3,66054.375000,66444.843750,390.468750,true
Svalbard,SAT-2,66504.140625,66764.062500,259.921875,true
Fairbanks,SAT-4,67064.062500,67392.890625,328.828125,true
Svalbard,SAT-4,67578.046875,67999.453125,421.406250,true
Cordoba,SAT-2,68315.390625,68665.078125,349.687500,true
Svalbard,SAT-3,69289.218750,69629.765625,340.546875,true
Troll,SAT-4,69922.968750,70345.078125,422.109375,true
Svalbard,SAT-1,70485.000000,70838.671875,353.671875,true
Singapore,SAT-2,70657.265625,70942.031250,284.765625,true
Fairbanks,SAT-1,71012.578125,71356.875000,344.296875,true
Troll,SAT-3,71812.734375,72021.562500,208.828125,true
Svalbard,SAT-2,72073.125000,72281.953125,208.828125,true
Svalbard,SAT-4,73188.984375,73575.234375,386.250000,true
Troll,SAT-1,73719.843750,73970.625000,250.781250,true
Cordoba,SAT-2,74020.078125,74175.000000,154.921875,false
Hartebeesthoek,SAT-1,74461.640625,74778.046875,316.406250,true
Svalbard,SAT-3,74885.390625,75143.203125,257.812500,true
Troll,SAT-4,75599.296875,75946.406250,347.109375,true
Svalbard,SAT-1,76039.453125,76448.906250,409.453125,true
Fairbanks,SAT-1,76605.234375,77021.953125,416.718750,true
Cordoba,SAT-3,76685.859375,77058.515625,372.656250,true
Svalbard,SAT-2,77596.171875,77843.437500,247.265625,true
Svalbard,SAT-4,78793.125000,79106.250000,313.125000,true
Singapore,SAT-3,79020.000000,79345.546875,325.546875,true
Troll,SAT-1,79306.640625,79706.718750,400.078125,true
Hartebeesthoek,SAT-1,80165.390625,80253.515625,88.125000,false
Svalbard,SAT-3,80450.859375,80663.437500,212.578125,true
Svalbard,SAT-1,81645.468750,82063.593750,418.125000,true
Fairbanks,SAT-1,82275.000000,82496.015625,221.015625,true
Svalbard,SAT-2,83108.203125,83438.437500,330.234375,true
Fairbanks,SAT-2,83639.765625,83888.203125,248.437500,true
Svalbard,SAT-4,84380.859375,84617.343750,236.484375,true
Troll,SAT-1,84919.687500,85327.968750,408.281250,true
Svalbard,SAT-3,85972.265625,86227.734375,255.468750,true
Cordoba,SAT-4,86165.156250,86400.000000,234.843750,true
Troll,SAT-2,86348.437500,86400.000000,51.562500,false
