evaluations,elapsed_seconds,best_quality,feasible_fraction
15232,26.896794554,1.1280657780774273,0.9296875
15360,27.127331876,1.1280657780774273,0.9375
15488,27.354385125,1.1280657780774273,0.9296875
15616,27.583031284,1.1280657780774273,0.8828125
15744,27.810247431,1.1280657780774273,0.9375
15872,28.034404277,1.1280657780774273,0.953125
16000,28.259554944,1.1280657780774273,0.9375
16128,28.485325083,1.1280657780774273,0.90625
16256,28.717433043,1.1280657780774273,0.9296875
16384,28.945198507,1.1280657780774273,0.96875
16512,29.165256221,1.1280657780774273,0.9296875
16640,29.394907896,1.1280657780774273,0.8984375
16768,29.619383266,1.1280657780774273,0.9375
16896,29.844531158,1.1280657780774273,0.9296875
17024,30.061206027,1.1280657780774273,0.8828125
17152,30.28579605,1.1280657780774273,0.9375
17280,30.505627163,1.1280657780774273,0.9375
17408,30.731017706,1.1280657780774273,0.9296875
17536,30.954473494,1.1280657780774273,0.9296875
17664,31.178800332,1.1280657780774273,0.921875
17792,31.400683424,1.1280657780774273,0.9453125
17920,31.625721106,1.1280657780774273,0.9140625
18048,31.845191697,1.1280657780774273,0.9296875
18176,32.078624274,1.1280657780774273,0.9296875
18304,32.307293875,1.1280657780774273,0.9375
18432,32.525283909,1.1280657780774273,0.9453125
18560,32.752087573,1.1280657780774273,0.9296875
18688,32.975389091,1.1280657780774273,0.9296875
18816,33.195105757,1.1280657780774273,0.90625
18944,33.416936738,1.1280657780774273,0.90625
19072,33.636578556,1.1280657780774273,0.953125
19200,33.859128717,1.1280657780774273,0.953125
19328,34.079065422,1.1280657780774273,0.96875
19456,34.311680782,1.1280657780774273,0.9375
19584,34.528738617,1.1280657780774273,0.953125
19712,34.751587529,1.1280657780774273,0.9296875
19840,34.985916617,1.1280657780774273,0.9296875
19968,35.203660506,1.127893033282871,0.9609375
20096,35.427213964,1.127893033282871,0.9453125
