n_atoms,dimension,seed,sigma_normalized,population_size,primary_configuration,best_energy,target_energy,gap,target_relative_gap,pair_traversals,wall_seconds
38,108,16148767379549402375,0.150000,16,false,-5.60393020657513219e1,-1.73928426999999999e2,1.17889124934248684e2,6.77802513181175903e-1,20000,0.223613591
38,108,1179442366127247094,0.150000,32,false,-1.82539056804892574e1,-1.73928426999999999e2,1.55674521319510745e2,8.95049325775313043e-1,20000,0.258710227
38,108,4757683860054430030,0.150000,32,false,-2.03827500727241819e1,-1.73928426999999999e2,1.53545676927275821e2,8.82809553192105967e-1,20000,0.279341301
38,108,12056699906624301616,0.150000,32,false,-2.07829547259201597e1,-1.73928426999999999e2,1.53145472274079850e2,8.80508579969390803e-1,20000,0.258763447
38,108,2381852565603793396,0.150000,64,false,-1.99899213679469980e1,-1.73928426999999999e2,1.53938505632052994e2,8.85068118462619124e-1,20000,0.216043621
38,108,5923461789218857088,0.150000,64,false,-1.85528801886115851e1,-1.73928426999999999e2,1.55375546811388404e2,8.93330374403882854e-1,20000,0.363222375
38,108,14738789462239310067,0.150000,64,false,-2.14963396960641191e1,-1.73928426999999999e2,1.52432087303935873e2,8.76406979199184422e-1,20000,0.298106123
38,108,411000493603557274,0.500000,16,false,-2.59277103793683921e1,-1.73928426999999999e2,1.48000716620631607e2,8.50928851444345047e-1,20000,0.212548059
38,108,8285236114935360595,0.500000,16,false,-1.72468787953923233e1,-1.73928426999999999e2,1.56681548204607680e2,9.00839218218236870e-1,20000,0.364710192
38,108,17017131457325521679,0.500000,16,false,-1.93195043000380160e1,-1.73928426999999999e2,1.54608922699961994e2,8.88922675647276450e-1,20000,0.355759347
38,108,9172905529904927245,0.500000,32,false,-2.20630752762044118e1,-1.73928426999999999e2,1.51865351723795584e2,8.73148537839622874e-1,20000,0.397601802
38,108,11942990921757704166,0.500000,32,false,-1.84245494441375861e1,-1.73928426999999999e2,1.55503877555862402e2,8.94068210919094941e-1,20000,0.340107140
38,108,14776444430987395057,0.500000,32,false,-2.14267129292933589e1,-1.73928426999999999e2,1.52501714070706640e2,8.76807297697843491e-1,20000,0.324484576
38,108,2012964475603542319,0.500000,64,false,-2.10049763021064315e1,-1.73928426999999999e2,1.52923450697893571e2,8.79232068820432477e-1,20000,0.355411082
38,108,5630131029726593383,0.500000,64,false,-2.23626404577865436e1,-1.73928426999999999e2,1.51565786542213459e2,8.71426190396199396e-1,20000,0.364025915
38,108,17803748362067416847,0.500000,64,false,-2.32525118024079624e1,-1.73928426999999999e2,1.50675915197592047e2,8.66309882728899971e-1,20000,0.397533671
98,288,8475678002332260296,0.050000,16,true,-1.07624981992708499e2,-5.43665360999999962e2,4.36040379007291449e2,8.02038184307444779e-1,20000,0.853593556
98,288,13334336628958108563,0.050000,16,true,-8.18350240397309108e1,-5.43665360999999962e2,4.61830336960269051e2,8.49475376012173600e-1,20000,0.729604436
98,288,14650514617220306060,0.050000,16,true,-1.15569041122026107e2,-5.43665360999999962e2,4.28096319877973883e2,7.87426145911793496e-1,20000,0.800719239
98,288,8874991506371873431,0.050000,32,false,-1.00300911210150815e2,-5.43665360999999962e2,4.43364449789849118e2,8.15509836739164884e-1,20000,0.713680488
98,288,13309280681760823087,0.050000,32,false,-9.89190684126666895e1,-5.43665360999999962e2,4.44746292587333301e2,8.18051552464703291e-1,20000,0.747948723
98,288,13736893114528101267,0.050000,32,false,-1.02301844288848471e2,-5.43665360999999962e2,4.41363516711151476e2,8.11829386921620544e-1,20000,0.671560579
98,288,1607512360352689453,0.050000,64,false,-1.14781736256503009e2,-5.43665360999999962e2,4.28883624743496966e2,7.88874288320710160e-1,20000,0.714382546
98,288,5924135489919831632,0.050000,64,false,-1.13983930611942213e2,-5.43665360999999962e2,4.29681430388057720e2,7.90341745513666760e-1,20000,0.608337269
98,288,6542837161262826503,0.050000,64,false,-1.07272738135543534e2,-5.43665360999999962e2,4.36392622864456428e2,8.02686089953883353e-1,20000,0.757132702
98,288,1125768148790447371,0.150000,16,false,-2.86485975075891552e1,-5.43665360999999962e2,5.15016763492410860e2,9.47304721685976459e-1,20000,0.691369813
98,288,15555124528456921307,0.150000,16,false,-2.74755982856058765e1,-5.43665360999999962e2,5.16189762714394078e2,9.49462297478235184e-1,20000,0.650228745
98,288,18002195363589076118,0.150000,16,false,-2.86913129269347209e1,-5.43665360999999962e2,5.14974048073065205e2,9.47226152362988683e-1,20000,0.782958528
98,288,2052718733863977431,0.150000,32,false,-2.67770600266406227e1,-5.43665360999999962e2,5.16888300973359378e2,9.50747165540604344e-1,20000,0.782895177
