n_atoms,dimension,parameterization,optimizer,seed,best_energy,target_energy,gap,target_relative_gap,success,within_1_percent,within_5_percent,within_10_percent,population_size,nominal_full_generations_per_restart,restarts,pair_traversals,pair_terms_evaluated,objective_calls,gradient_calls,wall_seconds,measured_pair_seconds,estimated_optimizer_overhead_seconds,overlap_pairs,projected_candidates,reference_structure_audited
13,33,fixed-frame,crfmnes-retry,5694209903365972707,-3.85567457441838570e1,-4.43268010000000032e1,5.77005525581614620e0,1.30170802441081757e-1,false,false,false,false,16,312,4,20000,1560000,20032,0,0.029471229,0.007675392,0.021795837,272,0,true
13,33,fixed-frame,crfmnes-retry,6054845415890715159,-4.03287180983310023e1,-4.43268010000000032e1,3.99808290166900093e0,9.01956110405756767e-2,false,false,false,true,16,312,4,20000,1560000,20032,0,0.028977353,0.007558878,0.021418475,283,0,true
13,33,fixed-frame,crfmnes-retry,8048971573819030837,-3.96828538918984108e1,-4.43268010000000032e1,4.64394710810159239e0,1.04766123503963027e-1,false,false,false,false,16,312,4,20000,1560000,20032,0,0.030552593,0.007971493,0.022581100,259,0,true
13,33,fixed-frame,crfmnes-retry,10065547755147478085,-3.94712077137551773e1,-4.43268010000000032e1,4.85559328624482589e0,1.09540800976024089e-1,false,false,false,false,16,312,4,20000,1560000,20032,0,0.035839005,0.009544199,0.026294806,199,0,true
13,33,fixed-frame,crfmnes-retry,10307988297944474805,-3.98463177538696129e1,-4.43268010000000032e1,4.48048324613039028e0,1.01078425355585436e-1,false,false,false,false,16,312,4,20000,1560000,20032,0,0.039229776,0.009716510,0.029513266,171,0,true
13,33,fixed-frame,crfmnes-retry,10509203992769182689,-3.92872917464628557e1,-4.43268010000000032e1,5.03950925353714752e0,1.13689892792785727e-1,false,false,false,false,16,312,4,20000,1560000,20032,0,0.030101228,0.007885120,0.022216108,319,0,true
13,33,fixed-frame,crfmnes-retry,14076511471388420532,-4.04499886787201248e1,-4.43268010000000032e1,3.87681232127987840e0,8.74597813020587256e-2,false,false,false,true,16,312,4,20000,1560000,20032,0,0.031479024,0.008299575,0.023179449,290,0,true
13,33,fixed-frame,crfmnes-retry,16235298172165022714,-3.98635287933541562e1,-4.43268010000000032e1,4.46327220664584701e0,1.00690149208959315e-1,false,false,false,false,16,312,4,20000,1560000,20032,0,0.048495176,0.012206684,0.036288492,386,0,true
13,33,fixed-frame,crfmnes-retry,17425550653302497574,-3.98594361495200786e1,-4.43268010000000032e1,4.46736485047992460e0,1.00782478087690655e-1,false,false,false,false,16,312,4,20000,1560000,20032,0,0.049155653,0.014204381,0.034951272,538,0,true
13,33,fixed-frame,de-retry,3482299955060770590,-3.85943139861227706e1,-4.43268010000000032e1,5.73248701387723258e0,1.29323273607703654e-1,false,false,false,false,495,10,4,20000,1560000,20127,0,20.235331599,0.011486630,20.223844969,306,0,true
