candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,sharpness,error_ratio,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
171,1,0.5175325970910168,0.5175325970910168,0.14632819122105672,0.3469725194930204,0.6992358469147404,0.07882926848403163,0.26500461680517085,0.4147398843930636,0.11533333333333333,0.208952119557625,-0.2929322878189182,405,796,572846.2,1002,10521,-0.015004616805170845,-0.9947395,5,835,5.231041576,,167,5,23,7,0.9807372268984699,0.4162492278343586,2.8384670825375085,0
172,1,0.6448534033148816,0.6448534033148816,0.17741767347339044,0.29471017961953117,0.6744173032261674,0.15624060657407418,0.41735918744228995,0.3265895953757225,0.23066666666666666,0.23302782692218363,0.16916456546411496,932,631,402667,108,19350,-0.16735918744228995,-0.990325,5,45,0.715274675,,9,11,3,3,0.6724107445138177,0.4914854666332914,3.525610090074257,1
173,0,15.490487473938419,0.9347545684610225,0.14539798062578926,0.2976333054482751,0.6632795072252954,0.07486320119696988,0.08125577100646353,0.4835164835164835,0.030333333333333334,0.1490516459777677,-1.020535733134851,94,995,262712,185.6,16247,0.16874422899353647,-0.9918765,5,55,0.567020792,,11,16,3,60,0.46206872917887987,0.7514053990527099,1.012542267611852,0
174,0,15.800736781417644,0.4422798240997107,0.13768182663690517,0.3690006362566879,0.7057353358455815,0.050412202380952335,0.003693444136657433,0.5714285714285714,0.0011666666666666668,0.08377023707803725,-2.4313637641589874,3,1079,16954684,4032,790720,0.24630655586334257,-0.6046400000000001,5,1120,27.641447847,,224,17,2,3,0.7357775251574866,0.6309858600648036,0.7184453340134888,1
175,0,15.715787566274523,1.226462888450343,0.15856988032027544,0.32368388046524876,0.6762429928690689,0.14193149843209935,0.024930747922437674,0.5510204081632653,0.008166666666666666,0.09483291512831048,-1.6623471512898333,22,1056,1302415.2,1051.6,10773,0.22506925207756232,-0.9946135,5,405,8.373265378,,81,20,61,34,0.8571607884161563,0.9384012819388821,0.7750285253633028,0
176,0,15.390764482248668,0.45268887665068486,0.13714017223049377,0.3354055576513584,0.6913767619116297,0.024314776981481465,0.1061865189289012,0.515695067264574,0.03716666666666667,0.13558407606504078,-0.9488972791101417,108,968,3029242.8,789.8,113112,0.14381348107109881,-0.943444,5,180,6.137867578,,36,22,2,2,0.6548854343660364,0.9475516411848914,1.0972981527735446,1
177,1,0.4598392201140928,0.4598392201140928,0.14595348668981895,0.3589385908392336,0.7051333765624792,0.09766319261111077,0.26223453370267774,0.42136498516320475,0.11233333333333333,0.1566928404768801,-0.31091322959607676,390,799,2749616,720,133440,-0.012234533702677741,-0.93328,5,240,4.488271412,,48,14,2,13,0.5795659767698955,0.6266791458114569,2.7873218966425135,1
178,0,15.553276024261596,0.4806222796999849,0.15252029136316825,0.27235665376112594,0.6369603375403818,0.09505376360752647,0.06555863342566944,0.4251497005988024,0.027833333333333335,0.1065292412486807,-1.0188377110940356,96,1012,2636043.2,690,57753,0.18444136657433058,-0.9711235,5,155,1.560160953,,31,22,3,13,0.5828844787426647,0.2540199777458865,2.4479351348250717,0
179,0,15.815510557964274,2.432520621441363,0.17972351587870772,0.18629643818392566,0.509038215353633,0.17928106694871784,0,0,0,0.009704378017561997,-3.0350292822023683,0,1083,26948.8,65,403,0.25,-0.9997985,5,65,0.625186663,,13,4,21,27,0.9466738142824893,0.837963260952763,0.635822221516284,0
180,1,0.7882438081776251,0.7882438081776251,0.15072993766702972,0.313376932017844,0.6829024784647681,0.09123297333333398,0.29547553093259465,0.37122969837587005,0.14366666666666666,0.21683558535722636,-0.14829352898684295,542,763,174500.2,123.2,1490,-0.045475530932594654,-0.999255,5,50,0.531218431,,10,12,26,9,0.4070691694245285,0.9533366770702882,1.838933925286549,0
