seed_arm,candidate,radius_gyration_normalized,mean_coordination,holdout_radius_gyration_normalized,holdout_mean_coordination,fine_niche,holdout_fine_niche,coarse_niche,holdout_coarse_niche,cutoff_low_niche,cutoff_high_niche
0,27,6.17740587658697660e-1,2.52631578947368407e0,6.18189213724218201e-1,2.52631578947368407e0,32,32,10,10,32,32
0,28,6.30552131223627965e-1,2.63157894736842124e0,6.30992691310111264e-1,2.57894736842105265e0,33,33,10,10,33,33
0,29,6.06226553198098261e-1,3.00000000000000000e0,6.06481288183789435e-1,2.94736842105263142e0,44,32,10,10,32,44
0,30,6.38532459100560446e-1,2.36842105263157876e0,6.37675143674782063e-1,2.31578947368421062e0,33,33,10,10,33,33
0,31,6.20555768669650787e-1,2.68421052631578938e0,6.20312840709662305e-1,2.73684210526315796e0,32,32,10,10,32,32
0,32,6.24417881836177191e-1,3.21052631578947389e0,6.23621432454020796e-1,3.21052631578947389e0,44,44,10,10,44,44
0,33,6.14599400719993305e-1,2.73684210526315796e0,6.15003201932623478e-1,2.73684210526315796e0,32,32,10,10,32,32
0,34,6.51424786140537782e-1,2.26315789473684204e0,6.51434059292576251e-1,2.26315789473684204e0,33,33,10,10,33,33
0,35,6.36301563350563315e-1,2.52631578947368407e0,6.36057543866523134e-1,2.52631578947368407e0,33,33,10,10,33,33
0,36,6.14475128085627542e-1,2.73684210526315796e0,6.14975981777386549e-1,2.84210526315789469e0,32,32,10,10,32,32
0,37,6.32080610138892385e-1,2.78947368421052611e0,6.32474585414283585e-1,2.84210526315789469e0,33,33,10,10,33,33
0,38,6.17329946264315699e-1,2.78947368421052611e0,6.16915787889938949e-1,2.78947368421052611e0,32,32,10,10,32,32
0,39,6.21066093316697709e-1,3.00000000000000000e0,6.21092664590147336e-1,2.94736842105263142e0,44,32,10,10,32,44
0,40,6.46759301936221664e-1,2.47368421052631593e0,6.46979751704243267e-1,2.47368421052631593e0,33,33,10,10,33,33
0,41,6.45431861262461548e-1,2.57894736842105265e0,6.45612960470050234e-1,2.57894736842105265e0,33,33,10,10,33,33
0,42,6.41170526350084091e-1,2.42105263157894735e0,6.40780402597962984e-1,2.36842105263157876e0,33,33,10,10,33,33
0,43,6.42640712267881220e-1,2.31578947368421062e0,6.42741381770241316e-1,2.26315789473684204e0,33,33,10,10,33,33
0,44,6.18274969145189313e-1,3.21052631578947389e0,6.18213073525019419e-1,3.26315789473684204e0,44,44,10,10,44,44
0,45,6.22573634731098058e-1,2.68421052631578938e0,6.23290830300198273e-1,2.63157894736842124e0,32,32,10,10,32,32
0,46,6.19190084116075345e-1,2.73684210526315796e0,6.18627539441646501e-1,2.73684210526315796e0,32,32,10,10,32,32
0,47,6.30641990110403783e-1,3.21052631578947389e0,6.30484000076695250e-1,3.15789473684210531e0,45,45,10,10,45,45
0,48,6.07798028400873824e-1,3.31578947368421062e0,6.07614050802094408e-1,3.31578947368421062e0,44,44,10,10,44,44
0,49,6.02314055375421709e-1,2.78947368421052611e0,6.02438948595056534e-1,2.73684210526315796e0,32,32,10,10,32,32
0,50,6.04545629883972202e-1,3.42105263157894735e0,6.05460906495456141e-1,3.42105263157894735e0,44,44,10,10,44,44
0,51,6.29808688466708455e-1,2.94736842105263142e0,6.30157112119664853e-1,3.00000000000000000e0,33,45,10,10,33,45
0,52,6.54830525009283293e-1,2.10526315789473673e0,6.55685509546735434e-1,2.05263157894736858e0,33,33,10,10,33,33
0,53,6.28355806257012373e-1,2.73684210526315796e0,6.26990095407595316e-1,2.68421052631578938e0,33,33,10,10,33,33
