point_id,feasible,selected,objective_cutoff_error,objective_passband_ripple_db,objective_total_capacitance_nf,constraint_peak_db,cutoff_hz,peak_above_dc_db,r1_ohm,r2_ohm,r3_ohm,r4_ohm,c1_f,c2_f,c3_f,c4_f
37,1,0,0.03182075248380851,2.323989459593875,0.04427974284242685,-3,92934.98806814158,0,95615.84104880423,10879.949713469028,88054.13792509533,102.62726549154021,0.000000000010095444033116846,0.000000000011857772995674873,0.000000000010516769338294224,0.0000000000118097564753409
38,1,0,0.03284323073129593,0.8053555419738296,0.7380505009757411,-2.7383980852867698,107855.73201750308,0.26160191471323013,10093.440060003548,3277.950573232465,14741.699977414311,34242.79648566382,0.0000000005498006928369653,0.0000000001447902145147096,0.000000000026152792508890758,0.0000000000173068011151755
39,1,0,0.03586339108573792,0.7847823983989249,0.39713837607694347,-2.4071980335271848,108608.39382142047,0.5928019664728151,1550.0903656196056,1441.8825064366574,50674.05606267097,29026.084299012455,0.00000000023120512887458522,0.000000000057613918811682345,0.00000000008334752751819724,0.000000000024971800872478707
40,1,0,0.036753483099382075,0.7771595334857344,0.39713837607694347,-2.400579814732509,108831.21635403865,0.5994201852674911,2384.07554666017,1441.8825064366574,50674.05606267097,29026.084299012455,0.00000000023120512887458522,0.000000000057613918811682345,0.00000000008334752751819724,0.000000000024971800872478707
41,1,0,0.040567936585652456,0.7369079735480366,0.5417825111215461,-2.394848607258486,109791.30231223183,0.605151392741514,5142.250689402179,973.494129645532,50674.05606267097,28281.688381646483,0.0000000003615134292591808,0.00000000007110580141731152,0.00000000008408029961309075,0.000000000025082980831962987
42,1,0,0.0461041940361382,1.661018158846682,0.1264177538077761,-3,111199.84811021408,0,97035.80001345817,4064.635155389726,51842.68919608908,247.0133246727369,0.00000000008450773789977433,0.000000000011347348623728425,0.000000000010524813943017059,0.000000000020037853341256287
43,1,0,0.0462165397126362,0.7160654187231862,0.3875766113140216,-2.6549091368557813,111228.61761726113,0.34509086314421866,2384.075546660171,1441.8825064366574,50674.05606267097,29026.084299012455,0.00000000023120512887458522,0.000000000057613918811682345,0.00000000007378576275527532,0.000000000024971800872478707
44,1,0,0.04803210789843657,0.6582486612529418,0.3644355821811844,-2.682534461059107,111694.58218376698,0.31746553894089324,27035.485616162616,973.494129645532,52216.144404451356,23812.687803143406,0.0000000002338378738255044,0.00000000002329514226529816,0.00000000008221958525841882,0.000000000025082980831962987
45,1,0,0.05923487566903266,0.2286176359806344,2.3007405921139306,-2.807140404780004,114613.26266997965,0.19285959521999588,1360.345590067502,22088.69703757446,54279.340562937636,412.003369943479,0.0000000016052987394131822,0.000000000046909770414231345,0.0000000006081684755728319,0.0000000000403636067136853
46,1,0,0.05947753483080508,0.6086628333428976,0.4826724520817095,-2.3913371666571024,114677.31996457506,0.6086628333428976,3453.3204517216527,349.92176853856313,47065.452958245754,27695.679440061514,0.0000000003615134292591808,0.000000000011995742377474941,0.00000000008408029961309075,0.00000000002508298083196299
47,1,0,0.06404884635398612,1.5681050245870982,0.08239231077556808,-3,115890.76945188535,0,35394.63234452408,324.2507818317304,91676.6141050703,709.966707444263,0.000000000010726678694387727,0.000000000022264101098768507,0.00000000003858735137610062,0.000000000010814179606311233
48,1,0,0.07268058182213274,1.5091987116359307,0.07763227492048239,-3,118217.17633077416,0,35394.63234452408,324.2507818317304,91676.6141050703,2391.838817032682,0.000000000011205401283158671,0.0000000000222641010987685,0.000000000033348592932243984,0.000000000010814179606311233
49,1,0,0.08504780612230835,1.4321992413797846,0.045134230530069853,-3,121631.98829296046,0,65759.30181012033,11214.75683454278,89820.26281227615,105.6773912621341,0.000000000012263854227754635,0.000000000011347348623728425,0.000000000011178687839641299,0.000000000010344339838945493
50,1,0,0.08644329615611308,0.47458391654625776,0.4623280898349895,-2.5254160834537425,122023.44899074285,0.47458391654625764,5017.188497011301,973.494129645532,48114.21177915728,23812.687803143406,0.00000000033173038147930953,0.00000000002329514226529816,0.00000000008221958525841882,0.000000000025082980831962987
51,1,0,0.08788767217828024,1.3547163465499301,0.10364129855812461,-3,122429.95001403552,0,31752.267338477363,11202.626366770593,98687.28366414645,24892.711112514364,0.00000000005812427339687187,0.000000000024221414337924945,0.000000000010453255325411525,0.000000000010842355497916272
52,1,0,0.10572333175575555,1.3152430216840196,0.04394256095875537,-3,127562.59096491427,0,11765.10215953907,65150.682732512556,77889.20825559224,4735.40372058703,0.000000000011465182350325167,0.000000000010360713556336435,0.000000000010404907740065445,0.000000000011711757312028323
53,1,0,0.10642046093691786,0.38960272027550924,0.7730441376200028,-2.892260925059647,127767.5187725705,0.10773907494035305,4780.880069535817,3860.8899723231957,13520.825282453017,1737.247347981052,0.0000000004851363200263707,0.00000000020284697994078583,0.00000000007369135005751259,0.000000000011369487595333682
54,1,0,0.10820957212270135,1.2580528585361508,0.07735674253529477,-3,128294.95304098939,0,35873.08946413719,407.01646498404705,91676.6141050703,9657.989546485936,0.000000000010929868897971063,0.0000000000222641010987685,0.000000000033348592932243984,0.000000000010814179606311233
55,1,0,0.1149447308636311,0.23663435340583877,0.7673202140673335,-2.7701667017138663,130300.09455380614,0.22983329828613397,3925.2546081479923,3277.950573232465,42941.43723134488,34242.79648566382,0.0000000005498006928369647,0.0000000001447902145147096,0.000000000048284531465444364,0.000000000024444775250214977
56,1,0,0.12966090947398154,1.180888340239234,0.04124172025941303,-3,134791.00439638115,0,67477.63410960726,12507.335707173916,81859.83041399068,4863.909647536361,0.000000000010745616521418161,0.000000000010118169881239306,0.0000000000103030386175884,0.000000000010074895239167158
57,1,0,0.12988045684221,0.3341978201357613,0.5128859518648765,-2.665802179864239,134859.16204699737,0.3341978201357613,5029.055076063318,1028.0454559318025,49994.203412445706,18131.914061959415,0.0000000003694059676757178,0.000000000035028814801094303,0.00000000008388121878323656,0.000000000024569950604827904
58,1,0,0.13533314057329857,1.1766227565862015,0.07763227492048239,-3,136563.02887622188,0,23974.84651845187,324.2507818317304,91676.6141050703,2391.838817032682,0.000000000011205401283158671,0.0000000000222641010987685,0.000000000033348592932243984,0.000000000010814179606311233
59,1,0,0.14166109075804068,0.1957011059281053,1.165557400593385,-2.804298894071895,138567.40720138527,0.19570110592810527,9112.921467462762,1170.3707106967106,1165.0661341896334,37000.60935484705,0.0000000009863056468220233,0.00000000014838681892345242,0.000000000020208303719313172,0.000000000010656631128596179
60,1,0,0.14740569975542064,0.17112525762196557,1.1655574005933855,-2.8625410821508277,140412.47667742832,0.13745891784917247,9088.995579863924,1105.1118204761876,2262.624227032333,37000.60935484705,0.0000000009863056468220237,0.00000000014838681892345242,0.000000000020208303719313178,0.000000000010656631128596179
61,1,0,0.15551730866890642,1.1146298621580928,0.06886567636220359,-3,143059.6995673672,0,28234.372905091142,324.2507818317304,92940.36258973193,762.0636430315583,0.000000000011205401283158671,0.0000000000134975025404897,0.000000000033348592932243984,0.000000000010814179606311233
62,1,0,0.1611391026330857,1.0953755842950086,0.06689152318888958,-3,144923.59631885195,0,25561.045088236657,511.64668416385933,92940.36258973193,762.0636430315583,0.000000000011205401283158671,0.000000000013769229758069524,0.00000000003110271254135015,0.000000000010814179606311233
63,1,0,0.17000210868641683,0.12108909879704167,0.6201422274045706,-2.8789109012029583,147911.55698927495,0.12108909879704166,1043.2961659346256,477.01458379800823,11587.82395216208,19331.142541129862,0.00000000010718416556997165,0.0000000003406806440724828,0.00000000012754116742200694,0.00000000004473625034010922
64,1,0,0.17209011862186574,0.42678087796116687,0.4248897363758069,-3,148624.4014537646,0,2384.075546660169,1502.322932329713,25739.805361725514,34091.99310303168,0.00000000023120512887458522,0.00000000011998042572564625,0.000000000048732380903096697,0.000000000024971800872478707
65,1,0,0.17404562792261563,0.9824599695569066,0.08071234285772597,-3,149295.1254044723,0,1242.889530878375,11325.129646344018,90218.70149797716,10384.935411739318,0.00000000001226385422775463,0.00000000003988998235485941,0.000000000018288742323228686,0.000000000010269763951883237
66,1,0,0.18884086944587195,0.18603138137640993,0.6063848536871681,-2.81396861862359,154468.83440405864,0.18603138137640993,1043.2961659346256,477.014583798008,11587.823952162089,19331.142541129862,0.00000000010718416556997165,0.00000000032900852390083333,0.00000000012754116742200694,0.00000000004265099679435621
