problem,arm,dimension,objectives,requested_evaluations,actual_evaluations,front_size,deterministic_recheck_points,deterministic_recheck_max_abs_error,hypervolume,hypervolume_kind,fixed_hypervolume,fixed_hypervolume_kind,igd,igd_plus,gd,gd_plus,additive_epsilon,spacing,spread,duplicates_collapsed,dominated_removed,fixed_outside_reference,normalization_ideal,normalization_nadir,reference_point,fixed_reference_point,wall_seconds
dtlz4,random,12,3,4096,4096,72,72,0.00000000000000000e0,1.04722038130825688e1,exact,,not-applicable-outside-reference,6.30109338184125067e-1,4.74240708753281337e-1,6.00074496775784505e-1,5.99621898773368578e-1,6.93070740114115957e-1,1.35093344878243510e-1,1.21946798574510784e0,0,60,72,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[2.5599776165012518,2.1342746006505133,2.4066203683477383]","[1.1,1.1,1.1]",0.000580825
dtlz5,initial,12,3,64,64,17,17,0.00000000000000000e0,1.33831229750452998e1,exact,,not-applicable-outside-reference,6.25633468003201076e-1,6.01400308064972355e-1,9.35871068000495243e-1,9.35870829403758764e-1,6.52607340110278877e-1,3.46988759235369926e-1,6.27841046749132770e-1,0,0,17,"[4.329780281177467e-17,4.329780281177466e-17,0.0]","[0.7071067811865476,0.7071067811865475,1.0]","[3.0624510097075603,2.724262866661176,2.6108377987654587]","[1.1,1.1,1.1]",0.000000000
dtlz5,mode,12,3,4096,4096,64,64,0.00000000000000000e0,1.78305547524467656e1,exact,2.55135020315248207e-1,exact,1.64273589851668816e-2,1.02021637302135999e-2,1.09026685752930640e-2,1.08972623265189607e-2,2.29399953171552928e-2,1.85035125943678672e-2,4.70238142660387770e-1,0,0,0,"[4.329780281177467e-17,4.329780281177466e-17,0.0]","[0.7071067811865476,0.7071067811865475,1.0]","[3.0624510097075603,2.724262866661176,2.6108377987654587]","[1.1,1.1,1.1]",0.005919433
dtlz5,random,12,3,4096,4096,77,77,0.00000000000000000e0,1.62490133024668033e1,exact,,not-applicable-outside-reference,2.58823412605220515e-1,2.53774076801434767e-1,6.02257678120781348e-1,6.02256515438750806e-1,3.11187426816055046e-1,1.11180624905491174e-1,5.21761395682032503e-1,0,0,66,"[4.329780281177467e-17,4.329780281177466e-17,0.0]","[0.7071067811865476,0.7071067811865475,1.0]","[3.0624510097075603,2.724262866661176,2.6108377987654587]","[1.1,1.1,1.1]",0.000658616
dtlz6,initial,12,3,64,64,53,53,0.00000000000000000e0,1.54736032243799946e3,exact,,not-applicable-outside-reference,9.16655731927177442e0,9.16655731927177442e0,1.12883223385339431e1,1.12883220909634883e1,7.34951895809848654e0,1.09497310736522224e0,6.00984075521124983e-1,0,0,53,"[4.329780281177467e-17,4.329780281177466e-17,0.0]","[0.7071067811865476,0.7071067811865475,1.0]","[16.12349084492974,15.859959277907759,11.623738919353144]","[1.1,1.1,1.1]",0.000000000
dtlz6,mode,12,3,4096,4096,64,64,0.00000000000000000e0,2.28424618333806939e3,exact,,not-applicable-outside-reference,6.95909131806749137e0,6.93556828672126535e0,9.04404507855038986e0,9.04403518219851676e0,5.33865628886893084e0,8.10087745962176475e-1,6.30187288201954798e-1,0,0,64,"[4.329780281177467e-17,4.329780281177466e-17,0.0]","[0.7071067811865476,0.7071067811865475,1.0]","[16.12349084492974,15.859959277907759,11.623738919353144]","[1.1,1.1,1.1]",0.007685399
dtlz6,random,12,3,4096,4096,567,567,0.00000000000000000e0,1.91724910718046499e3,exact,,not-applicable-outside-reference,8.57388309497577517e0,8.57371806518141710e0,1.13083501802168254e1,1.13083487247468266e1,6.68237313880639494e0,2.80923865433256148e-1,4.54529467595994274e-1,0,0,567,"[4.329780281177467e-17,4.329780281177466e-17,0.0]","[0.7071067811865476,0.7071067811865475,1.0]","[16.12349084492974,15.859959277907759,11.623738919353144]","[1.1,1.1,1.1]",0.001120330
dtlz7,initial,22,3,64,64,19,19,0.00000000000000000e0,2.98532087309227290e0,exact,,not-applicable-outside-reference,2.64339615856158172e0,2.63721254693235396e0,3.40664170555021117e0,3.40662090447758814e0,3.08842345736612067e0,2.00593946874076196e-1,7.53358691429635852e-1,0,0,19,"[0.00012275968559570313,0.00011495740105166896,2.6156891389568457]","[0.8591784207348633,0.8589842597533608,5.992775813987291]","[1.2034189862929858,1.2389490410170692,6.161854121037075]","[1.1,1.1,1.1]",0.000000000
dtlz7,mode,22,3,4096,4096,64,64,0.00000000000000000e0,7.11389455733800879e0,exact,,not-applicable-outside-reference,9.63326955592664680e-1,7.66396543256234297e-1,6.31934936771486155e-1,6.28030695442839182e-1,1.10543234788373090e0,7.15388848953910778e-2,9.54114284953681224e-1,0,5,64,"[0.00012275968559570313,0.00011495740105166896,2.6156891389568457]","[0.8591784207348633,0.8589842597533608,5.992775813987291]","[1.2034189862929858,1.2389490410170692,6.161854121037075]","[1.1,1.1,1.1]",0.005990154
dtlz7,random,22,3,4096,4096,54,54,0.00000000000000000e0,4.56679485430349885e0,exact,,not-applicable-outside-reference,2.31456718954816631e0,2.31314631156391748e0,3.00245680941335813e0,3.00245661303991263e0,2.72945370889287187e0,1.38752088748689106e-1,7.06301245602723116e-1,0,0,54,"[0.00012275968559570313,0.00011495740105166896,2.6156891389568457]","[0.8591784207348633,0.8589842597533608,5.992775813987291]","[1.2034189862929858,1.2389490410170692,6.161854121037075]","[1.1,1.1,1.1]",0.000862638
