arm,pump,period,start_hour,relative_speed,controls
de,1,6,12,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,7,14,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,8,16,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,9,18,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,10,20,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,11,22,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,2,0,0,0.00000000000000000,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,2,1,2,0.00000000000000000,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,2,2,4,0.00000000000000000,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,2,3,6,0.80000000000000004,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
