accepted_candidates,best_mga_score,portfolio_size,portfolio_score_sum,niches,cumulative_worker_seconds
70,1231200.1137866538,20,16192468.720017076,67,218570.56554228807
71,1231200.1137866538,20,16192468.720017076,68,221823.31779121608
72,1231200.1137866538,20,16192468.720017076,69,226272.98975942406
73,1231200.1137866538,20,16192468.720017076,70,228381.75891363207
74,1231200.1137866538,20,16502639.219319625,71,229094.65426838407
75,1231200.1137866538,20,16502639.219319625,72,233403.13914347207
76,1231200.1137866538,20,16502639.219319625,73,234974.81359758409
77,1231200.1137866538,20,16502639.219319625,74,239425.5091810081
78,1231200.1137866538,20,16502639.219319625,75,242765.9400565761
79,1231200.1137866538,20,16502639.219319625,76,251155.8890350561
80,1231200.1137866538,20,16867709.05818098,77,252637.3142640001
81,1231200.1137866538,20,16922217.94486026,78,253346.1596124801
82,1231200.1137866538,20,16922217.94486026,79,253668.8533686081
83,1231200.1137866538,20,17488906.76303354,80,255345.0357397121
84,1231200.1137866538,20,17488906.76303354,81,258060.5644348161
85,1231200.1137866538,20,17488906.76303354,82,262876.8619165121
86,1231200.1137866538,20,17488906.76303354,83,268087.3738878721
87,1231200.1137866538,20,17488906.76303354,84,272548.3274081121
88,1233733.1469942122,20,18079408.8672031,85,274129.81233624014
89,1233733.1469942122,20,18456000.697224103,86,275206.66257587215
90,1233733.1469942122,20,18456000.697224103,87,275536.99659916817
91,1233733.1469942122,20,18456000.697224103,88,278740.86005211214
92,1233733.1469942122,20,18529756.443241164,89,280008.63117774413
93,1233733.1469942122,20,19065280.176240362,90,281834.04455152014
94,1233733.1469942122,20,19065280.176240362,91,285195.59105913615
95,1233733.1469942122,20,19065280.176240362,92,286637.8172544161
96,1233733.1469942122,20,19065280.176240362,93,287493.91736129613
97,1233733.1469942122,20,19065280.176240362,94,293318.1435811041
98,1233733.1469942122,20,19065280.176240362,94,295637.8704436001
99,1233733.1469942122,20,19065280.176240362,95,296348.40069048014
100,1233733.1469942122,20,19270002.0193486,96,298484.2213090881
