point_id,feasible,selected,objective_target_error,objective_input_energy,objective_peak_joint_force,decision_arm_length,decision_counterweight_mass,decision_projectile_mass,decision_sling_length,decision_initial_arm_angle,decision_release_angle,decision_joint_damping,decision_pivot_friction
64,1,0,5.280222055259291,260.43433661635527,75.58294607296821,2.1293901096092576,20.00179095406805,0.5002069729235863,6,-1.2464157869050139,0.55,0.15962874533206312,0.00037282453069820316
65,1,0,5.409326684755243,260.23855923101576,75.72235203658926,2.1293901096092576,20.001982821552218,0.5002069729235863,5.999974023153886,-1.241794765319196,0.55,0.15962874533206312,0.00037282453069820316
66,1,0,5.390730886660442,251.7231159592417,92.30654484292326,2.0652654352247515,20.032329414720724,0.5412266818028111,5.564742258410114,-1.2173689021106466,0.5482845847195918,0.009936008017512252,0.03521029411555288
67,1,0,5.609914887082798,270.0655027350581,74.24928415084639,2.2092236773453813,20.005232444379143,0.5033818251861586,5.992567566271079,-1.2423842351080026,0.5359784361293494,0.174317254838196,0.004761009204490144
68,1,0,5.777065528046123,267.00682739371604,74.27766224085151,2.1768126581434446,20.058900963448224,0.5132589046040419,5.959426930967691,-1.2466980864906652,0.55,0.17525886750351777,0.0019647779719320357
69,1,0,5.895744386157748,251.37833465841987,81.48946212242761,2.058506947709831,20.001013263777352,0.5005537468593759,5.937388766122494,-1.2373881581254937,0.55,0.1080217928086451,0.00378847002043544
70,1,0,5.99499265108307,250.520408439795,83.27935162966135,2.047989106211623,20.000620324338826,0.5189490217899453,5.663106673274539,-1.24779611424633,0.55,0.012666974295531541,0.08544946144833741
71,1,0,6.062090598291665,246.10311893915645,78.89903676230637,2.010826450016539,20.005350497123814,0.510035927795597,5.854196890322391,-1.2495586327831028,0.547002672731276,0.11301714281467531,0.012809602570251578
72,1,0,6.556737664446267,245.31722352204366,77.12930296951873,2.0001837420655892,20.058210285454976,0.5032931959195603,5.7986116616232035,-1.2463010031057369,0.55,0.14012038405380342,0.0037313397490636533
73,1,0,6.581330226569712,259.403679841026,74.81643769033465,2.1165132243795197,20.101006908584637,0.5002475016091619,5.976946437361553,-1.2294627969734961,0.55,0.19135658932125987,0.001584560621045561
74,1,0,6.861262502515309,274.9564433415342,72.88010230721416,2.244821180566892,20.020496055122006,0.500018959933727,5.906106288347729,-1.2497143275000724,0.44441756850103986,0.21149423276725793,0.00031501919432637567
75,1,0,6.946011227966164,241.76542571356563,99.23499307900408,2.0001837420655892,20.000941499930192,0.5039492644986816,4.347045344399556,-1.181317319363549,0.55,0.0015422155573188712,0.002850594048544805
76,1,0,7.0218923121769485,258.9373505219487,74.89694599537276,2.1165132243795197,20.101006908584637,0.5002475016091619,5.976946437361553,-1.2191805147409,0.55,0.19135658932125987,0.001584560621045561
77,1,0,7.082671652217105,244.73646667464715,76.68638451740492,2.0011208094406028,20.00162266065481,0.5066666355163807,5.312946695040377,-1.246219142042102,0.55,0.13647866699171246,0.0034267976473461997
78,1,0,7.029313422764165,275.25629736999286,72.75634554598793,2.244821180566892,20.042329427422402,0.500018959933727,5.906106288347729,-1.2497143275000724,0.44441756850103986,0.21149423276725793,0.003983924540058761
