angle_deg,nominal_db,envelope_min_db,envelope_max_db
-69.39030706246793,-27.875736516975273,-35.94967292637036,-18.14255421406223
-69.30907410940874,-27.93072888523102,-36.32771632338247,-18.160616984822017
-69.22814495467175,-27.98600902869517,-36.722488444748166,-18.178937117781317
-69.14751605539274,-28.041556492128308,-37.13530860137744,-18.197513237082198
-69.06718393631192,-28.097350036214728,-37.567634346097975,-18.21634394766565
-68.98714518798309,-28.15336762122948,-38.021073071449635,-18.23542783516539
-68.90739646504328,-28.209586391636087,-38.497390812511256,-18.254763465795644
-68.82793448454052,-28.265982661763893,-38.9985149167874,-18.274349386233133
-68.74875602431733,-28.3225319027226,-39.52652478874858,-18.294184123493185
-68.66985792144749,-28.379208730722127,-40.08362074476022,-18.314266184800022
-68.5912370707241,-28.435986896973997,-40.67205391801367,-18.334594057450836
-68.51289042319698,-28.492839279364027,-41.29398810330165,-18.355166208674294
-68.43481498475732,-28.549737876089203,-41.95124412099604,-18.375981085482437
-68.35700781476775,-28.606653801467576,-42.644843691201686,-18.397037114516877
-68.27946602473607,-28.663557284131965,-43.374216583448295,-18.418332701888506
-68.20218677703095,-28.720417667830283,-44.13585818789463,-18.439866233011205
-68.12516728363812,-28.777203415057507,-44.92113922777716,-18.46163607242875
-68.04840480495517,-28.833882113754047,-45.712955274389515,-18.483640563635667
-67.97189664862397,-28.890420487304624,-46.481214375654226,-18.505878028891317
-67.89564016839866,-28.94678440807672,-47.17835198032975,-18.528346769027355
-67.81963276304879,-29.00293891473656,-47.73871105149651,-18.55104506324839
-67.7438718752952,-29.058848233578463,-48.08846329131579,-18.573971168925766
-67.6683549907785,-29.11447580409976,-48.16969419375589,-18.59712332138432
-67.59307963705804,-29.16978430904519,-47.96780675662486,-18.620499733681978
-67.51804338264101,-29.224735709135103,-47.519519851370056,-18.644098596381994
-67.44324383604007,-29.27929128267916,-46.89357054716713,-18.667918077317967
-67.36867864485878,-29.333411670258094,-46.16228305945117,-18.691956321350908
-67.2943454949035,-29.387056924639154,-45.383611280078284,-18.716211450118966
-67.22024210932146,-29.440186566062792,-44.59682933542794,-18.740681561778896
-67.14636624776321,-29.492759643013024,-43.8255846208493,-18.76536473073959
-67.07271570556942,-29.54473479855041,-43.08267591948599,-18.79025900738752
-66.99928831298054,-29.596070342248737,-42.37409035772038,-18.815362417803392
-66.92608193436904,-29.646724327738664,-41.70180126344367,-18.840672963470336
-66.853094467493,-29.69665463581602,-41.06553616529868,-18.86618862097348
-66.78032384277078,-29.74581906302225,-40.463840194160795,-18.891907341690064
-66.70776802257562,-29.794175415556296,-39.894696375552805,-18.917827051470738
-66.63542500054982,-29.841681608318737,-39.35587851006194,-18.943945650311093
-66.56329280093759,-29.88829576883374,-38.84514612928975,-18.970261012013754
-66.49136947793632,-29.933976345732965,-38.3603474052497,-18.996770983840616
-66.41965311506509,-29.978682221423945,-37.89946900584121,-19.02347338615465
-66.34814182455048,-30.022372828505475,-37.460655802543585,-19.050366012051786
-66.27683374672863,-30.065008269427175,-37.04221383393683,-19.077446626982027
-66.20572704946336,-30.106549438831767,-36.64260433948476,-19.104712968359756
-66.13481992757949,-30.146958147958532,-36.26043339153184,-19.132162745163107
-66.06411060231123,-30.186197250430116,-35.894439718952356,-19.159793637521886
-65.99359732076488,-30.224230768694454,-35.543482176558726,-19.187603296294263
-65.92327835539561,-30.26102402034418,-35.2065276444199,-19.215589342631258
-65.85315200349761,-30.29654374350001,-34.88263974936021,-19.243749367529798
-65.78321658670752,-30.330758220406743,-34.57096857430509,-19.251064087904943
-65.71347045052033,-30.363637398370727,-34.270741392831816,-19.257205638404205
-65.6439119638178,-30.395153007149954,-33.98125439640004,-19.2632103637268
-65.57453951840864,-30.425278671903865,-33.701865346334195,-19.269077533077017
-65.50535152858032,-30.453990020816487,-33.43198706736448,-19.27480651140751
-65.43634643066201,-30.48126478652218,-33.171081695766,-19.28039675962632
-65.3675226825985,-30.507082900493177,-32.918655597686744,-19.285847834712225
-65.29887876353445,-30.53142657958755,-32.67425487904092,-19.29115938973806
-65.23041317340905,-30.55428040400713,-32.56772847026167,-19.2963311738017
-65.16212443256055,-30.57563138597815,-32.59495049807142,-19.30136303186486
-65.09401108134024,-30.595469028538083,-32.62168507821839,-19.306254904499394
-65.026071679736,-30.6137853738959,-32.64787831781092,-19.311006827541938
-64.95830480700477,-30.63057504092136,-32.67347528642905,-19.315618931656942
-64.89070906131373,-30.64583525141545,-32.69842009708087,-19.320091441808653
-64.82328305939028,-30.65956584491898,-32.722655997210694,-19.32442467664332
-64.75602543618002,-30.67176928191889,-32.74612547001273,-19.328619047781878
-64.688934844513,-30.68245063542321,-32.76877034624379,-19.332675059024677
-64.6220099547776,-30.69161757098335,-32.790531926638906,-19.336593305469446
-64.5552494546022,-30.699280315349547,-32.811351114938425,-19.34037447254354
-64.48865204854407,-30.705451614051253,-32.83116856143727,-19.34401933495251
-64.42221645778555,-30.710146678293086,-32.84992481684569,-19.347528755546236
-64.35594141983711,-30.713383121651617,-32.86756049613209,-19.350903684104754
-64.28982568824728,-30.715180887144232,-32.884016451885174,-19.354145156045504
-64.22386803231906,-30.71556216531895,-32.89923395659276,-19.357254291054133
-64.15806723683288,-30.71455130408262,-32.91315489309878,-19.360232291641143
-64.09242210177563,-30.712174711040955,-32.925721952343565,-19.363080441626536
-64.02693144207593,-30.7084607491714,-32.93687883735592,-19.365800104554904
-63.9615940873451,-30.70343962668396,-32.94657047231643,-19.368392722043467
-63.89640888162405,-30.697143281948854,-32.95474321537483,-19.37085981206572
-63.8313746831356,-30.68960526438161,-32.96134507377336,-19.348613854969056
-63.76649036404241,-30.68086061217709,-32.9663259197074,-19.31901225927933
-63.70175481020997,-30.670945727775152,-32.96963770525315,-19.289741430442906
-63.63716692097493,-30.659898251920406,-32.971234674603814,-19.260801885465394
-63.57272560891837,-30.64775693715102,-32.97107357178784,-19.2321941165928
-63.50842979964393,-30.6345615215151,-32.96911384200504,-19.203918591654016
-63.44427843156073,-30.620352603269765,-32.96531782469512,-19.175975754392148
-63.38027045567091,-30.605171517269476,-32.95965093646943,-19.14836602478454
-63.3164048353616,-30.589060213695497,-32.95208184206913,-19.121089799352216
-63.25268054620149,-30.57206113972188,-32.94258261159537,-19.094147451458042
-63.189096575741374,-30.554217124652215,-32.93112886234587,-19.06753933159445
-63.12565192331919,-30.53557126900031,-32.91769988372817,-19.041265767660484
-63.06234559986883,-30.516166837925553,-32.90227874387664,-19.01532706522832
-62.99917662773315,-30.496047159371482,-32.88485237677925,-18.98972350779968
-62.93614404048062,-30.475255527195575,-32.86541164893183,-18.964455357051687
-62.873246882726036,-30.453835109518796,-32.843951404755806,-18.939522853072678
-62.81048420995449,-30.431828862467395,-32.820470490256234,-18.914926214588263
-62.747855088349354,-30.409279449424965,-32.794971754651314,-18.890665639176902
-62.685358594623395,-30.386229165863412,-32.76746202994968,-18.86674130347615
-62.622993815853576,-30.362719869774,-32.73795208871745,-18.843153363378853
-62.5607598493189,-30.33879291767745,-32.70645658052028,-18.819901954219656
-62.498655802341816,-30.314489106153133,-32.711512752446595,-18.796987190952063
-62.43668079213246,-30.289848618792877,-32.924340733974205,-18.7744091683158
-62.37483394563622,-30.26491097845444,-33.14104135046773,-18.75216796099493
-62.31311439938419,-30.239715004662962,-33.36169630539398,-18.73026362376625
-62.2515212993466,-30.21429877598681,-33.58638476029103,-18.708696191638698
-62.19005380078908,-30.188699597194457,-33.815182156670694,-18.687465679983315
-62.12871106813184,-30.16295397098478,-34.04815878509328,-18.666572084654007
-62.06749227481132,-30.137097574070324,-34.2853780525541,-18.64601538209915
-62.0063966031449,-30.11116523738528,-34.52689439045486,-18.625795529464245
-61.94542324419782,-30.085190930182613,-34.77275073521429,-18.60591246468526
-61.884571397652856,-30.059207747782686,-35.022975501913976,-18.586366106573138
-61.82384027168255,-30.03324790273393,-35.27757895830666,-18.567156354889377
-61.76322908282365,-30.00734271914687,-35.53654889214832,-18.548283090412497
-61.70273705585404,-29.981522629966385,-35.79984544950841,-18.52974617499583
-61.64236342367202,-29.955817176950518,-36.06739500614535,-18.51154545161634
-61.58210742717785,-29.93025501313047,-36.33908291936323,-18.49368074441458
-61.521968315157395,-29.904863907533095,-36.61474499587601,-18.47615185872615
-61.461945344168,-29.879670751954308,-36.894157505008444,-18.458958581103992
-61.40203777842653,-29.854701569581238,-37.177025570321945,-18.442100679332267
-61.342244889699444,-29.82998152526909,-37.46296979266853,-18.425577902431364
-61.28256595719481,-29.805534937288847,-37.751511002238416,-18.409389980654474
-61.22300026745639,-29.781385290370356,-38.04205311780339,-18.393536625475114
-61.163547114259615,-29.757555249877,-38.33386422255755,-18.378017529566435
-61.10420579850945,-29.734066676956132,-38.626056165223126,-18.362832366771592
-61.04497562814016,-29.710940644520754,-38.9175632814994,-18.34798079206587
-60.985855918016725,-29.688197453926065,-39.20712122240539,-18.333462441509777
-60.9268459898382,-29.665856652215872,-39.49324738345835,-18.319276932194054
-60.86794517204275,-29.643937049821204,-39.77422504665833,-18.305423862175857
-60.8091527997143,-29.622456738603333,-40.048094040689726,-18.29190281040646
-60.75046821449085,-29.60143311014184,-40.31265141178734,-18.278713336650405
-60.69189076447454,-29.58088287417705,-40.5654661331953,-18.26585498139641
-60.63341980414318,-29.560822077122264,-40.80391204848275,-18.25332726575944
-60.57505469426333,-29.541266120570917,-41.02522276839438,-18.241129691374564
