angle_deg,uniform_db,optimized_db,chebyshev_reference_db
-54.63683079244543,-27.201109257995707,-31.369126883257366,-33.65912091169788
-54.58736188894043,-27.315372151257307,-31.403913356628536,-33.78315037257331
-54.53795298509072,-27.432598166246436,-31.438005843477864,-33.910300150449906
-54.48860382649843,-27.552868695915684,-31.47135193599015,-34.04066287845295
-54.439314160477025,-27.67626958432002,-31.50389883116473,-34.174336390786905
-54.39008373603525,-27.802891438780797,-31.535593447717556,-34.31142410524402
-54.34091230386124,-27.93282997045079,-31.566382551505228,-34.452035441957904
-54.291799616306726,-28.066186366417902,-31.5962128892599,-34.596286282586505
-54.242745427371595,-28.203067696904665,-31.625031330327484,-34.74429947469295
-54.19374949268855,-28.343587361593244,-31.65278501599832,-34.89620538675725
-54.14481156950796,-28.487865579662888,-31.67942151591328,-35.05214252003407
-54.09593141668284,-28.636029928758553,-31.70488899091733,-35.21225818437515
-54.047108794654086,-28.788215938861562,-31.729136361621904,-35.37670924620434
