angle_deg,uniform_db,optimized_db,chebyshev_reference_db
-68.90739646504328,-27.207655144632803,-28.209586391636087,-36.98551592191632
-68.82793448454052,-27.35268057682619,-28.265982661763893,-37.20306041127193
-68.74875602431733,-27.501339677615768,-28.3225319027226,-37.42754228158637
-68.66985792144749,-27.653754642893702,-28.379208730722127,-37.65932937582515
-68.5912370707241,-27.81005512463726,-28.435986896973997,-37.89882201169111
-68.51289042319698,-27.970378836093424,-28.492839279364027,-38.14645690031769
-68.43481498475732,-28.134872220077426,-28.549737876089203,-38.40271167521297
-68.35700781476775,-28.30369118844701,-28.606653801467576,-38.66811014917258
-68.27946602473607,-28.477001942031283,-28.663557284131965,-38.94322844422459
-68.20218677703095,-28.65498188174754,-28.720417667830283,-39.22870217458021
-68.12516728363812,-28.837820623335624,-28.777203415057507,-39.52523490737254
-68.04840480495517,-29.025721130176905,-28.833882113754047,-39.833608184045666
-67.97189664862397,-29.218900981064966,-28.890420487304624,-40.15469346109039
-67.89564016839866,-29.417593792684535,-28.94678440807672,-40.48946642886966
-67.81963276304879,-29.622050820007566,-29.00293891473656,-40.83902430051306
-67.7438718752952,-29.832542761989842,-29.058848233578463,-41.20460684225442
-67.6683549907785,-30.049361804989623,-29.11447580409976,-41.58762216093222
-67.59307963705804,-30.272823942474574,-29.16978430904519,-41.98967860138354
-67.51804338264101,-30.50327161707909,-29.224735709135103,-42.41262457765419
-67.44324383604007,-30.741076740297792,-29.27929128267916,-42.858598830590005
-67.36867864485878,-30.986644156479628,-29.333411670258094,-43.330094568681965
-67.2943454949035,-31.240415631950846,-29.387056924639154,-43.83004236483745
-67.22024210932146,-31.502874467767413,-29.440186566062792,-44.361918801561
-67.14636624776321,-31.774550856873375,-29.492759643013024,-44.92989110113192
-67.07271570556942,-32.056028134626544,-29.54473479855041,-45.539013064344545
-66.99928831298054,-32.34795010764228,-29.596070342248737,-46.19549583969182
-66.92608193436904,-32.65102969217495,-29.646724327738664,-46.907090673945405
-66.853094467493,-32.96605915326041,-29.69665463581602,-47.683644270243505
-66.78032384277078,-33.2939223142993,-29.74581906302225,-48.53792950481157
-66.70776802257562,-33.635609210392246,-29.794175415556296,-49.486933552973504
-66.63542500054982,-33.99223379690638,-29.841681608318737,-50.55394348281166
-66.56329280093759,-34.36505551107688,-29.88829576883374,-51.772106587722384
-66.49136947793632,-34.75550573858442,-29.933976345732965,-53.190926149511675
-66.41965311506509,-35.16522058816428,-29.978682221423945,-54.889181294516256
-66.34814182455048,-35.5960818690735,-30.022372828505475,-57.003820732466856
-66.27683374672863,-36.05026886543327,-30.065008269427175,-59.806583144842676
-66.20572704946336,-36.53032451200896,-30.106549438831767,-63.97225299566162
-66.13481992757949,-37.0392410631011,-30.146958147958532,-72.27534546497762
-66.06411060231123,-37.5805725786438,-30.186197250430116,-76.69515481704354
-65.99359732076488,-38.15858497788304,-30.224230768694454,-65.41808263784871
-65.92327835539561,-38.778459801050936,-30.26102402034418,-60.67306242357062
-65.85315200349761,-39.446576538044084,-30.29654374350001,-57.622763090894786
-65.78321658670752,-40.17091293734258,-30.330758220406743,-55.37079021105505
-65.71347045052033,-40.96162789722348,-30.363637398370727,-53.58523223795143
-65.6439119638178,-41.83193699303068,-30.395153007149954,-52.10603363611671
-65.57453951840864,-42.79947681757165,-30.425278671903865,-50.84364034703256
-65.50535152858032,-43.88852726571237,-30.453990020816487,-49.74284716595173
-65.43634643066201,-45.13383355566776,-30.48126478652218,-48.76720655261215
-65.3675226825985,-46.58764602043285,-30.507082900493177,-47.89138876954236
-65.29887876353445,-48.33389966582022,-30.53142657958755,-47.097074606435314
-65.23041317340905,-50.520490265845154,-30.55428040400713,-46.37058545992295
-65.16212443256055,-53.44720337166581,-30.57563138597815,-45.70143728186491
-65.09401108134024,-57.88878206614372,-30.595469028538083,-45.08141730011681
-65.026071679736,-67.4362623307306,-30.6137853738959,-44.503971935448234
-64.95830480700477,-67.4417691561771,-30.63057504092136,-43.963787956653164
-64.89070906131373,-57.90530275878231,-30.64583525141545,-43.456497994046416
-64.82328305939028,-53.47473858044766,-30.65956584491898,-42.978468576481546
-64.75602543618002,-50.5590410725799,-30.67176928191889,-42.52664440803138
-64.688934844513,-48.38346758551391,-30.68245063542321,-42.09843187675606
-64.6220099547776,-46.64823300175758,-30.69161757098335,-41.69161050167605
-64.5552494546022,-45.205441981570765,-30.699280315349547,-41.30426464412498
-64.48865204854407,-43.9711599541572,-30.705451614051253,-40.93473016144377
-64.42221645778555,-42.89313702241795,-30.710146678293086,-40.58155224352273
-64.35594141983711,-41.93662840505,-30.713383121651617,-40.24345173195247
-64.28982568824728,-41.07735464525188,-30.715180887144232,-39.91929795288766
-64.22386803231906,-40.29767958957358,-30.71556216531895,-39.60808660809927
-64.15806723683288,-39.58438810345847,-30.71455130408262,-39.30892163454502
-64.09242210177563,-38.92732173098779,-30.712174711040955,-39.02100020721216
-64.02693144207593,-38.318503167751736,-30.7084607491714,-38.74360025348785
-63.9615940873451,-37.75155336978014,-30.70343962668396,-38.476069990669885
-63.89640888162405,-37.22129124476315,-30.697143281948854,-38.217819105553154
-63.8313746831356,-36.72345132352197,-30.68960526438161,-37.96831127622561
-63.76649036404241,-36.2544799984784,-30.68086061217709,-37.7270577982136
-63.70175481020997,-35.81138547012722,-30.670945727775152,-37.493612124881565
-63.63716692097493,-35.39162526108389,-30.659898251920406,-37.26756516910959
-63.57272560891837,-34.99302054734886,-30.64775693715102,-37.04854124232633
-63.50842979964393,-34.61368998267844,-30.6345615215151,-36.83619452988595
-63.44427843156073,-34.251997924399085,-30.620352603269765,-36.6302060199799
-63.38027045567091,-33.90651345609728,-30.605171517269476,-36.43028081781187
-63.3164048353616,-33.5759776131714,-30.589060213695497,-36.236145788472214
-63.25268054620149,-33.25927691641442,-30.57206113972188,-36.04754748139058
-63.189096575741374,-32.955421810579544,-30.554217124652215,-35.86425029695828
-63.12565192331919,-32.66352895597885,-30.53557126900031,-35.686034862191505
-63.06234559986883,-32.38280657532001,-30.516166837925553,-35.51269658747934
