station,satellite,open_seconds,close_seconds,duration_seconds,accepted
Svalbard,SAT-4,55765.078125,56354.531250,589.453125,true
Fairbanks,SAT-3,56361.796875,56558.437500,196.640625,true
Svalbard,SAT-3,56638.828125,57167.812500,528.984375,true
Hartebeesthoek,SAT-4,57509.296875,58047.187500,537.890625,true
Fairbanks,SAT-2,57668.906250,58198.593750,529.687500,true
Svalbard,SAT-2,58226.718750,58806.796875,580.078125,true
Troll,SAT-4,58268.437500,58827.187500,558.750000,true
Troll,SAT-1,58353.515625,58655.859375,302.343750,true
Cordoba,SAT-1,59021.484375,59474.531250,453.046875,true
Troll,SAT-3,59456.484375,59713.359375,256.875000,true
Troll,SAT-2,60701.015625,61290.234375,589.218750,true
Svalbard,SAT-1,60986.015625,61477.031250,491.015625,true
Fairbanks,SAT-4,61182.890625,61665.000000,482.109375,true
Svalbard,SAT-4,61700.390625,62272.031250,571.640625,true
Fairbanks,SAT-3,62049.140625,62580.234375,531.093750,true
Singapore,SAT-1,62504.531250,62993.671875,489.140625,true
Svalbard,SAT-3,62600.156250,63174.375000,574.218750,true
Fairbanks,SAT-2,63864.140625,64049.531250,185.390625,true
Svalbard,SAT-2,64152.656250,64683.046875,530.390625,true
Troll,SAT-4,64179.609375,64766.015625,586.406250,true
Hartebeesthoek,SAT-3,64386.328125,64887.656250,501.328125,true
Cordoba,SAT-1,64929.375000,65409.140625,479.765625,true
Troll,SAT-3,65191.640625,65666.484375,474.843750,true
Troll,SAT-2,66689.531250,67229.531250,540.000000,true
Svalbard,SAT-1,67002.890625,67490.859375,487.968750,true
Svalbard,SAT-4,67622.578125,68135.625000,513.046875,true
Fairbanks,SAT-3,67946.015625,68523.281250,577.265625,true
Singapore,SAT-1,68509.218750,68807.343750,298.125000,true
Svalbard,SAT-3,68544.375000,69133.359375,588.984375,true
Svalbard,SAT-2,70061.484375,70517.343750,455.859375,true
Troll,SAT-4,70194.140625,70705.546875,511.406250,true
Hartebeesthoek,SAT-3,70364.531250,70754.062500,389.531250,true
Troll,SAT-3,71028.984375,71606.484375,577.500000,true
Cordoba,SAT-2,72077.812500,72403.125000,325.312500,true
Fairbanks,SAT-1,72712.734375,72910.312500,197.578125,true
Troll,SAT-2,72773.671875,73173.750000,400.078125,true
Svalbard,SAT-1,72990.234375,73518.515625,528.281250,true
Svalbard,SAT-4,73525.546875,73964.062500,438.515625,true
Fairbanks,SAT-3,74021.953125,74426.250000,404.296875,true
Svalbard,SAT-3,74475.703125,75035.156250,559.453125,true
Singapore,SAT-2,74592.656250,74739.375000,146.718750,false
Cordoba,SAT-4,75453.750000,75944.765625,491.015625,true
Troll,SAT-1,75807.187500,76065.234375,258.046875,true
Svalbard,SAT-2,75941.484375,76341.562500,400.078125,true
Troll,SAT-4,76297.968750,76652.812500,354.843750,true
Troll,SAT-3,76969.921875,77544.375000,574.453125,true
Cordoba,SAT-2,77866.171875,78418.828125,552.656250,true
Singapore,SAT-4,77905.781250,78361.640625,455.859375,true
Fairbanks,SAT-1,78400.546875,78931.406250,530.859375,true
Troll,SAT-2,78907.734375,79144.921875,237.187500,true
Svalbard,SAT-1,78951.328125,79525.312500,573.984375,true
Svalbard,SAT-4,79396.171875,79792.265625,396.093750,true
Singapore,SAT-2,80320.781250,80830.781250,510.000000,true
Svalbard,SAT-3,80392.734375,80887.031250,494.296875,true
Hartebeesthoek,SAT-1,80737.734375,81238.593750,500.859375,true
Cordoba,SAT-4,81392.578125,81851.250000,458.671875,true
Troll,SAT-1,81542.578125,82017.890625,475.312500,true
Svalbard,SAT-2,81783.515625,82193.203125,409.687500,true
Troll,SAT-4,82426.406250,82641.796875,215.390625,true
Troll,SAT-3,83012.578125,83484.140625,471.562500,true
Singapore,SAT-4,83877.890625,84211.640625,333.750000,true
Fairbanks,SAT-1,84297.187500,84874.453125,577.265625,true
Svalbard,SAT-1,84895.546875,85484.531250,588.984375,true
Troll,SAT-2,84957.890625,85224.843750,266.953125,true
Svalbard,SAT-4,85230.234375,85653.515625,423.281250,true
Fairbanks,SAT-4,85771.640625,85820.390625,48.750000,false
Svalbard,SAT-3,86287.734375,86400.000000,112.265625,false
