point_id,feasible,selected,objective_maximum_gap_hours,objective_negative_contact_hours,objective_launch_complexity,quality,decision_altitude_km,decision_inclination_deg,decision_raan_1_deg,decision_raan_2_deg,decision_raan_3_deg,decision_raan_4_deg,decision_mean_anomaly_1_deg,decision_mean_anomaly_2_deg,decision_mean_anomaly_3_deg,decision_mean_anomaly_4_deg
10,1,0,3.8969401041666667,-26.092513020833334,1.0529801681316868,2.595412325207103,860.4272374283679,90.77392110379986,68.85576462418568,142.31124727387646,84.80412242850252,179.94341658701245,7.383724326179731,296.5978646891995,207.98048602966674,278.46081020808816
11,1,0,3.928580729166667,-17.389192708333333,0.36469524587923796,2.5853650120004024,559.0675045075354,90.09179612268159,278.85749485815666,260.87730219777274,168.1825399289112,234.71673659840437,135.39344119986785,61.96717046942594,218.35692318932644,31.48387609116223
12,1,0,3.5454427083333333,-27.48125,1.3498487388259632,2.5728850732442505,881.1135056397579,93.09004859474719,107.17565530602987,355.3903612546659,302.1261214356777,225.3755086206657,213.23286455799058,150.14065565664683,115.25295360652292,47.45815453144232
13,1,0,3.8696614583333333,-22.8634765625,0.8317807387582026,2.5631263233363826,772.1058917723605,90.09604230683688,278.9267771126655,168.67024270300067,206.5736904469393,237.19893958789032,138.21559310809403,225.76682731430975,212.8013079818418,41.12203819355304
14,1,0,4.026171875,-26.442513020833335,1.056136386439717,2.558665260019856,866.9292504010923,81.24942389028683,163.36816574430776,213.42571610762158,158.77317074291284,264.3293113443598,213.83966845986345,346.2971998081758,62.0264672490909,146.02253617662257
15,1,0,3.7210286458333335,-24.4685546875,1.0476422285769664,2.531148374971853,857.5916356738039,97.80438296504497,142.4618360980866,201.88824073525114,106.65960906192524,81.25403496077799,218.3344603352206,34.76271670692188,195.20359326935989,91.64723850065089
16,1,0,4.0853515625,-25.5302734375,0.9886013018183235,2.524566207988296,818.7773420820004,90.93353895796722,278.63217548483556,254.66934731237268,25.97030345763679,322.24692792490964,133.08973974697585,185.9341575473813,212.579616058835,39.93088256176823
17,1,0,4.0796875,-20.723958333333332,0.6244178109821776,2.511527699029648,659.8917502848069,85.42943300476949,287.0861209406719,182.73010682072294,214.35655343305388,158.3051845694153,354.60149649595996,92.39879319594098,205.4173412395241,148.49665790377043
18,1,0,3.9283854166666665,-16.5263671875,0.34281247756828026,2.497223228056442,559.0675045075354,88.10060663830315,279.55433193388495,256.91090645779013,178.2045725892679,234.7167365984044,138.16660913593444,159.08853182698863,195.21231016278318,31.483876091162244
19,1,0,4.266015625,-26.616471354166666,1.0256340685231673,2.4952113822667163,824.3075556341964,85.97734847348244,279.61250224197437,185.70441765810534,208.66274120787963,128.0915147888955,351.7779549380567,91.4394018879046,218.35692318932644,145.1239335699517
20,1,0,4.07265625,-20.348697916666666,0.6087727098942513,2.49348351176262,659.8917502848069,85.42943300476949,278.83299625960063,182.73010682072294,219.10922759133388,158.30518456941527,354.60149649595996,92.398793195941,205.4173412395241,148.49665790377043
21,1,0,3.8047526041666666,-15.761458333333334,0.3294855844359649,2.4674123533353,532.7005452430144,90.09179612268159,307.1630615429787,260.7306418124195,180.1035951672563,233.5563434414601,137.19440341618895,225.0166839735752,198.75777558868492,33.78172144307382
22,1,0,3.614973958333333,-17.296223958333332,0.533891047095733,2.443360410444697,632.6703396025828,90.24839608344817,163.5714646636972,147.8274099223604,216.2522949131401,254.26377805448413,283.73154196504413,340.5063167487153,207.85656106642034,204.36125978298773
23,1,0,3.6168619791666665,-17.338671875,0.5412784435883861,2.4366201534636818,635.9946680242766,90.24839608344817,163.5714646636972,147.8274099223604,216.25229491314013,254.26377805448413,283.73154196504413,340.5063167487153,207.85656106642034,204.36125978298773
24,1,0,3.7958984375,-26.749609375,1.3173513017617111,2.406886387470327,890.8039478804453,84.99901775289347,236.50390244081726,77.09246203960583,38.11305932800991,152.09847640147393,208.76543804671292,152.74374102008892,205.50929337325158,40.24305754218247
25,1,0,3.7966796875,-26.753190104166666,1.3173513017617107,2.406816506184905,890.8039478804452,85.42009925509547,236.50390244081726,77.09246203960585,38.11305932800991,152.09847640147393,208.76543804671292,152.74374102008892,205.50929337325155,40.24305754218247
26,1,0,3.8042317708333333,-15.378515625,0.33159803774847985,2.4039051108596103,532.7005452430144,90.09179612268159,308.24851123498627,260.7306418124195,180.1035951672563,233.49392830811217,137.19440341618895,159.08853182698863,198.75777558868492,33.78172144307382
27,1,0,3.8027994791666666,-26.936588541666666,1.3427035058003793,2.394036735141043,899.1358756116374,85.42009925509547,236.50390244081726,77.09246203960586,34.82277476839179,152.09847640147393,208.7654380467129,152.7437410200889,205.76279042934118,40.24305754218247
