niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_period_train,descriptor_amplitude_train,descriptor_period_validation,descriptor_amplitude_validation,validation_niche_id,same_niche,visit_count,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
68,8,6,10.59557455080696,11.70554547530827,54.59587446136288,13156.5,59.956470846081345,12792.5,69,0,2,1.253732017582232,2.867232549204015,-2.5,1.883477325056888,1.8784859722383813,0.7630496137946742,0.8769697270102464,-0.8010299956639813,-0.25795034424699964,-1.1078476588964745,-0.013400983205935336,0.10985910660077793,0.7498772471457532,1.9181956654779142,2.311545613204589
79,9,7,11.602920181362789,13.392577209883184,64,14458.5,59.76661617098987,17761.25,89,0,21,1.2635038001195118,2.899639589881365,-2.5,1.8862758218404265,1.8979389120412846,0.9343538448063751,0.8725730071969197,-0.7981420985082887,-0.3238453142423287,-1.1249360259242065,0.028301639357072292,0.24196207106505443,0.7067212874321153,1.7284901451316723,2.120517967247002
77,7,7,12.01141123355535,11.899123613294208,50.87369007182099,14515.5,60.16289627346782,14418.5,79,0,2,1.419278885319339,2.8874206766733788,-2.440751127074198,1.939000026605487,1.910704928277755,0.8374997254032978,0.8696213334230051,-0.8010299956639813,-0.30056732426478483,-1.0610300641257127,-0.04573839983564358,0.4888999558927653,0.790931965937887,2.1989700043360187,2.2110070923042215
88,8,8,12.604501824476834,14.244730643971618,56.181591761429445,17246,54.799882350260944,19356.25,98,0,2,1.237921384346423,2.9235570013684065,-2.474498961147109,1.8837541403786404,1.8924171025159706,0.9674072049376093,0.87309996679571,-0.7886090501375114,-0.3173409986931372,-1.1069719426250288,0.02665423459816611,0.24662304567805954,0.7339941673469683,1.7295046198171113,2.094598812378208
89,9,8,12.69594212459725,13.526900814082701,64,16738.5,59.911131954433046,17078.25,89,1,11,1.2541201102742427,2.9475223643664137,-2.454796382188997,1.8508665401810624,1.9137591837867096,0.9457955809896444,0.8709925175703757,-0.77838446568895,-0.3492716782189721,-1.143208699260917,0.004804155692378028,0.22064627367467063,0.7165552003719696,1.7718902437010449,2.130002226309346
99,9,9,12.875337415687659,12.241394488437813,64,18188,64,18727.75,99,1,21,1.1989700043360187,2.903465770844314,-2.2314368852091193,1.9458890263696942,1.8621431794279721,0.9179315072937443,0.8914246744913373,-0.8010299956639813,-0.43250607809630276,-1.1989700043360187,-0.005120217960614903,0.2668146096766621,0.7191464925333269,1.8442135882074895,2.1029183513493157
64,4,6,13.204798371273412,13.509134092398144,35.19584025959011,12165,29.48246817060218,11677.5,53,0,2,1.8675283904765285,2.808363303265668,-1.932970667654014,1.8671479136512348,2.1989700043360187,1.050846855885912,0.7768437881523462,-0.5069637337336903,-0.009022376504652999,-0.7938208998248113,-0.10474606555433724,-0.2852961193326332,0.7619796375510771,1.3974613733889854,2.2501583291290452
75,5,7,13.71237780610173,13.835451840529629,41.50174922565597,14485.5,40.88170135649304,14215.25,75,1,1,1.965723190665024,3.005133634172679,-1.782519913681987,2.0342466130053887,2.0751917361654737,1.0087630267185022,0.721918585427336,-0.3998656264993533,0.020907661079067722,-0.8679725976886268,-0.13264443688541602,-0.039798702115496715,0.7311950860996598,1.6800403757310616,2.138298117445058
76,6,7,14.021248160939312,14.86021116975187,42.61627055271929,14818,42.18361759858999,15426.5,76,1,1,2.1989700043360187,2.96162957727293,-1.6758148683668521,2.068833227652291,2.031812452907146,0.9861877888882247,0.7081282510772847,-0.5713541119509551,-0.020631789710787624,-0.9031127098803949,-0.18616651859322092,-0.21549051511745967,0.7524383570260017,1.680649170064324,2.1212096724991394
86,6,8,14.965734766397052,15.05646038517973,41.86913456804215,17858.5,41.824077672907286,17932.25,86,1,1,2.1157041499212896,2.9891132772183044,-1.8418097525134773,2.050696106224554,2.0262465738306235,1.1122036018899997,0.7177228726072592,-0.5783286217086905,-0.03540316125456054,-0.9054351211756287,-0.17066481282534293,-0.09547752145266589,0.7381709097014642,1.5906652401189842,2.1345208295487947
95,5,9,15.539061478442187,16.170900150515838,41.303417066081266,19558,42.49567300336593,18827.25,96,0,1,2.086955755750221,3.0246639070464982,-1.8748470780754312,2.0503531341278407,2.006844255379931,1.1000787160909267,0.677420985736713,-0.5893372654886082,-0.04219066297110403,-0.8577507908573692,-0.2052831700394661,-0.0643976520069099,0.7360704763067986,1.5587853390864723,2.1187299584431756
97,7,9,16.76718247845893,16.56268874264649,48.14679405638568,21677.5,64,19470.75,99,0,1,1.325067376769484,2.9491671460049083,-2.3723016126678464,1.8658592657316484,1.8724796557606533,0.8788916835848827,0.7680240666512499,-0.7837921736301419,-0.4231494895631558,-1.0318166614877642,0.021102861838813314,0.4660687516141501,0.7813655483710682,2.0788713743099594,2.0237821679550874
