point_id,selected,quality,exposure,maximum_receptor,fan_power,final_mass_fraction,clearance_time,flow_rate_m2_s,low_velocity_fraction,decision_inlet_y,decision_inlet_width,decision_outlet_y,decision_outlet_width,decision_inlet_velocity,decision_baffle_x,decision_baffle_y,decision_baffle_length,decision_baffle_angle
66,0,1.355891361915234,0.7132479902473191,0.2548193355885612,0.17712327745834636,0.9596180967639303,1,1.0184056451700698,0.30952380952380953,0.2692831965352487,0.37952746232516843,0.36786341265000866,0.3755135969059221,0.8944505525641677,0.3990374993723578,0.34618046250854734,0.6311040275671052,0.6638551892514651
67,0,1.3586934790683052,0.6809531899140286,0.3954912141769963,0.4896281863272895,0.7641380896006411,1,1.497572532544092,0.23040380047505937,0.3075639770957804,0.4070506222154091,0.5239647846031028,0.40140274385516195,1.2263605972752813,0.3591644607107698,0.2922186032762679,0.5997185485060514,0.7304648595883656
68,0,1.3605722223834058,0.683134558838345,0.46224325413775286,0.6030280482377738,0.6514208536572592,1,1.6968354103986976,0.046511627906976744,0.31081746105162644,0.44237507688183086,0.2854768840342672,0.2979035028631445,1.2785797234624074,0.20017599940394348,0.5542781707702557,0.6289121582299817,-1.2077666302805863
69,0,1.3617746879117352,0.6886086072659453,0.49955196723897216,0.7207348639204966,0.558486248484409,1,1.6864082367620046,0.08837209302325581,0.2802694320659571,0.40091853638482466,0.34890070898771836,0.36392253614136416,1.4021204506770364,0.392956662273369,0.5681474265831867,0.6499326951491738,0.9274167572260682
70,0,1.3623810990268184,0.7394867034530446,0.5063027198572564,0.4034336684690387,0.5781126039026756,1,1.4871367526323878,0.09862385321100918,0.3022258765261717,0.4437517920582092,0.3742391207932857,0.37761992105630304,1.1170935188300883,0.39549037588858454,0.6361822577917876,0.5870433506047266,0.7645868919239278
71,0,1.3627290812453712,0.6977548669002781,0.46350777192377335,0.606749989812195,0.6237406608415343,1,1.7003192579192796,0.055944055944055944,0.31163534163913154,0.44237507688183086,0.2833619266368458,0.2979035028631445,1.2812048318094829,0.20011906192050344,0.5583520694704536,0.637081460483447,-1.2222556709183872
72,0,1.3646943892723766,0.7444365814780756,0.5127482432498478,0.34222393215918506,0.5908777994750809,1,1.3836165127154085,0.04205607476635514,0.31206046490748496,0.4323826367282328,0.2909090211326771,0.3559586199823469,1.0666605572516383,0.35484740601961623,0.5312665180283194,0.6000901016629789,-0.9545008941112054
73,0,1.3667577111713252,0.72585382677513,0.27126355454639534,0.14423375484643006,0.9528507123074231,1,1.0518899854418438,0.2714285714285714,0.2802764122304359,0.4414910005208984,0.2522247851053256,0.38665681842311417,0.7941951132267392,0.36735687093377967,0.3123836758115897,0.5984758418947722,0.6728366650716273
74,0,1.3688901083876526,0.6767880553491167,0.460129609392827,0.505840816566958,0.7217381700574617,1,1.59748694266646,0.06526806526806526,0.26622309066238775,0.44121357907045433,0.2914400282923182,0.36308615766980756,1.206888619968009,0.23617958209350745,0.5537070306774984,0.65,-1.3838529457706987
75,0,1.3704014780273677,0.7126973337445696,0.33552100852618627,0.16788704459727105,0.9127324622005017,1,1.1106580295220345,0.38571428571428573,0.2646556246399622,0.4439783352738594,0.6674668878381715,0.3359571596334465,0.8338680376051433,0.3781044053122823,0.3076817717571425,0.6141483801268299,0.6194306939333479
76,0,1.371226962826481,0.7136453665035974,0.4903399339103145,0.4649712713206399,0.6388347502071964,1,1.5706686661316414,0.05787037037037037,0.300943182050848,0.4486561642931465,0.36605788659080674,0.4361162775259684,1.1669431152667618,0.20155753230547405,0.6080148507640478,0.606308474141771,1.326229021493386
77,0,1.3719380735219349,0.7227115834905957,0.22716474267264714,0.9873428641121851,0.676351091745157,1,2.0185676332960227,0.1722488038277512,0.3068119775051361,0.44857058517689397,0.6123838706453724,0.3711410499892645,1.5,0.3745524375142688,0.3319447366342337,0.6498369600848992,0.7396998819606027
78,0,1.372703586742485,0.7238963970614615,0.4967261490611209,0.7419956955366027,0.5040899520862855,1,1.8263485907608843,0.11032863849765258,0.278889324174392,0.44532250901997306,0.2833564952891403,0.35830870255522373,1.3670606161963779,0.40200248472411493,0.5377159969578563,0.6499999999999999,0.882551515622835
79,0,1.3741171163129016,0.7429855527689696,0.2823423262794326,0.05666856342920852,0.957253375436748,1,0.7472378371306554,0.3952380952380952,0.303189625848004,0.4217130202166878,0.5538998239971424,0.35137053266997614,0.5906369191910841,0.4019085528172964,0.33987197651655787,0.606210298408471,0.6377156200861241
80,0,1.379359306418067,0.763610628910665,0.5117437468784567,0.26078290755578587,0.6154404451140332,1,1.2107068083314867,0.11162790697674418,0.26295982217699476,0.4054326731584888,0.2650618570521276,0.4373062155872949,0.995403091138477,0.549512415681185,0.6313611425639929,0.6469365377167497,-0.8241976085537428
81,0,1.383618171794027,0.7777418078831796,0.3042340277936542,0.5486272284990852,0.6880678086284066,1,1.6288009936869616,0.0997624703087886,0.3106907589313814,0.436177429621981,0.25837474044979303,0.38523219500380645,1.2447541474873223,0.3907609205993073,0.18791104300391281,0.6493917438170588,0.14328031466910413
82,0,1.3855955152138422,0.7193590415642852,0.49127007668668965,0.9281897842417581,0.469926956915721,1,1.9816215550325729,0.0911214953271028,0.34468001575736473,0.44999999999999996,0.1832840061577326,0.3635800652555794,1.4678678185426466,0.3582025237035692,0.5556840632597166,0.638196520271286,0.9422592972451392
83,0,1.3878527588263228,0.7342653930098165,0.49205482424004493,0.8359470477066601,0.4807410883103036,1,1.913674393351437,0.10514018691588785,0.34468001575736473,0.44999999999999996,0.1832840061577326,0.3635800652555794,1.4175365876677315,0.3582025237035692,0.5556840632597166,0.638196520271286,0.9422592972451393
84,0,1.3885552153094565,0.720487625524646,0.4765694332310783,0.6011881332288441,0.6190904930470049,1,1.6949691360674293,0.04906542056074766,0.3118531668453342,0.4423207582294234,0.26776335726569084,0.29878688638135736,1.2773303117947428,0.20850787245707475,0.5327542577824915,0.5937095393827146,-1.3390554557911698
85,0,1.3905781796622334,0.766783876925236,0.31135387662700376,0.009769557332921926,0.9323269059138221,1,0.41905931935339935,0.2631578947368421,0.2827273532274897,0.42655559356886796,0.24668639962029187,0.400535842771478,0.3274753441063806,0.30018086520015014,0.24846764970940272,0.628645074736905,0.46793791110178073
86,0,1.3926488446450798,0.7692886993100843,0.31152376692748823,0.009769557332921923,0.9312887008093341,1,0.4190593193533993,0.25,0.28272735322748965,0.42655559356886796,0.24668639962029185,0.4149448600859133,0.3274753441063805,0.3001808652001501,0.24846764970940272,0.5802617997714495,0.46793791110178073
