niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_precision_train,descriptor_sharpness_train,descriptor_precision_validation,descriptor_sharpness_validation,visit_count,retained_niche,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index,selection_feasible
28,8,1,0.5094095030157524,0.49099922907114707,0.36136662286465177,0.13006056108977238,0.36533707997424436,0.13010851707813847,17,0,22,23,4,9,0.8215754824041348,0.28579005131902174,3.975896259880659,1,0
11,11,0,0.5101822378078674,0.501729641645172,0.4042253521126761,0.11641578681542816,0.44070503360282814,0.11128241166280686,17,0,66,23,4,31,0.7476688493988528,0.3388877641593981,3.849942982221388,0,0
27,7,1,0.5108013782614644,0.48976235223340087,0.3470661672908864,0.1326862713619011,0.36350926959806645,0.134296538006378,20,0,22,21,6,16,0.8089587054900922,0.2795954125151251,3.8041908309440347,1,0
106,6,5,0.5120695324510611,0.490973643776038,0.33691756272401435,0.20094869103300383,0.3653143174724437,0.20034084095397406,77,0,44,13,2,14,0.9979706540047205,0.7448891141428676,3.987997331952103,1,1
126,6,6,0.5121290443213893,0.4864728675198665,0.3362962962962963,0.21006955214556725,0.3726338858175612,0.21192694089110212,101,0,70,4,10,32,0.4910154706600335,0.262966361075882,3.958313441970925,0,1
45,5,2,0.5121997267216509,0.49081124870498166,0.3227917121046892,0.14138598763948546,0.3573357167778929,0.14378922345193784,31,0,20,23,3,20,0.7383117179049823,0.3737164995335649,3.712881984474326,1,0
26,6,1,0.5134070347429033,0.49673011661717603,0.33695652173913043,0.1302918999359252,0.36255265216788146,0.13124142936318112,20,0,24,24,4,17,0.7886138364760511,0.3091801838558201,3.992041718679215,1,0
146,6,7,0.5135911809535373,0.5017270397411882,0.3375248180013236,0.23251772559264358,0.35510199046687435,0.23628808323583783,138,0,256,11,1,2,1,0.9265919672939054,3.7208207350144096,1,1
188,8,9,0.5137628055192891,0.5038820179966692,0.3580645161290323,0.258017432199905,0.37889826382369474,0.26286341022646276,128,0,253,7,7,3,0.9062162349781,0.6491189574322715,3.283002912294013,1,1
12,12,0,0.5138067987996646,0.5032246668218743,0.41086350974930363,0.11545999483874497,0.43749164909970534,0.11142737166143613,15,0,70,23,3,34,0.7355531760334819,0.325323326290646,3.843904085383519,0,0
189,9,9,0.515074650322171,0.5077974288289666,0.368,0.2578381075976564,0.3751998280870761,0.26096434554557957,102,1,254,8,40,4,0.6660662617516163,0.9932642810295803,3.095895158360107,0,1
64,4,3,0.5154230620884444,0.46590816152254605,0.3097949886104784,0.16075190554406968,0.34209549532949984,0.1651322699958975,49,0,12,18,2,15,0.5664300674496677,0.4105121324380887,2.8316886166885626,1,0
44,4,2,0.5162961222154494,0.49147163898976204,0.30975143403441685,0.1513659263331468,0.32988512388093083,0.156326500001591,37,0,16,24,1,8,0.6318237247375098,0.4583665854660361,3.822400097984155,1,0
9,9,0,0.5163560622795748,0.4967024466603243,0.37597911227154046,0.11666608724345863,0.4350716104721332,0.11975702088582516,7,0,70,12,10,9,0.438319881446084,0.25,3.791312915301612,0,1
166,6,8,0.5164049495916065,0.5064116087594165,0.33771626297577856,0.2496675792520942,0.3653885459748624,0.2541067614711724,190,0,152,9,5,12,0.9372708585361124,0.7793621381473904,3.5495620400874706,1,1
86,6,4,0.516742000242926,0.4691346780111861,0.3368421052631579,0.18609229435726538,0.3856686371303458,0.18968280551242922,62,0,15,15,2,8,0.619675443028264,0.6232700548467551,3.455034028649674,1,1
65,5,3,0.5175643848687457,0.45822961424117203,0.3190789473684211,0.1642347740382837,0.3483379496175606,0.17214607092581868,72,0,12,15,1,15,0.5634119509526061,0.44247808436310243,2.7556039411101803,0,0
85,5,4,0.5186959304602708,0.4950713327614873,0.3223495702005731,0.18448017264517302,0.3303488517246228,0.18464215866540604,70,0,16,24,32,15,0.8002460107486997,0.446094800755011,3.6163499607663385,1,1
187,7,9,0.5193726815509953,0.5062586107313056,0.3502994011976048,0.25996225927297817,0.3727886654022382,0.26243866132546106,122,0,256,7,12,2,1,0.6244739635171185,3.4384335619204065,1,1
10,10,0,0.520817565073386,0.5016314898671483,0.38016528925619836,0.11297899858921705,0.4138838069840952,0.11635081729579995,9,0,50,16,13,9,0.41611625185008844,0.26565120839598416,3.5538361110873686,0,0
25,5,1,0.522777024063862,0.5007297099925512,0.3157894736842105,0.13131540089711147,0.35128197045848175,0.13141886505584516,17,0,22,24,3,13,0.6572836427698806,0.27268113849196257,3.8685825576075397,0,0
24,4,1,0.5233156422706043,0.49812023037221304,0.3025302530253025,0.1324924027336378,0.3269242419543084,0.13557006796490936,9,0,18,20,1,20,0.6174633253051937,0.25,3.494091253828768,0,0
43,3,2,0.5249189068843082,0.4976354220845853,0.2921589688506982,0.13824922456787772,0.318792307839336,0.14460475147045249,33,0,16,22,4,14,0.8297643364708107,0.2553652058179894,3.97828265039672,1,0
186,6,9,0.5279511663100972,0.5194298751007899,0.3358730158730159,0.2576812761542684,0.351724217579051,0.25963649713937154,155,0,256,10,3,4,1,1,3.612185754965736,1,1
145,5,7,0.529331060784661,0.517124723715326,0.3203821656050955,0.23192926917077455,0.35724221698354797,0.23262679034022532,94,0,193,3,12,25,0.4171943737347232,0.30684165059140434,3.823536001169829,0,1
