design,field_deg,wavelength_um,ray_id,x_mm,y_mm
reference,0,0.4861,80,-0.00020252953965615994,-0.0004050590793123199
reference,0,0.4861,81,-0.0005000759777276098,-0.0005000759777276098
reference,0,0.4861,82,-0.0005997625654033945,0
reference,0,0.4861,83,-0.0005000759777276098,0.0005000759777276098
reference,0,0.4861,84,-0.00020252953965615994,0.0004050590793123199
reference,0,0.4861,85,0.00028812330299654576,-0.0008643699089885271
reference,0,0.4861,86,0.0009632071091255634,-0.0038528284365022536
reference,0,0.4861,87,0.001808837968985788,-0.00904418984492894
reference,0,0.4861,88,0.0028037614080833606,-0.01682256844849883
reference,0,0.4861,89,0.003915823995728651,-0.02741076797010411
reference,0,0.4861,90,0,0.04017106331657505
reference,0,0.4861,91,0,0.026831013313236785
reference,0,0.4861,92,0,0.01629136208205484
reference,0,0.4861,93,0,0.008581034862074954
reference,0,0.4861,94,0,0.003470619495697491
reference,0,0.4861,95,0,0.0005716067282335313
reference,0,0.4861,96,0,-0.0006029119563619734
reference,0,0.4861,97,0,-0.0005997625654033945
reference,0,0.4861,98,0,0
reference,0,0.4861,99,0,0.0005997625654033945
reference,0,0.4861,100,0,0.0006029119563619734
reference,0,0.4861,101,0,-0.0005716067282335313
reference,0,0.4861,102,0,-0.003470619495697491
reference,0,0.4861,103,0,-0.008581034862074954
reference,0,0.4861,104,0,-0.01629136208205484
reference,0,0.4861,105,0,-0.026831013313236785
reference,0,0.4861,106,0,-0.04017106331657505
reference,0,0.4861,107,-0.003915823995728651,0.02741076797010411
reference,0,0.4861,108,-0.0028037614080833606,0.01682256844849883
reference,0,0.4861,109,-0.001808837968985788,0.00904418984492894
reference,0,0.4861,110,-0.0009632071091255634,0.0038528284365022536
reference,0,0.4861,111,-0.00028812330299654576,0.0008643699089885271
reference,0,0.4861,112,0.00020252953965615994,-0.0004050590793123199
reference,0,0.4861,113,0.0005000759777276098,-0.0005000759777276098
reference,0,0.4861,114,0.0005997625654033945,0
reference,0,0.4861,115,0.0005000759777276098,0.0005000759777276098
reference,0,0.4861,116,0.00020252953965615994,0.0004050590793123199
reference,0,0.4861,117,-0.00028812330299654576,-0.0008643699089885271
reference,0,0.4861,118,-0.0009632071091255634,-0.0038528284365022536
reference,0,0.4861,119,-0.001808837968985788,-0.00904418984492894
reference,0,0.4861,120,-0.0028037614080833606,-0.01682256844849883
reference,0,0.4861,121,-0.003915823995728651,-0.02741076797010411
reference,0,0.4861,122,-0.008322726642737477,0.029129543249581058
reference,0,0.4861,123,-0.00613383597843109,0.01840150793529549
reference,0,0.4861,124,-0.0041692546474840775,0.010423136618711748
reference,0,0.4861,125,-0.0024960087772445405,0.004992017554489081
reference,0,0.4861,126,-0.0011583945896738168,0.0017375918845106142
reference,0,0.4861,127,-0.0001853454007825217,0.0001853454007825217
reference,0,0.4861,128,0.0004050590793123199,-0.00020252953965615994
reference,0,0.4861,129,0.0006029119563619734,0
reference,0,0.4861,130,0.0004050590793123199,0.00020252953965615994
reference,0,0.4861,131,-0.0001853454007825217,-0.0001853454007825217
reference,0,0.4861,132,-0.0011583945896738168,-0.0017375918845106142
reference,0,0.4861,133,-0.0024960087772445405,-0.004992017554489081
reference,0,0.4861,134,-0.0041692546474840775,-0.010423136618711748
reference,0,0.4861,135,-0.00613383597843109,-0.01840150793529549
reference,0,0.4861,136,-0.008322726642737477,-0.029129543249581058
reference,0,0.4861,137,-0.01368126939392944,0.0319229619191681
reference,0,0.4861,138,-0.010491034869610782,0.020982069739221565
reference,0,0.4861,139,-0.007610904409931063,0.012684840683216514
reference,0,0.4861,140,-0.005148620917244662,0.006864827889660585
reference,0,0.4861,141,-0.0031753568276007282,0.0031753568276007282
reference,0,0.4861,142,-0.0017375918845106142,0.0011583945896738168
reference,0,0.4861,143,-0.0008643699089885271,0.00028812330299654576
reference,0,0.4861,144,-0.0005716067282335313,0
reference,0,0.4861,145,-0.0008643699089885271,-0.00028812330299654576
reference,0,0.4861,146,-0.0017375918845106142,-0.0011583945896738168
reference,0,0.4861,147,-0.0031753568276007282,-0.0031753568276007282
reference,0,0.4861,148,-0.005148620917244662,-0.006864827889660585
reference,0,0.4861,149,-0.007610904409931063,-0.012684840683216514
reference,0,0.4861,150,-0.010491034869610782,-0.020982069739221565
reference,0,0.4861,151,-0.01368126939392944,-0.0319229619191681
reference,0,0.4861,152,-0.016320045946883965,0.024480068920326392
reference,0,0.4861,153,-0.012615209613167089,0.015769012016459527
reference,0,0.4861,154,-0.009428633419430454,0.009428633419430454
reference,0,0.4861,155,-0.006864827889660585,0.005148620917244662
reference,0,0.4861,156,-0.004992017554489081,0.0024960087772445405
reference,0,0.4861,157,-0.0038528284365022536,0.0009632071091255634
reference,0,0.4861,158,-0.003470619495697491,0
reference,0,0.4861,159,-0.0038528284365022536,-0.0009632071091255634
reference,0,0.4861,160,-0.004992017554489081,-0.0024960087772445405
reference,0,0.4861,161,-0.006864827889660585,-0.005148620917244662
reference,0,0.4861,162,-0.009428633419430454,-0.009428633419430454
reference,0,0.4861,163,-0.012615209613167089,-0.015769012016459527
reference,0,0.4861,164,-0.016320045946883965,-0.024480068920326392
reference,0,0.4861,165,-0.023967184986525947,0.028760621983831225
reference,0,0.4861,166,-0.019579119978645476,0.019579119978645476
reference,0,0.4861,167,-0.015769012016459527,0.012615209613167089
reference,0,0.4861,168,-0.012684840683216514,0.007610904409931063
reference,0,0.4861,169,-0.010423136618711748,0.0041692546474840775
reference,0,0.4861,170,-0.00904418984492894,0.001808837968985788
reference,0,0.4861,171,-0.008581034862074954,0
reference,0,0.4861,172,-0.00904418984492894,-0.001808837968985788
reference,0,0.4861,173,-0.010423136618711748,-0.0041692546474840775
reference,0,0.4861,174,-0.012684840683216514,-0.007610904409931063
reference,0,0.4861,175,-0.015769012016459527,-0.012615209613167089
reference,0,0.4861,176,-0.019579119978645476,-0.019579119978645476
