seed,sample,source,vehicles_train,imbalance_cv_train,mean_waiting_s_train,distance_km_train,vehicles_holdout,imbalance_cv_holdout,mean_waiting_s_holdout,distance_km_holdout,holdout_feasible
253,297,local,8.00000000000000000,0.33012036324957089,474.55281853993164987,603.06864613845266376,8.00000000000000000,0.35758869401129439,128.73154297106248123,2221.65269514658803018,false
143,309,local,8.00000000000000000,0.36611431554282020,261.02848001062193362,661.74508873967727141,8.00000000000000000,0.31870865518877484,207.49474063759134879,2213.60586106997561728,false
42,319,local,8.00000000000000000,0.33407325904810797,292.73042991083912057,601.63444318906397257,8.00000000000000000,0.34440274116042785,224.45791272393125837,2240.48631653166376054,false
143,319,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
253,319,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
143,331,local,8.00000000000000000,0.38965877969189311,395.50257196566053608,734.61897155559222483,8.00000000000000000,0.22882070345288086,236.67999470269887752,2081.18643649376053872,false
42,341,local,8.00000000000000000,0.35683562159974835,150.54932298779431221,594.00577458703378397,8.00000000000000000,0.34850886978117190,128.73154297106248123,2263.72833945872935146,false
143,341,local,8.00000000000000000,0.34929402625908507,129.58747776272002739,596.09346402268567999,8.00000000000000000,0.37429227230910611,128.73154297106248123,2246.65801320344735359,false
253,341,local,8.00000000000000000,0.33230302906679005,360.95320337207476769,602.17553628076655059,8.00000000000000000,0.34109042760349617,200.66750874548915817,2242.16327460625961976,false
42,363,local,8.00000000000000000,0.34929402625908507,129.58747776272002739,596.09346402268567999,8.00000000000000000,0.37429227230910611,128.73154297106248123,2246.65801320344735359,false
143,363,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
253,363,local,8.00000000000000000,0.33135229497446400,355.98589703149582419,602.70538229042824696,8.00000000000000000,0.35590945873243313,200.66750874548915817,2240.43523118022494600,false
42,365,local,8.00000000000000000,0.28211894440514929,627.60684273495235175,762.64734415664372591,8.00000000000000000,0.37604816053003071,207.49474063759134879,2025.95776154784243772,false
42,375,local,8.00000000000000000,0.25348768007424349,435.34228082887784694,710.70782680723027624,8.00000000000000000,0.28998539013165286,224.45791272393125837,2176.12906067395579157,false
42,385,local,8.00000000000000000,0.33867422167069933,440.74795794534838933,600.08628366913569607,8.00000000000000000,0.39471195000059695,654.76894072318600593,2246.88754747631446662,false
143,385,local,8.00000000000000000,0.34929402625908507,129.58747776272002739,596.09346402268567999,8.00000000000000000,0.37429227230910611,128.73154297106248123,2246.65801320344735359,false
253,385,local,8.00000000000000000,0.32769545983191734,465.00542798731430594,604.08703446406514104,8.00000000000000000,0.35905587846392134,200.66750874548915817,2227.32397395861153200,false
143,397,local,7.00000000000000000,0.54160130239186988,362.02651323904655101,745.96206102904875479,7.00000000000000000,0.14132796907890177,125.74860534227056519,2154.20029768108861390,false
42,407,local,8.00000000000000000,0.33461476125581124,418.04611668990082762,601.39265038630105664,8.00000000000000000,0.36626097910595218,507.53846787408201635,2256.96395231751102983,false
143,407,local,8.00000000000000000,0.34929402625908507,129.58747776272002739,596.09346402268567999,8.00000000000000000,0.37429227230910611,128.73154297106248123,2246.65801320344735359,false
253,407,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
42,419,local,8.00000000000000000,0.26204178409996165,350.99823184524620956,713.95742122977321742,8.00000000000000000,0.20923920045336802,240.17938361437563799,2138.66091072470135259,false
42,429,local,8.00000000000000000,0.34329279789608713,554.40285291661257361,598.55130913827326822,8.00000000000000000,0.35232563964702940,554.14369896047355724,2263.85259271833319872,false
143,429,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
253,429,local,8.00000000000000000,0.33867422167069933,440.74795794534838933,600.08628366913569607,8.00000000000000000,0.39471195000059695,654.76894072318600593,2246.88754747631446662,false
143,441,local,8.00000000000000000,0.22786821392165046,419.43223760674027289,687.11627196638312398,8.00000000000000000,0.25212079490687689,334.14470566580348532,2169.00605641631455001,false
253,441,local,8.00000000000000000,0.32783803048872978,347.17490378680531649,744.79370542178980941,8.00000000000000000,0.16500165721534410,471.84349389766157401,2120.46555716467173625,false
253,443,local,8.00000000000000000,0.51447982539325754,329.18062251465698864,916.14106722455574072,8.00000000000000000,0.42566845320315938,350.56446693630095979,2040.44608743482262980,false
42,451,local,8.00000000000000000,0.32889119304405673,470.15189426592087329,603.53807806101372080,8.00000000000000000,0.32213917358297012,200.66750874548915817,2266.99984081556431192,false
143,451,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
253,451,local,8.00000000000000000,0.32903718930706577,360.95320337207476769,603.48256114020239238,8.00000000000000000,0.35185237239498302,200.66750874548915817,2237.13870115362533397,false
42,463,local,8.00000000000000000,0.27994826238558479,557.59569557152008201,676.16398891125561477,8.00000000000000000,0.36791738634206211,756.45139775247344005,2267.90935024460532077,false
42,465,local,8.00000000000000000,0.46075348112192210,608.70202401726282915,910.32526768624563829,8.00000000000000000,0.34304201155634811,228.02476118400591076,1988.17050600926063453,false
42,473,local,8.00000000000000000,0.35683562159974835,150.54932298779431221,594.00577458703378397,8.00000000000000000,0.34850886978117190,128.73154297106248123,2263.72833945872935146,false
143,473,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
253,473,local,8.00000000000000000,0.35683562159974835,150.54932298779431221,594.00577458703378397,8.00000000000000000,0.34850886978117190,128.73154297106248123,2263.72833945872935146,false
143,485,local,8.00000000000000000,0.56510311205531016,493.00646857534229639,841.52585154077621610,8.00000000000000000,0.37714985673597029,253.83356832975596262,2090.83417963614101609,false
42,495,local,8.00000000000000000,0.33492824277308597,440.74795794534838933,601.39330852857153786,8.00000000000000000,0.35678944584207462,654.76894072318600593,2241.86297402367927134,false
143,495,local,8.00000000000000000,0.35683562159974835,150.54932298779431221,594.00577458703378397,8.00000000000000000,0.34850886978117190,128.73154297106248123,2263.72833945872935146,false
253,495,local,8.00000000000000000,0.34929402625908507,129.58747776272002739,596.09346402268567999,8.00000000000000000,0.37429227230910611,128.73154297106248123,2246.65801320344735359,false
42,507,local,8.00000000000000000,0.45019396806896084,584.27121581959818286,720.07938859882165161,8.00000000000000000,0.31772713662849322,654.76894072318600593,2165.58846460298764214,false
42,517,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
143,517,local,8.00000000000000000,0.33408119417966420,271.16121471130873033,601.69922931967232671,8.00000000000000000,0.35760531167363535,200.66750874548915817,2257.36105397297524178,false
253,517,local,8.00000000000000000,0.33408119417966420,271.16121471130873033,601.69922931967232671,8.00000000000000000,0.35760531167363535,200.66750874548915817,2257.36105397297524178,false
42,539,local,8.00000000000000000,0.32769545983191734,465.00542798731430594,604.08703446406514104,8.00000000000000000,0.35905587846392134,200.66750874548915817,2227.32397395861153200,false
143,539,local,8.00000000000000000,0.32769545983191734,465.00542798731430594,604.08703446406514104,8.00000000000000000,0.35905587846392134,200.66750874548915817,2227.32397395861153200,false
253,539,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
143,541,local,8.00000000000000000,0.41096484455333060,365.23997878998216038,699.49349261631482477,8.00000000000000000,0.23505237650390379,207.49474063759134879,2225.09010984244969222,false
143,551,local,8.00000000000000000,0.40475484028740710,697.87230887781151978,738.58376545503347188,8.00000000000000000,0.25488194488805921,128.73154297106248123,2157.76633510200235833,false
42,561,local,8.00000000000000000,0.33461476125581124,418.04611668990082762,601.39265038630105664,8.00000000000000000,0.36626097910595218,507.53846787408201635,2256.96395231751102983,false
143,561,local,8.00000000000000000,0.32889119304405673,470.15189426592087329,603.53807806101372080,8.00000000000000000,0.32213917358297006,200.66750874548915817,2266.99984081556431192,false
253,561,local,8.00000000000000000,0.33014360863360193,364.91895974021053917,603.05954712760126313,8.00000000000000000,0.32822078596957410,128.73154297106248123,2260.28586242347455482,false
143,573,local,8.00000000000000000,0.27979325251822651,271.16121471130873033,682.63464801867326059,8.00000000000000000,0.33527789800692992,200.66750874548915817,2171.37807690068621014,false
42,583,local,8.00000000000000000,0.33407325904810797,292.73042991083912057,601.63444318906397257,8.00000000000000000,0.34440274116042785,224.45791272393125837,2240.48631653166376054,false
143,583,local,8.00000000000000000,0.33014360863360193,364.91895974021053917,603.05954712760126313,8.00000000000000000,0.32822078596957410,128.73154297106248123,2260.28586242347455482,false
253,583,local,8.00000000000000000,0.33867422167069933,440.74795794534838933,600.08628366913569607,8.00000000000000000,0.39471195000059695,654.76894072318600593,2246.88754747631446662,false
143,595,local,8.00000000000000000,0.36751028150473236,493.18602981858566636,756.72742869658827658,8.00000000000000000,0.24746424260751063,280.53121951492812514,2132.24960412367136087,false
42,605,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
143,605,local,8.00000000000000000,0.35683562159974835,150.54932298779431221,594.00577458703378397,8.00000000000000000,0.34850886978117190,128.73154297106248123,2263.72833945872935146,false
253,605,local,8.00000000000000000,0.35683562159974835,150.54932298779431221,594.00577458703378397,8.00000000000000000,0.34850886978117190,128.73154297106248123,2263.72833945872935146,false
42,607,local,8.00000000000000000,0.48235682250011941,907.32450885331309109,863.75650911193440606,8.00000000000000000,0.14387755628002005,280.53121951492812514,2013.25722820819351000,false
42,627,local,8.00000000000000000,0.33546976077560475,370.50059392469211161,601.15714795515407332,8.00000000000000000,0.35964574440297614,128.73154297106248123,2236.49199579423611794,false
143,627,local,8.00000000000000000,0.33867422167069933,440.74795794534838933,600.08628366913569607,8.00000000000000000,0.39471195000059695,654.76894072318600593,2246.88754747631446662,false
253,627,local,8.00000000000000000,0.33770887655458226,418.04611668990082762,600.08562552686498748,8.00000000000000000,0.32977014189723602,507.53846787408201635,2261.98852577014577037,false
42,639,local,8.00000000000000000,0.37187368197458825,227.01374343525640143,662.63548107249084751,8.00000000000000000,0.28708524023945747,207.49474063759134879,2174.80358546809657128,false
253,639,local,8.00000000000000000,0.24529575388808328,270.70569080284576557,671.10781842225674154,8.00000000000000000,0.23264839075420191,186.52283709671792167,2182.01788177116441148,false
42,649,local,8.00000000000000000,0.33461476125581124,418.04611668990082762,601.39265038630105664,8.00000000000000000,0.36626097910595218,507.53846787408201635,2256.96395231751102983,false
143,649,local,8.00000000000000000,0.34329279789608713,554.40285291661257361,598.55130913827326822,8.00000000000000000,0.35232563964702940,554.14369896047355724,2263.85259271833319872,false
253,649,local,8.00000000000000000,0.33867422167069933,440.74795794534838933,600.08628366913569607,8.00000000000000000,0.39471195000059695,654.76894072318600593,2246.88754747631446662,false
42,661,local,7.00000000000000000,0.32192142217144926,0.00000000000000000,587.16400052858284653,7.00000000000000000,0.09896408197067606,125.74860534227056519,2211.33458521291959187,false
