rank,loss_mw,voltage_deviation_mpu,lifecycle_cost_musd,security_index,quality,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
26,35.693853113184,22.110968952601,102.110196934275,0.997424681260,0.059401933130,1.009257698061,1.014090221297,0.985420722830,1.006203053104,1.027300766996,0.985266065894,1.038075571222,0.993718054419,1.019747488277,0.000000000000,0.000000000000,0.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,271.224952957033,0.411838736227,0.387168462408
27,38.021001664912,20.552319208883,103.459991354191,0.997641845995,0.059247426688,1.008823966382,1.017730673382,0.979916484763,1.036464798571,1.019580633900,0.989396925383,0.975075467048,0.961857131612,1.028987902904,-1.000000000000,0.000000000000,0.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,269.160407797143,0.424559284943,0.414831524010
28,37.734700138939,20.805607686824,103.166661384949,0.998493848158,0.059212720161,1.008823966382,1.028951548894,0.977997380826,1.005232659658,1.030924295600,0.990964316799,0.973204304955,0.969462761831,1.025315985955,1.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,272.163076592755,0.415859577120,0.397613118317
29,37.596338485258,21.849441164867,101.425331516884,0.998664866478,0.058766035552,1.018898975857,1.024549709270,0.972134334027,1.036091571507,1.026999041726,0.997414588552,0.978453136620,0.974238068759,1.029322285728,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,269.667889539600,0.402044814982,0.399158085493
30,35.490093791079,21.166996132998,107.861132897385,0.990780720583,0.058613226198,1.014567435882,1.028016100476,0.990774565592,1.012194302961,1.011364174985,1.016238170940,1.022676661317,0.992626957255,1.001932938456,0.000000000000,0.000000000000,3.000000000000,0.000000000000,3.000000000000,1.000000000000,4.000000000000,2.000000000000,276.452430934317,0.465139991396,0.440085492590
31,37.533465548330,21.227759310785,104.541487706406,0.991037848984,0.058540831759,1.018905577385,1.024426439856,0.981590500612,1.021437388679,1.026993451798,0.985217271735,0.978686767305,0.976825308116,1.029334354278,0.000000000000,3.000000000000,2.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,269.129797230253,0.420495653785,0.452177854405
32,36.171516420136,22.543204063935,102.554961154891,0.994724165203,0.058528892780,1.004838029853,1.029593234222,0.988953756132,1.014219869613,1.027916544881,0.991734282616,1.024257661365,0.967285262828,1.025194255671,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,271.049442714705,0.420680160261,0.395302938065
33,35.181698009267,21.222718655895,108.735019955623,0.988089328752,0.058494871479,1.014567435882,1.011579987024,0.993366732203,1.012194302961,1.011364174985,1.016238170940,1.032541695502,0.993715279368,1.009870262728,-1.000000000000,0.000000000000,3.000000000000,0.000000000000,3.000000000000,1.000000000000,4.000000000000,2.000000000000,277.504200717889,0.432237178527,0.499638400220
34,38.208555610549,21.781373552017,101.409141068356,0.999116054764,0.058469518395,1.018898975857,1.024549709270,0.972136170837,1.036089865287,1.026999041726,0.997414588552,0.966958418151,0.974238068759,1.029322285728,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,269.667889539600,0.402044814982,0.398735392590
35,38.227635656841,21.321985379549,103.236207142405,0.994784517285,0.058404725551,1.018786574779,1.014851976803,0.976691204904,1.036414012351,1.030053061956,0.997246717375,0.967192048837,0.967036263069,1.029460557021,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,269.129797230253,0.401294108068,0.450549917531
36,36.642524305664,22.003954507162,104.073298855705,0.990282690414,0.058397697923,1.011708523517,1.024453977256,0.977388413554,1.036464798571,1.034303365685,0.996979670439,0.984297842596,0.981075698882,1.023804441393,1.000000000000,0.000000000000,1.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,270.278448432624,0.401720987767,0.453476361652
37,38.379810119424,21.786502183368,101.344007864683,0.999416839135,0.058378290707,1.018898975857,1.024453977256,0.972052563826,1.036089865287,1.026999041726,0.997414588552,0.964039584776,0.974238068759,1.029322285728,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,269.695895212445,0.401294108068,0.397897760557
