point_id,feasible,selected,objective_target_error,objective_input_energy,objective_peak_joint_force,decision_arm_length,decision_counterweight_mass,decision_projectile_mass,decision_sling_length,decision_initial_arm_angle,decision_release_angle,decision_joint_damping,decision_pivot_friction
13,1,0,10.89893726364058,3431.354589550759,436.6262407863297,4.8549716079542105,118.84766694432037,4.925028773841668,4.937421217362864,-1.1070642578540926,0.331933312809079,0.10135273193562355,3.591460457440956
14,1,0,10.922793933600275,3431.354589550759,436.6044219619552,4.8549716079542105,118.84766694432037,4.920362265707158,4.937421217362864,-1.1070642578540926,0.331933312809079,0.10135273193562355,3.591460457440956
15,1,0,17.586739434562105,1598.7641300921719,474.18012115762843,3.5489141256418213,91.83415921238614,3.1398195120019166,2.715014682855295,-0.5976050387799681,0.3227930036635863,0.18585687829221875,1.6469490517707561
16,1,0,17.866620412124885,1556.0711470093536,474.0562135918742,3.4541448423707073,91.83415921238614,3.1398195120019166,2.715014682855295,-0.5976050387799681,0.3227930036635863,0.18585687829221875,1.646949051770756
17,1,0,19.937131158258545,1155.240661936744,345.54455860934405,2.2161207688172695,92.2941024388004,5.802109477226635,4.449329664693063,-0.9260090010654939,0.3227930036635863,0.18528910647772875,1.6469490517707563
18,1,0,20.009853984267455,1149.4835755867416,342.42751822461923,2.2161207688172695,91.83415921238614,5.915802516108139,4.449329664693063,-0.9260090010654938,0.3227930036635863,0.18585687829221875,1.6469490517707563
19,1,0,17.53337010767522,1578.7234684692874,809.8505477688328,2.3287136414048417,131.40484077463412,1.9102872635737471,2.108235128590489,-0.699012187145376,0.3071554879240511,0.04572119433301439,2.2738360532743593
20,1,0,17.431971582503714,1517.7336705067069,1004.8403955740688,2.273778133293362,130.9143873092595,1.170471630604855,2.321833314079514,-0.6741148585840322,0.3071554879240512,0.039203118474715914,0.6183995292906581
21,1,0,13.201858171210244,3394.763181105912,434.3763882459038,4.8031989786737,118.84766694432037,5.319923425751218,4.937421217362864,-1.1070642578540926,0.33112066268833673,0.10135273193562355,3.5572007574846194
22,1,0,17.938073580699772,1517.7336705067069,973.7866687714035,2.273778133293362,130.9143873092595,1.9102872635737471,2.321833314079514,-0.6741148585840322,0.3071554879240512,0.039203118474715914,0.6183995292906581
23,1,0,21.630407968176925,1175.053630667312,303.4027843414427,2.3925476168208553,86.95448886346992,5.915802516108139,4.023789330127075,-0.9260090010654937,0.20665503024768644,0.18585687829221875,2.1240072975213353
24,1,0,21.45795232567556,1040.0631360519596,520.2106135780324,2.0051661160181906,91.83415921238614,5.915802516108139,4.449329664693064,-0.9260090010654937,0.3227930036635863,0.18585687829221875,0.25186356558349443
25,1,0,19.189727839474365,1520.1764322318977,718.7806347894399,2.2774377333295996,130.9143873092595,1.9102872635737462,2.279226678042636,-0.6741148585840322,0.3334661723637561,0.18590997845378254,3.002595458692391
26,1,0,19.338920002604176,1520.1764322318977,706.8946307765158,2.2774377333295996,130.9143873092595,1.910287263573747,1.8767439408187099,-0.6741148585840322,0.3289299714446239,0.18590997845378254,3.0777050517762747
27,1,0,19.738001607893082,1517.6150284683104,716.5299083757857,2.2774377333295996,130.8482708957699,1.9102872635737471,2.2961389496764486,-0.6716630497130078,0.2996444472927896,0.18590997845378276,3.0777050517762756
28,1,0,22.44342377733293,1200.480759296874,299.1213276465293,2.444320246101365,86.95448886346992,5.915802516108139,4.023789330127075,-0.9260090010654936,0.20746768036842878,0.18585687829221875,2.158266997477672
29,1,0,15.739768575037026,3158.1968408641264,439.8729597355351,4.8549716079542105,118.80242573217507,3.12970051651882,4.840133108670413,-0.8394080579673925,0.054665065396615795,9.19438192474582,3.5914604574409563
30,1,0,24.88420096651653,960.7362715620302,365.93447283955254,2.0051661160181906,91.83415921238614,5.915802516108139,2.3787723716985503,-0.7234818676932137,0.3227930036635863,0.0682699669679705,2.614647438274971
31,1,0,29.673131088951116,1024.6641203464292,309.94439693321107,2.1855215196047464,91.79661969266675,5.949322687948044,3.451391068700887,-0.6776635879963271,-0.14220274199127828,3.96470794529374,2.0941532712010216
