design,time,arm_angle,counterweight_x,counterweight_y,arm_tip_x,arm_tip_y,projectile_x,projectile_y,released
initial,0.700000000,-0.212539956,-1.094802925,7.236239263,3.421239136,6.261680848,3.312599047,3.764031652,false
initial,0.716666667,-0.191726230,-1.099482462,7.213402676,3.435864161,6.333044223,3.411724886,3.833149481,false
initial,0.733333333,-0.170856402,-1.103696379,7.190411745,3.449034192,6.404890039,3.510907444,3.905644086,false
initial,0.750000000,-0.149955742,-1.107434744,7.167303762,3.460718187,6.477101766,3.609935910,3.981546749,false
initial,0.766666667,-0.129049404,-1.110690165,7.144116416,3.470893035,6.549561641,3.708594294,4.060875050,false
initial,0.783333333,-0.108162352,-1.113457807,7.120887584,3.479543622,6.622151305,3.806662562,4.143631986,false
initial,0.800000000,-0.087319292,-1.115735396,7.097655127,3.486662830,6.694752453,3.903917877,4.229805209,false
initial,0.816666667,-0.066544601,-1.117523196,7.074456683,3.492251473,6.767247472,4.000135955,4.319366385,false
initial,0.833333333,-0.045862268,-1.118823965,7.051329471,3.496318154,6.839520062,4.095092508,4.412270716,true
initial,0.850000000,-0.024917417,-1.119653793,7.027904656,3.498912054,6.912798100,4.189420414,4.505153046,true
initial,0.866666667,-0.003463770,-1.119994819,7.003879419,3.499977466,6.987876836,4.283748319,4.595310376,true
initial,0.883333333,0.018480635,-1.119810352,6.979302837,3.499400727,7.064678512,4.378076225,4.682742706,true
initial,0.900000000,0.040884545,-1.119065734,6.954221997,3.497073532,7.143055979,4.472404131,4.767450036,true
initial,0.916666667,0.063715451,-1.117729089,6.928686858,3.492896271,7.222853113,4.566732036,4.849432367,true
initial,0.933333333,0.086939560,-1.115771696,6.902750156,3.486779194,7.303905122,4.661059942,4.928689697,true
initial,0.950000000,0.110521776,-1.113168356,6.876467260,3.478643559,7.386038976,4.755387847,5.005222027,true
initial,0.966666667,0.134425692,-1.109897753,6.849895995,3.468422751,7.469073969,4.849715753,5.079029357,true
initial,0.983333333,0.158613583,-1.105942790,6.823096428,3.456063348,7.552822403,4.944043658,5.150111687,true
initial,1.000000000,0.183046408,-1.101290914,6.796130603,3.441526124,7.637090387,5.038371564,5.218469017,true
initial,1.016666667,0.207683824,-1.095934410,6.769062251,3.424786967,7.721678766,5.132699470,5.284101347,true
initial,1.033333333,0.232484205,-1.089870661,6.741956457,3.405837702,7.806384152,5.227027375,5.347008677,true
initial,1.050000000,0.257404673,-1.083102373,6.714879299,3.384686787,7.891000049,5.321355281,5.407191007,true
initial,1.066666667,0.282401133,-1.075637760,6.687897462,3.361359891,7.975318079,5.415683186,5.464648337,true
initial,1.083333333,0.307428325,-1.067490676,6.661077818,3.335900308,8.059129262,5.510011092,5.519380667,true
initial,1.100000000,0.332439881,-1.058680701,6.634487006,3.308369226,8.142225358,5.604338998,5.571387997,true
initial,1.116666667,0.357388396,-1.049233168,6.608190987,3.278845811,8.224400240,5.698666903,5.620670327,true
initial,1.133333333,0.382225500,-1.039179137,6.582254604,3.247427123,8.305451275,5.792994809,5.667227657,true
initial,1.150000000,0.406901954,-1.028555305,6.556741144,3.214227838,8.385180697,5.887322714,5.711059987,true
initial,1.166666667,0.431367741,-1.017403858,6.531711910,3.179379787,8.463396935,5.981650620,5.752167317,true
initial,1.183333333,0.455572178,-1.005772264,6.507225815,3.143031306,8.539915891,6.075978525,5.790549647,true
initial,1.200000000,0.479464029,-0.993713005,6.483339000,3.105346400,8.614562120,6.170306431,5.826206977,true
initial,1.216666667,0.502991632,-0.981283259,6.460104493,3.066503742,8.687169916,6.264634337,5.859139307,true
initial,1.233333333,0.526103027,-0.968544515,6.437571903,3.026695490,8.757584251,6.358962242,5.889346637,true
initial,1.250000000,0.548746100,-0.955562161,6.415787165,2.986125971,8.825661574,6.453290148,5.916828967,true
initial,1.266666667,0.570868725,-0.942405005,6.394792342,2.945010213,8.891270445,6.547618053,5.941586297,true
initial,1.283333333,0.592418919,-0.929144780,6.374625478,2.903572373,8.954291972,6.641945959,5.963618627,true
initial,1.300000000,0.613344990,-0.915855602,6.355320519,2.862044062,9.014620075,6.736273864,5.982925957,true
initial,1.316666667,0.633595705,-0.902613413,6.336907295,2.820662598,9.072161532,6.830601770,5.999508287,true
initial,1.333333333,0.653120445,-0.889495407,6.319411567,2.779669206,9.126835839,6.924929676,6.013365617,true
initial,1.350000000,0.671869372,-0.876579441,6.302855138,2.739307187,9.178574856,7.019257581,6.024497947,true
initial,1.366666667,0.689793588,-0.863943449,6.287256029,2.699820080,9.227322271,7.113585487,6.032905277,true
initial,1.383333333,0.706845304,-0.851664857,6.272628707,2.661449840,9.273032867,7.207913392,6.038587607,true
initial,1.400000000,0.722977994,-0.839820010,6.258984375,2.624435038,9.315671628,7.302241298,6.041544937,true
initial,1.416666667,0.738146559,-0.828483611,6.246331311,2.589009124,9.355212687,7.396569203,6.041777267,true
initial,1.433333333,0.752307482,-0.817728187,6.234675242,2.555398739,9.391638140,7.490897109,6.039284597,true
initial,1.450000000,0.765418972,-0.807623573,6.224019762,2.523822118,9.424936757,7.585225015,6.034066927,true
initial,1.466666667,0.777441114,-0.798236428,6.214366768,2.494487564,9.455102597,7.679552920,6.026124257,true
initial,1.483333333,0.788336005,-0.789629776,6.205716925,2.467592029,9.482133582,7.773880826,6.015456587,true
initial,1.500000000,0.798067886,-0.781862585,6.198070130,2.443319783,9.506030029,7.868208731,6.002063917,true
initial,1.516666667,0.806603262,-0.774989368,6.191425980,2.421841181,9.526793192,7.962536637,5.985946247,true
initial,1.533333333,0.813911016,-0.769059826,6.185784232,2.403311536,9.544423829,8.056864543,5.967103577,true
initial,1.550000000,0.819962516,-0.764118513,6.181145241,2.387870079,9.558920828,8.151192448,5.945535907,true
initial,1.566666667,0.824731705,-0.760204537,6.177510371,2.375639020,9.570279916,8.245520354,5.921243237,true
initial,1.583333333,0.828195187,-0.757351285,6.174882378,2.366722692,9.578492489,8.339848259,5.894225567,true
initial,1.600000000,0.830332297,-0.755586176,6.173265734,2.361206780,9.583544559,8.434176165,5.864482897,true
initial,1.616666667,0.831125166,-0.754930442,6.172666919,2.359157632,9.585415878,8.528504070,5.832015227,true
initial,1.633333333,0.830561606,-0.755396578,6.173092496,2.360614293,9.584085937,8.622831976,5.796822557,true
initial,1.650000000,0.828649980,-0.756975945,6.174538029,2.365549771,9.579568595,8.717159882,5.758904887,true
initial,1.666666667,0.825407685,-0.759648372,6.176996683,2.373901026,9.571885219,8.811487787,5.718262217,true
initial,1.683333333,0.820854922,-0.763387451,6.180463671,2.385585540,9.561050765,8.905815693,5.674894547,true
initial,1.700000000,0.815014640,-0.768160761,6.184935985,2.400501996,9.547074641,9.000143598,5.628801877,true
initial,1.716666667,0.807912466,-0.773930105,6.190412065,2.418531029,9.529961722,9.094471504,5.579984207,true
initial,1.733333333,0.799576624,-0.780651781,6.196891430,2.439536073,9.509713517,9.188799409,5.528441537,true
initial,1.750000000,0.790037842,-0.788276880,6.204374268,2.463364284,9.486329439,9.283127315,5.474173867,true
initial,1.766666667,0.779329252,-0.796751607,6.212861003,2.489847561,9.459808170,9.377455221,5.417181197,true
initial,1.783333333,0.767486274,-0.806017647,6.222351834,2.518803665,9.430149091,9.471783126,5.357463527,true
initial,1.800000000,0.754546500,-0.816012546,6.232846269,2.550037433,9.397353742,9.566111032,5.295020857,true
initial,1.816666667,0.740549561,-0.826670136,6.244342657,2.583342091,9.361427290,9.660438937,5.229853187,true
initial,1.833333333,0.725536991,-0.837920988,6.256837723,2.618500673,9.322379976,9.754766843,5.161960517,true
initial,1.850000000,0.709552081,-0.849692889,6.270326122,2.655287521,9.280228500,9.849094748,5.091342847,true
initial,1.866666667,0.692639735,-0.861911360,6.284800024,2.693469885,9.234997339,9.943422654,5.018000177,true
initial,1.883333333,0.674846309,-0.874500185,6.300248724,2.732809595,9.186719952,10.037750560,4.941932507,true
initial,1.900000000,0.656219457,-0.887381970,6.316658297,2.773064799,9.135439852,10.132078465,4.863139837,true
initial,1.916666667,0.636807964,-0.900478717,6.334011306,2.813991756,9.081211537,10.226406371,4.781622167,true
initial,1.933333333,0.616661590,-0.913712407,6.352286555,2.855346661,9.024101246,10.320734276,4.697379497,true
initial,1.950000000,0.595830901,-0.927005592,6.371458910,2.896887492,8.964187527,10.415062182,4.610411827,true
initial,1.966666667,0.574367104,-0.940281981,6.391499172,2.938375840,8.901561622,10.509390087,4.520719157,true
initial,1.983333333,0.552321889,-0.953467020,6.412374027,2.979578728,8.836327646,10.603717993,4.428301487,true
initial,2.000000000,0.529747264,-0.966488454,6.434046047,3.020270366,8.768602559,10.698045899,4.333158817,true
initial,2.016666667,0.506695400,-0.979276873,6.456473765,3.060233848,8.698515945,10.792373804,4.235291147,true
initial,2.033333333,0.483218481,-0.991766217,6.479611808,3.099262743,8.626209593,10.886701710,4.134698477,true
initial,2.050000000,0.459368552,-1.003894256,6.503411091,3.137162582,8.551836893,10.981029615,4.031380807,true
initial,2.066666667,0.435197383,-1.015603018,6.527819065,3.173752208,8.475562063,11.075357521,3.925338137,true
initial,2.083333333,0.410756331,-1.026839177,6.552780009,3.208864973,8.397559224,11.169685427,3.816570467,true
initial,2.100000000,0.386096216,-1.037554379,6.578235378,3.242349782,8.318011334,11.264013332,3.705077797,true
initial,2.116666667,0.361267205,-1.047705524,6.604124170,3.274071945,8.237109016,11.358341238,3.590860127,true
