i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
5,2,0.687500000,0.312500000,0,0.000242680,-0.000150807,0.000402622,0.053237683,0.300000000,0.250000000
6,2,0.812500000,0.312500000,0,0.000599003,-0.000247290,0.000386024,0.055150150,0.300000000,0.250000000
7,2,0.937500000,0.312500000,0,0.001098673,-0.000341577,0.000356479,0.057275057,0.300000000,0.250000000
8,2,1.062500000,0.312500000,0,0.001737981,-0.000459124,0.000373402,0.059552237,0.300000000,0.250000000
9,2,1.187500000,0.312500000,0,0.002488116,-0.000545255,0.000373727,0.061921501,0.300000000,0.250000000
10,2,1.312500000,0.312500000,0,0.003329569,-0.000606571,0.000338224,0.064313578,0.300000000,0.250000000
11,2,1.437500000,0.312500000,0,0.004234346,-0.000643048,0.000327791,0.066668426,0.300000000,0.250000000
12,2,1.562500000,0.312500000,0,0.005165611,-0.000650986,0.000334564,0.068927013,0.300000000,0.250000000
13,2,1.687500000,0.312500000,0,0.006057936,-0.000628072,0.000309110,0.071015390,0.300000000,0.250000000
14,2,1.812500000,0.312500000,0,0.006889741,-0.000561023,0.000279960,0.072855716,0.300000000,0.250000000
15,2,1.937500000,0.312500000,0,0.007624008,-0.000463623,0.000276765,0.074359569,0.300000000,0.250000000
16,2,2.062500000,0.312500000,0,0.008191687,-0.000329138,0.000269459,0.075425900,0.300000000,0.250000000
17,2,2.187500000,0.312500000,0,0.008573732,-0.000201279,0.000251636,0.075949041,0.300000000,0.250000000
18,2,2.312500000,0.312500000,0,0.008801972,-0.000061953,0.000239361,0.075825313,0.300000000,0.250000000
19,2,2.437500000,0.312500000,0,0.008863649,0.000046282,0.000249995,0.074971081,0.300000000,0.250000000
20,2,2.562500000,0.312500000,0,0.008794669,0.000138605,0.000258535,0.073334357,0.300000000,0.250000000
21,2,2.687500000,0.312500000,0,0.008638939,0.000200047,0.000254421,0.070900608,0.300000000,0.250000000
22,2,2.812500000,0.312500000,0,0.008437044,0.000233434,0.000268200,0.067706714,0.300000000,0.250000000
23,2,2.937500000,0.312500000,0,0.008205453,0.000239589,0.000295957,0.063831359,0.300000000,0.250000000
24,2,3.062500000,0.312500000,0,0.007975677,0.000232459,0.000307011,0.059387429,0.300000000,0.250000000
25,2,3.187500000,0.312500000,0,0.007781006,0.000226819,0.000309995,0.054520825,0.300000000,0.250000000
26,2,3.312500000,0.312500000,0,0.007624891,0.000192151,0.000331445,0.049390698,0.300000000,0.250000000
