point_id,feasible,selected,objective_rms_spot_um,objective_track_length_mm,objective_glass_volume_mm3,constraint_edge_thickness_mm,constraint_efl_mm,constraint_lost_rays,decision_0,decision_1,decision_2,decision_3,decision_4,decision_5,decision_6,decision_7,decision_8,decision_9,decision_10
33,1,0,42.80884208857464,57.481405382052735,431.52553638963286,-0.02296949329723308,-0.3381678292028525,0,0.04211347893855458,-0.010261983145151272,-0.056543244867969286,0.03240440056173545,0.0012912944390787951,-0.0614753885244699,1.4837155380855764,2.1816185117353823,1.995262151982761,2.7948619132167583,2.459506813526496
34,1,0,43.27818987781972,57.43280317972972,454.12294972031304,-0.10734825365669765,-0.43737089533674123,0,0.041843301986777104,-0.010245910570364877,-0.05465058253712424,0.03240257004622395,0.0012578665576101038,-0.06123742579378419,1.5643999345492268,2.3969184484993677,1.995719885926884,1.8585496485206745,1.8667609761708777
35,1,0,43.95616427588672,56.965084467271645,453.93341948347364,-0.10285148379198605,-0.032867780345455344,0,0.042158144826972485,-0.010245715356277309,-0.05465058253712424,0.03240440056173545,0.0012554871987057886,-0.06123742579378419,1.5639714045187691,2.3969184484993677,1.995719885926884,1.8585496485206743,1.8667609761708777
36,1,0,44.36936038274876,59.329989351142494,329.10028813119095,-0.0015562059564759867,-0.8606632396177076,0,0.03972210302185014,-0.011805929676170585,-0.05471818793154143,0.03355469746720034,0.0012514650684714874,-0.06118553440126391,1.4507809284824371,1.0041666595704317,1.8983575354945712,1.5519876100452645,3.1155840438143585
37,1,0,44.77034559739812,56.92740415961633,461.1502735750189,-0.3916090826359546,-0.0017018097986962744,0,0.04211347893855458,-0.010248042481981093,-0.05578221568002381,0.032955994053456214,0.0012909978372954998,-0.06147618099314915,1.8804376945522452,2.1634657708920315,1.995262151982761,2.9926576911919263,2.459506813526496
38,1,0,45.83840747375474,56.864605201620094,456.33466070676,-0.024610551582586515,-0.20042148861021047,0,0.04207997392291299,-0.010209812024849434,-0.05463555572468523,0.03240440056173545,0.0012556521323373983,-0.06123742579378419,1.4842699101079608,2.5070254735548687,1.9952621519827607,2.074951646031165,1.7665267852652748
39,1,0,49.625687395393435,56.064925432063106,531.0223217265635,-0.3267104814620898,-0.2133400316948837,0,0.04193349286759224,-0.010347401383551731,-0.055736054819085105,0.03221221140705416,0.0012502802143564199,-0.061746936846165584,1.8187471090176872,3.1825623596788333,1.9335006809226636,3.243738681670444,1.5274887237958763
40,1,0,50.200591820848906,55.990618623160906,530.9913565371206,-0.326532619241096,-0.15758708104034724,0,0.04193349286759224,-0.010347401383551731,-0.055690382230773494,0.03221090919483062,0.0012645087702209804,-0.061746936846165584,1.8187471090176872,3.1825623596788333,1.9335006809226638,3.243738681670444,1.5172427820249883
41,1,0,52.17753244652932,56.174954007254755,487.22393589438695,-0.18678852831621096,-0.1434839728336783,0,0.04173347687291239,-0.010346649262661087,-0.055779757165200866,0.03221090919483062,0.0012898125134686183,-0.06174683846315278,1.6436824877664016,2.7960977572892576,1.9360590351446556,3.1919223421435583,1.7743763776574537
42,1,0,55.98467957650753,59.247200820423814,321.79116064172695,-0.09590058847279725,-0.418580825538875,0,0.040145212405617026,-0.010259347606794932,-0.05471642179396141,0.03220307272828564,0.00126070037933501,-0.06140266306738189,1.531201182035192,1.0122267687138287,1.7198897409933003,1.164625623058554,2.6283077680412177
43,1,0,56.32362067758583,59.23882235322606,321.1324901726837,-0.09590058847279725,-0.41835740885291983,0,0.040145212405617026,-0.010259347606794932,-0.05471642179396141,0.03220307272828564,0.00126070037933501,-0.06140266306738189,1.531201182035192,1.0038403158324791,1.7198897409933003,1.164625623058554,2.6283077680412177
44,1,0,56.55353463290745,57.2287376302675,372.17685867903873,-0.04497343040182433,-0.16678793255248792,0,0.04288184317825158,-0.010598149199293808,-0.05682239998661748,0.03238491739178914,0.0012721783853670695,-0.062126766622946084,1.5198726913112872,1.447135815132932,1.9474176248601849,1.0164933628160822,2.0237145976893824
45,1,0,59.0546477206422,58.8956288845381,321.66249003282275,-0.09590058847279725,-0.7341347994870446,0,0.040145212405617026,-0.010259347606794936,-0.05446414703129407,0.03220307272828564,0.00126070037933501,-0.06140266306738189,1.531201182035192,1.0122267687138287,1.7198897409933,1.1646256230585539,2.6283077680412177
46,1,0,59.790604262335535,57.26471287220682,342.5357780533574,-0.10169813303907538,-0.053201331814634045,0,0.04292106961939851,-0.010336690599049354,-0.05681166352037445,0.0323907355130269,0.0012674647812500957,-0.06175028267366617,1.5738303594694178,1.0310060976756255,1.928332982084159,1.3100305261789749,2.461644610602902
