point_id,feasible,selected,objective_oscillation_error,objective_molecule_cost,objective_fragility,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
10,1,0,1.0597554833806038,391.05078125,0.4054298376302653,1.224147352159128,2.3251794922049616,-2.174997633457502,1.8873168118116168,1.5087356853431073,0.8893639337588861,1.3099961101664603,-0.5522246106879056,-0.38440574307434994,-0.5260360776213135,0.42409391394890716,-0.45694793624500474,0.3271147923253722,1.508691950484033,1.94075767121912
11,1,0,0.8084224763752084,518.984375,0.493581583943458,1.3613743317814846,2.4392720018737655,-2.068750031900983,1.275691087715749,1.600751538089934,0.41595864740412014,1.4126399667744913,-0.4855291401144477,-0.2774443022845544,-0.5168719137498146,0.48020927691787607,-0.2855524669519559,-0.0743549350424601,1.5484809466273497,1.8980773525086843
12,1,0,1.2911613603007628,285.369140625,0.3924740941175934,1.2150835631027772,2.758016606288148,-2.1368242604319696,1.520092834029752,1.3832623505317034,0.5861024616399676,1.3582667860655722,-0.2163447119143912,0.019502296542872,-0.29227491390448795,0.4193997636666804,0.009040298984765216,0.7535028822209333,1.731310052386714,2.353179288312619
13,1,0,1.5081283224228605,243.26953125,0.37390024459215526,1.4787332020011696,2.3524853521398534,-2.221596622468706,1.3387739808146017,1.2576493014827625,0.6063869292669903,1.0371821390637188,0.04147524971376121,-0.03576154578503177,-0.8329905878827082,0.485354931347706,-0.21483017587406528,0.7024172380674607,1.7598935246555762,2.3853346680415646
14,1,0,1.1825300674648878,159.77734375,0.5896239931180585,1.2753059913649047,2.3212510883884674,-2.203092364723407,1.467250223706945,1.279510304772057,0.3060462188450575,1.3592280678057027,-0.4588891935487811,-0.26140827025421876,-0.5032403346642598,0.49022073568704616,0.25006178873798346,-0.0924906213248331,1.7505590501461579,1.898458280033593
15,1,0,1.2267312694521533,172.3359375,0.5719645959582412,1.633721746387482,2.759332516555274,-2.3800232865356583,1.7240905700261524,1.3843255786377733,0.25732419509538196,1.3863602286521015,-0.2194617375598109,0.2209146017874051,-0.6004457789633584,0.3286662355391277,-0.233544466695851,0.796930177244765,1.7169292288029188,2.293940438203961
16,1,0,1.156717839789498,168.154296875,0.6120074584442871,1.225790252032097,2.480445387203811,-1.6169183638692202,2.0502744466753473,1.3976133074692172,0.22106969959672335,1.3358813100621454,-0.4772340499158979,0.01831350948710976,-0.597796080867634,0.3284215399066668,-0.1555865173777431,0.30348469321974153,1.7644155626863236,2.226991597066317
17,1,0,1.2279147560537667,168.912109375,0.5884741378424463,1.2404326090618847,2.3459318541876417,-2.263247955716046,1.4665890121376974,1.2119054736867523,0.4165605673206467,1.0494027527199807,-0.48877894695782903,-0.04005637923159233,-0.47835742868485376,0.3324962711685161,-0.21526210501322562,0.6899176402028449,1.8364547834497644,2.3853346680415646
18,1,0,1.4363116258907893,104.826171875,0.541673253722067,1.5560712215637373,2.8238792519223344,-1.7790793909258436,1.5436302464821225,1.3173263219492222,0.8719833342330621,1.290879056151717,0.15914240469402152,0.3480743159822426,-0.7235747668600427,0.1547890564266291,-0.15261654271042852,0.762120701178804,1.8523980480590314,1.8724042743683222
19,1,0,1.7509601896650016,492.994140625,0.22399742321698868,1.2446708868859382,2.7077730274076344,-2.142887769926585,1.5164176379478027,1.3830588166605353,0.5910549296860168,1.3582500090938945,-0.21634471191439125,-0.3779587559606069,-0.7675106821955471,0.4200813190248958,-0.005442753867964542,0.7286330031750405,1.900643444096621,2.397616611348547
