hour,load_kw,renewable_kw,import_kw,export_kw,battery_soc_kwh,electrolyser_kw,hydrogen_store_kwh,hydrogen_buy_kw,hydrogen_demand_kw
1516,1014.4676626902976,1237.4256115346975,0,0,763.7827291977302,222.9579488444142,605.8262934062392,0,135.16142715023014
1517,1054.8123160507612,1304.8080817128916,0,0,763.7827291977593,249.9957656621409,638.1388629356278,0,137.68455112085036
1518,1093.2864360334515,1467.8994094940867,0,0,763.7827291977302,374.61297346063657,753.1549580922172,0,139.72072679666212
1519,1127.2630636607682,2269.205970095318,0,764.766991347836,763.7827291976138,377.17591508669534,868.5035904021722,0,141.13098994896393
1520,1154.4217374228476,2931.6759378166794,0,1400.0782853071044,763.782729197672,377.17591508669534,983.1641753502236,0,141.8190373109305
1521,1172.906628897291,3375.065804576322,0,1824.9832605923923,763.7827291975847,377.17591508669534,1097.906010503569,0,141.73778710558796
1522,1181.4530143918307,3604.1083901221027,0,2045.479460643551,763.7827291976429,377.17591508669534,1213.493047810343,0,140.89258495220196
1523,1179.4734637764766,3687.6713988543247,0,2131.0220199911564,763.7827291976429,377.17591508669534,1330.6318332156893,0,139.3408368535899
1524,1167.0978728786797,3704.5224213914726,0,2160.2486334260843,763.7827291977011,377.17591508669534,1449.9233610137685,0,137.18809446089554
1525,1145.1646112999297,3688.4202116394326,0,2166.0796852527924,763.7827291975556,377.17591508669534,1571.8221236960176,0,134.58085957666577
1526,1115.16338891546,3605.2979192094263,0,2112.958615207317,763.7827291976429,377.17591508669534,1696.6051475386425,0,131.6965984162805
1527,1079.133734610688,3376.1149346684674,0,2296.981200057794,763.7827291974974,0,1567.873501270596,0,128.7316462680241
1528,1039.5260057607295,2931.797340059289,0,1892.271334298537,763.7827291975556,0,1441.9856743516225,0,125.8878269190164
1529,999.034400427266,2267.4982284682005,0,605.4628750027914,1393.63363458385,0,1318.626975595887,0,123.35869875573462
1530,960.4133522155878,1463.4555684370273,0,503.0422162214527,1393.63363458385,0,1197.3106107547005,0,121.31636484121722
1531,926.2898201788842,1299.6238836606958,0,373.334063481816,1393.6336345838208,0,1077.4108649656932,0,119.89974578900856
1532,898.9842659025957,1231.5011871731283,0,332.5169212705514,1393.6336345837917,0,958.2057504434429,0,119.20511452223863
1533,880.3525178846842,1298.7352661858274,0,418.3827483011555,1393.6336345837626,0,838.9262126188783,0,119.27953782451593
1534,871.6592998929704,1461.6783558879872,0,590.0190559950279,1393.6336345837917,0,718.8085411515144,0,120.11767146737093
1535,873.4920421329828,1624.6122689835408,0,751.1202268505731,1393.6336345837626,0,597.1464140110706,0,121.66212714047771
1536,885.7208488527979,1691.818818407743,0,806.0979695549613,1393.6336345837626,0,473.33902801811337,0,123.80738599291236
1537,907.5073505264406,1623.6502400437714,0,716.1428895173449,1393.6336345837626,0,346.93203611292984,0,126.40699190519352
1538,937.3618373541794,1459.754322259739,0,145.21656981888123,1393.6336345837626,377.17591508669534,474.12812424890654,0,129.28353412298864
1539,973.2447805260869,1295.8492763710656,0,0,1393.6336345838208,322.6044958450075,561.258442600302,0,132.24073882324075
1540,1012.7058227425235,1227.653313923276,0,0,1393.6336345837917,214.94749118078136,572.3458911008499,0,135.07684550230755
1541,1053.050766017273,1294.8142239747956,0,0,1393.6336345837626,241.7634579575469,599.146685949542,0,137.59835656247685
1542,1091.5251768204957,1457.684243559298,0,366.1590667388009,1393.6336345837626,0,459.513462860851,0,139.63322308873455
1543,1125.5020961744426,2263.5716059061006,0,1138.0695097316056,1393.63363458385,0,318.47089458235206,0,141.04256827852586
1544,1152.6610625690987,2930.2987999828074,0,1777.6377374137649,1393.6336345837626,0,176.74074489392007,0,141.73014968845777
1545,1171.1462475819158,3377.316795643939,0,2206.170548062073,1393.6336345837626,0,35.09182929796299,0,141.64891559592186
1546,1179.6929275204745,3609.0955748324695,0,2052.2267322253365,1393.6336345837044,377.17591508669534,150.76724272308732,0,140.8042088338846
