niche_id,quality,descriptor_daily_battery_throughput_per_kwh,descriptor_peak_import_ratio,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
78,0.053128429695013066,1.1280913094010125,0.6266800631693448,1409.6113144363176,2931.84183330816,1426.288512838345,2212.160350190579,0,0,2600,4,1,1,0
79,0.0833907780916265,1.4215623467884855,0.6559721202675363,3683.2732089994824,890.0848075825355,2480.5168699844294,180.21696581587392,0,0,1800,3,1,1,0
84,0.07537111365818648,0,0.720039585330322,4474.209649251629,1408.7592413008804,0,0,0,0,1250,2,1,0,0
85,0.09561696033342965,0.2971877906239348,0.7447218753149557,2588.820917763953,2543.6022538507414,14072.351120553742,660.3042799642501,0,0,1800,3,1,1,0
86,0.06518790036391033,0.4928823978472922,0.7956247100516869,1238.472756964968,2711.4175412592544,5588.589099955111,761.179256169956,0,0,1800,3,1,1,0
88,0.07979146097115367,0.7881304885551041,0.7504949127089192,2871.8008157071195,1848.8718824096516,9158.342314697957,533.0911954290307,0,0,1800,3,1,1,0
89,0.0542483225548143,1.0897446151356893,0.7552985281255219,1644.108292931844,2543.989664110295,2570.8383224691156,679.4173084393088,0,0,1800,3,1,1,0
90,0.08533028482599,1.157728407350451,0.7296003293895645,3708.7975932627696,947.1825209449765,5253.7278794098065,323.80934509858207,0,0,1800,3,1,1,0
91,0.051458068484982536,1.2964527402137536,0.7407068635319342,2227.593534697777,2711.4175412592544,1973.1748262372573,765.2559241877811,0,0,1800,3,1,1,0
93,0.05406970814180595,1.673269096828152,0.7307055701879016,3356.5167931991423,2698.3164031011697,2046.203841981424,1370.4535634268398,0,0,1800,3,1,1,0
97,0.09364566219718709,0.3405983706921496,0.8411941705905025,2712.9714635137025,970.2116855507102,3799.621367792101,66.48293084514326,0,0,1250,2,1,1,0
98,0.06528277535386937,0.5065121126086495,0.8313980765243603,1240.84116462246,2705.4279997569643,5588.589099955111,824.5515545276163,0,0,1800,3,1,1,0
99,0.113220127003795,0.6751402455952911,0.8506640873858345,4734.653881463449,809.4626128816835,14072.351120553742,515.043480100236,0,0,1800,3,1,1,0
100,0.08244924311091732,0.8770393713425401,0.85878899960241,3077.057538895795,1864.1222701794468,8771.126440141097,2619.952836043692,0,0,4000,5,1,1,0
101,0.09968943388144336,0.9826229714824518,0.8652708425557509,4734.653881463448,673.7479073086998,9621.371101956782,515.043480100236,0,0,1800,3,1,1,0
102,0.052881751124482713,1.1269696701911553,0.8009112111798156,1084.667702738543,2711.2088941768516,1988.6926304610154,770.6594345768717,0,0,1800,3,1,1,0
103,0.05479294236179325,1.3363949859675894,0.8160021277024275,1101.1564057566004,2450.9516695594234,1987.831133912559,770.6594345768717,0,0,1800,3,1,1,0
109,0.10398305927145572,0.29467963072428394,1,1502.166380983584,2351.0681882210206,13839.926912712654,3557.706291674456,0,0,4000,5,1,1,0
110,0.1077229555580221,0.4726668410923793,0.9010630843604112,1325.786432873807,1632.8834135630689,14016.660952049779,765.2838927948259,0,0,1800,3,1,1,0
111,0.09120130766522136,0.7081158938266041,0.9371044132885711,1328.1548405312985,1626.893872060779,9583.295319643154,828.9979243969651,0,0,1800,3,1,1,0
112,0.06047003426751568,0.8129354855671282,0.9069625477404286,1710.7181328967063,2491.222250176277,4498.75209701908,425.26817581387644,0,0,1250,2,1,1,0
113,0.05805755587574439,1.0649072345502566,1,1919.6090410511251,2714.235633106316,2570.8383224691156,3239.0193690138194,0,0,1800,3,1,1,0
114,0.06314923750495743,1.2361519477804876,1,1230.6698657698466,2334.950415040508,2757.4851701284874,3330.067146563242,0,0,2600,4,1,1,0
116,0.10079306916795323,1.4934202038757025,0.9991097878047299,4640.664726216421,576.9811505845198,11945.760082576111,3181.482273555977,0,0,4000,5,1,1,0
