niche_id,grid_x,grid_y,quality_train,quality_holdout,descriptor_daily_battery_throughput_per_kwh_train,descriptor_peak_import_ratio_train,descriptor_daily_battery_throughput_per_kwh_holdout,descriptor_peak_import_ratio_holdout,visit_count,retained_niche,constraint_self_sufficiency,constraint_unserved,constraint_cycles,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
29,5,2,0.05134914357425403,0.05002181750457491,0.9527387229353294,0.2346901008379551,0.9610276776431107,0.2586642884226693,2,1,-0.37974156443098495,-0.0001,-151.5158021738172,3354.6752721268554,2702.1261283289164,1041.2517996662502,79.84458596291263,0,0,2600,4,1,1,0
30,6,2,0.05453700359701761,0.05336218305201029,1.2264525116966127,0.25214489889489744,1.3454296143895697,0.36085300520740604,4,0,-0.39542084680919265,-0.0001,-55.012465690378804,3048.506454734343,2558.904293757146,2015.3465934017618,1130.920042319036,0,0,4000,5,1,1,0
31,7,2,0.061019199612812006,0.055569408848692645,1.4033782736716491,0.28441149517960534,1.5626540580257267,0.5080242162831009,3,0,-0.4157988666109711,-0.0001,-52.78473372794076,4279.285397533587,2308.939695745709,4112.939848404078,1345.8731653521024,0,0,2600,4,1,1,0
36,0,3,0.048634875148059864,0.054340178712362415,0,0.3751664046615027,0,0.3751664046615027,6,1,-0.3470994354616117,-0.0001,-365,1397.119897399307,2685.8426351741937,0,0,0,0,1800,3,1,0,0
37,1,3,0.06877487149441322,0.06888045881349922,0.21444726293073224,0.37481896588171326,0.21600459303521866,0.37481896588171326,6,1,-0.37870340881361075,-0.0001,-318.1725358190781,3324.499766952782,2689.515845962888,5409.057402393426,79.84458596291263,0,0,1800,3,1,1,0
38,2,3,0.06499889776423473,0.07125655569813694,0.4562544666899455,0.34825993244681214,0.4860312798670052,0.33334128554385223,3,1,-0.3556609646618749,-0.0001,-258.9296894651621,1407.7980415231655,2473.0238443096205,4633.201725565909,193.94240973847903,0,0,2600,4,1,1,0
39,3,3,0.05564470651767741,0.05557949856757848,0.673037889446253,0.37398654568873047,0.6792607263990463,0.37398654568873047,3,1,-0.38207250383663605,-0.0001,-217.91297431395682,3352.8319569808045,2698.3164031011697,1965.506551776264,91.96627023531661,0,0,1800,3,1,1,0
40,4,3,0.06737805336737805,0.06402963274861677,0.8232465145569982,0.30010034879386377,0.8586312610979926,0.30010034879386377,2,1,-0.35739035992662804,-0.0001,-198.25113238707553,4269.554945994971,2069.3547014531264,4798.305056553513,239.36784078580726,0,0,2600,4,1,1,0
41,5,3,0.049972065925498625,0.05082119805572889,1.031209906046984,0.36074165025497057,1.05524892595202,0.3461634995036589,3,1,-0.38859600605710054,-0.0001,-141.3805319725878,2621.7352724138054,2838.344792654873,1046.3407263278798,81.35238750815708,0,0,1800,3,1,1,0
42,6,3,0.05398228877896196,0.053745278946307505,1.2144982079236897,0.39555600951409603,1.225123404156034,0.39555600951409575,1,1,-0.3593605315000531,-0.0001,-106.86595134592022,3362.3692990751883,2470.2785678379178,1041.2517996662502,80.03338373412738,0,0,1800,3,1,1,0
44,8,3,0.052791213673280254,0.05250019942392518,1.5059660914752822,0.38002827719968196,1.7120318512319093,0.3699341526499814,1,0,-0.37704620522906207,-0.0001,-6.6416941945452095,2922.600551215254,2389.2829631945356,1858.3702447970916,519.2893577738223,0,0,2600,4,1,1,0
48,0,4,0.09760799672356187,0.10267127884715754,0.18123622192074076,0.4795418282076391,0.2173747761289815,0.43514840216062495,2,0,-0.38074207429468554,-0.0001,-316.1196579465994,1230.6698657698469,2718.76529956388,14123.404569838862,577.1145386111754,0,0,2600,4,1,1,0
49,1,4,0.08397760126654503,0.08897767654768117,0.25173756567528643,0.48123152830537763,0.3034873473631882,0.4368381022583641,6,1,-0.3790358013591075,-0.0001,-296.6880591266279,1230.6698657698466,2692.9618343632783,10442.372906044022,577.1145386111754,0,0,2600,4,1,1,0
50,2,4,0.11376131916757078,0.10986920623527624,0.37020118178944766,0.465152878650316,0.3741861681387549,0.4497217327785788,3,1,-0.1069795226137914,-0.0001,-293.68574472067996,3339.868222931446,847.4497455904309,10337.590445341037,200.60489633258246,0,0,2600,4,1,1,0
51,3,4,0.07837324767418583,0.07589886518906103,0.5502599686432016,0.41027307757091735,0.687824960804002,0.41027307757091735,3,1,-0.42339367844761555,-0.0001,-227.68586410127722,2861.4103352785146,2609.4585089596744,8550.742392259705,2588.970437906722,0,0,1800,3,1,1,0
52,4,4,0.09701200249020628,0.08819259528559976,0.8909070981063644,0.4669404715960667,0.8942477108785046,0.456255257332592,2,1,-0.04417646242488116,-0.0001,-194.46013563123438,4534.084211269419,504.9912952370226,3074.4258931818217,138.90778542517253,0,0,2600,4,1,1,0
55,7,4,0.051054619321068286,0.056267339689252224,1.2850246828298408,0.44053035952149144,1.4368368883982958,0.39542670578186045,1,0,-0.37672171361535034,-0.0001,-21.59588598819562,1409.6113144363176,2696.1476285912113,1426.288512838345,471.8339035013616,0,0,2600,4,1,1,0
60,0,5,0.051319070833779845,0.05467598030213223,0,0.5812402135526273,0,0.5812402135526273,4,1,-0.31868511856820747,-0.0001,-365,1896.4669151224666,2384.8227517659166,0,0,0,0,1250,2,1,0,0
61,1,5,0.08572494973670093,0.0918045374384931,0.25939446062373656,0.5695614047974624,0.28573402723842095,0.5347683399993578,1,1,-0.36603978894698197,-0.0001,-300.7571160374712,1407.7980415231655,2469.854923979628,10768.503949898282,313.13758318294225,0,0,1800,3,1,1,0
62,2,5,0.06467823043117092,0.06651508447898023,0.5236998512134526,0.516278010958725,0.532932307811125,0.516278010958725,2,1,-0.40050389502725336,-0.0001,-269.4247771535449,3252.9317613372855,2861.7650165016107,4291.9358238661625,134.14204390090012,0,0,1250,2,1,1,0
64,4,5,0.06196442250477659,0.06363840306230537,0.81190270371747,0.5599079572626855,0.8376784426138242,0.5599079572626855,3,1,-0.39071527957888774,-0.0001,-195.98834054217937,3183.2765179501134,2541.4408192050614,3789.8599285947075,199.21284274691567,0,0,1250,2,1,1,0
65,5,5,0.0550034847871184,0.05845716510645571,1.0877187603369476,0.5301868606345539,1.2050206599571336,0.47792399075460706,3,0,-0.37933255606599725,-0.0001,-79.06769540401729,1644.108292931844,2546.2360254367736,2570.8383224691156,679.4173084393088,0,0,2600,4,1,1,0
67,7,5,0.0919022600146436,0.09455767654305715,1.3879944221641425,0.5723293844046622,1.517126709766243,0.5304025608288556,2,0,-0.0312630567158424,-0.0001,-80.92088006478349,1232.2920917051003,1187.0178114241373,5756.965952273255,545.0487064854988,0,0,2600,4,1,1,0
68,8,5,0.060313692099760875,0.058683290441452735,1.5451956785805157,0.5599075798907289,1.6171633559137109,0.5599075798907288,2,1,-0.41669638586650326,-0.0001,-43.932731148229664,3183.2765179501134,2541.4435898105557,4049.0592291021967,1171.8331595244488,0,0,1250,2,1,1,0
72,0,6,0.06899313963670965,0.07255347079918721,0,0.6897749676128843,0,0.6897749676128843,1,1,-0.16355792019406734,-0.0001,-365,1472.5319807897513,1604.0338873950345,0,0,0,0,1250,2,1,0,0
73,1,6,0.1135932615305357,0.10883376322078511,0.33464899821302724,0.6559850976049854,0.3375501280991137,0.6359609902921108,2,1,-0.1305101977644747,-0.0001,-301.0175680101976,3818.169275658687,889.9642321699562,10569.534292281123,180.21696581587392,0,0,1800,3,1,1,0
74,2,6,0.0674697967605985,0.06828798451699225,0.5207168680535419,0.6185435249004216,0.5248624283684082,0.6610970971766855,2,1,-0.3172305513115993,-0.0001,-265.91399730477264,3711.3477503015674,2110.9477123437214,2837.993649828397,77.40216433550434,0,0,1250,2,1,1,0
75,3,6,0.09664264185887324,0.09174430960916104,0.606043602784595,0.6593871879992987,0.6107723641918229,0.639363080686424,2,1,-0.12090908041854465,-0.0001,-248.87283037179583,3700.986601317731,858.3546316237786,5812.522955073666,180.21696581587378,0,0,1800,3,1,1,0
