point_id,feasible,selected,objective_annualized_capex,objective_unserved_kwh,objective_co2_kg,objective_curtailed_kwh,constraint_self_sufficiency,constraint_cycles,constraint_lp_status,mean_lcoe,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
13,1,0,405879.5324766576,0,273420.2235098184,0,-0.3272725041072937,-365,-1,0.050422645921518364,1024.0450706946153,2594.9302347469616,0,0,0,0,1800,3,1,0,0
14,1,0,418893.3461707674,0,262099.78237953773,0,-0.3333553033058567,-365,-1,0.04992748190521149,1223.4638937172754,2594.9302347469616,0,0,0,0,1800,3,1,0,0
15,1,0,433382.49711848947,0,229603.56543288458,0,-0.34686279895973715,-365,-1,0.04862740084561617,1223.4638937172754,2713.8814296873084,0,0,0,0,1800,3,1,0,0
16,1,0,433382.4971184895,0,229603.56543288444,0,-0.34686279895973726,-365,-1,0.04862740084561616,1223.4638937172754,2713.881429687309,0,0,0,0,1800,3,1,0,0
17,1,0,506047.5988471801,0,220862.68503899616,0,-0.34527181185850875,-104.67080804520259,-1,0.057343497974562306,1502.166380983584,2351.0681882210206,2071.3997741696307,204.1384026857607,0,0,4000,5,1,1,0
18,1,0,513927.5286451799,0,219011.82407761682,0,-0.3465801109678721,-89.83929670665458,-1,0.05779238791063117,1267.6485111499903,2386.346696010033,2522.979488174897,375.8606638229494,0,0,4000,5,1,1,0
19,1,0,520654.7003818572,0,210566.43669002346,0,-0.350586790941138,-31.902150897039803,-1,0.05539151138723493,2098.023355985926,2216.812437790272,2092.3573127813515,297.9306968741098,0,0,2600,4,1,1,0
20,1,0,520654.7003818573,0,210566.43669002334,0,-0.350586790941138,-31.902150897040087,-1,0.05539151138723495,2098.023355985926,2216.812437790272,2092.3573127813515,297.93069687411,0,0,2600,4,1,1,0
21,1,0,525432.5515264214,0,209744.6008255657,0,-0.3589921226797731,-365,-1,0.04868077834239502,2567.6686015511473,2690.389808008066,0,0,0,0,2600,4,1,0,0
22,1,0,525432.5515264216,0,209744.60082556555,0,-0.3589921226797732,-365,-1,0.04868077834239504,2567.6686015511473,2690.3898080080667,0,0,0,0,2600,4,1,0,0
23,1,0,533548.825886993,0,195510.09987801345,0,-0.36492943124739174,-365,-1,0.04813261209314431,2567.6686015511473,2757.021768509896,0,0,0,0,2600,4,1,0,0
24,1,0,543653.0022366567,0,139323.82024404602,0,-0.3789968511457562,-163.33713602500535,-1,0.054609393445849454,1418.0549007411562,2713.881429687308,2045.1169458802574,194.16012080649713,0,0,4000,5,1,1,0
25,1,0,562372.4376944894,0,103903.97510031401,0,-0.3900788289719578,-163.06631107767345,-1,0.054170959022317236,1418.8504489385384,2762.5166465775196,2822.5897476560544,363.47935893983987,0,0,1800,3,1,1,0
26,1,0,562372.4376944895,0,103903.97510031392,0,-0.3900788289719578,-163.06631107767356,-1,0.054170959022317236,1418.8504489385384,2762.51664657752,2822.5897476560544,363.47935893983987,0,0,1800,3,1,1,0
27,1,0,586840.6933561062,0,101304.70946782954,0,-0.39085283972987794,-186.021760152504,-1,0.05653035964668511,1430.356588735891,2763.7866672000832,3272.3797329362906,397.6703596812294,0,0,2600,4,1,1,0
28,1,0,604984.3051536633,0,97947.48738526773,0,-0.3979827891270725,-72.09349310980377,-1,0.051708671231786296,2385.1376084652907,2776.0993679475955,1502.0503467968815,736.7164751621168,0,0,4000,5,1,1,0
29,1,0,634126.7257716897,0,67953.3235233818,0,-0.4090985035442082,-157.23424464685075,-1,0.055363389749497414,2273.31056220179,2741.895234673592,2843.1461569247276,378.24226492789944,0,0,4000,5,1,1,0
30,1,0,677392.7117459185,0,55455.604459081034,482941.8381536049,-0.41393758676911674,-45.025688968593954,-1,0.057763440219803286,2714.0583471324544,2747.8639969420506,2843.1461569247276,2402.489676690091,0,0,1250,2,1,1,0
31,1,0,677392.7117459185,0,55455.60445908108,482941.8381536046,-0.4139375867691166,-45.02568896859407,-1,0.0577634402198033,2714.0583471324544,2747.86399694205,2843.1461569247276,2402.489676690091,0,0,1250,2,1,1,0
32,1,0,681970.8200477336,0,50506.997918433604,361405.472445099,-0.41902321310329793,-75.7477983879013,-1,0.054335638650732654,3250.1699046075883,2762.516646577519,2825.125113909742,363.47935893983987,0,0,1800,3,1,1,0
