proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
56,000122022,5,16,repressilator+toggle-core,,0.366634105400,0.589987423561,0.223353318161,25.703720906944,26.109190429530,147.833333333333,145.933333333333,1.000000000000,0.000000000000,192000,192000,60.135594607
57,000102022,4,14,other,,1.271342577429,2.457013124614,1.185670547185,27.108288195552,25.541629772944,33.166666666667,25.000000000000,1.000000000000,0.000000000000,192000,192000,65.392714382
58,220022022,6,18,repressilator+toggle-core,,0.378586747001,0.731530772100,0.352944025099,25.854743115115,24.591300323836,168.833333333333,158.533333333333,1.000000000000,0.000000000000,192000,192000,54.972326404
59,100021002,4,14,mixed-cycle,,1.301823097166,3.259777577830,1.957954480663,24.238285061298,39.782100343262,33.666666666667,28.866666666667,1.000000000000,0.000000000000,192000,192000,71.921787514
60,202012100,5,16,other,,1.614986053768,3.347634688419,1.732648634651,24.358773299009,42.588338302076,16.333333333333,18.866666666667,1.000000000000,0.000000000000,192000,192000,77.328806043
62,202022022,6,18,repressilator+toggle-core,,0.385709208094,0.731148719675,0.345439511581,25.625351990467,25.000859796946,122.833333333333,117.733333333333,1.000000000000,0.000000000000,192000,192000,54.412806330
63,100002022,4,14,other,,1.721907878241,2.713474662324,0.991566784083,28.937577917003,26.842433342595,52.500000000000,53.800000000000,1.000000000000,0.000000000000,192000,192000,79.257449773
65,110220110,6,18,goodwin-like,,0.491215753338,1.131525328231,0.640309574894,25.739472293513,23.607007746602,41.500000000000,38.200000000000,1.000000000000,0.000000000000,192000,192000,93.299511055
66,010022022,5,16,repressilator+toggle-core,,0.354336899972,0.656062864381,0.301725964409,25.754140602636,25.825427503102,138.166666666667,129.266666666667,1.000000000000,0.000000000000,192000,192000,60.684404650
68,120012022,6,18,mixed-cycle,,0.938783664075,2.474893918602,1.536110254527,25.778657487027,38.455775485770,28.833333333333,29.800000000000,1.000000000000,0.000000000000,192000,192000,79.565501853
69,200222022,6,18,repressilator+toggle-core,,0.369813374907,0.767522959591,0.397709584683,25.551661451179,26.459706583272,145.666666666667,144.533333333333,1.000000000000,0.000000000000,192000,192000,60.318320018
70,200010120,4,14,other,,1.559421873258,2.341777255324,0.782355382066,23.340415209058,29.717781335500,12.333333333333,12.600000000000,1.000000000000,0.000000000000,192000,192000,50.741622914
71,200021022,5,16,mixed-cycle+toggle-core,,1.554921131644,2.744232832125,1.189311700482,25.172451769887,31.539971102510,30.833333333333,33.600000000000,1.000000000000,0.000000000000,192000,192000,71.949002091
72,120022021,6,18,mixed-cycle+toggle-core,,1.470636511394,3.427201161807,1.956564650412,27.277583453833,46.822955737787,45.833333333333,41.666666666667,1.000000000000,0.000000000000,192000,192000,90.213119489
73,210022021,6,18,mixed-cycle+toggle-core,,1.526400482688,2.628169328706,1.101768846018,23.785164146296,26.931105599956,27.166666666667,26.600000000000,1.000000000000,0.000000000000,192000,192000,129.844096951
75,201011201,6,18,positive-cycle,,1.232701589797,2.528610264616,1.295908674819,28.364530705853,36.578873414632,31.000000000000,28.666666666667,1.000000000000,0.000000000000,192000,192000,109.290481545
76,110022022,6,18,repressilator+toggle-core,,0.375693393118,0.600311839698,0.224618446580,25.377888802252,25.418867560018,158.333333333333,150.333333333333,1.000000000000,0.000000000000,192000,192000,89.233432576
77,200022002,4,14,repressilator,,0.373267011940,0.783830011593,0.410562999653,25.232835519303,25.618303844367,93.666666666667,96.000000000000,1.000000000000,0.000000000000,192000,192000,41.724423839
78,110022021,6,18,mixed-cycle+toggle-core,,1.622308430380,3.357383283050,1.735074852670,23.844136298183,46.766258795251,17.166666666667,16.000000000000,1.000000000000,0.000000000000,192000,192000,109.704981287
79,010122022,6,18,repressilator+toggle-core,,0.382181779893,0.561171979342,0.178990199449,25.661927643812,25.944159066889,165.166666666667,170.866666666667,1.000000000000,0.000000000000,192000,192000,88.693858841
80,011001011,5,16,other,,1.632741741956,3.555158522583,1.922416780627,26.896853371914,49.261540681303,58.333333333333,52.533333333333,1.000000000000,0.000000000000,192000,192000,142.418719936
81,010122021,6,18,mixed-cycle+toggle-core,,0.965055560929,2.166591028206,1.201535467277,25.409927805175,30.996402219989,25.166666666667,19.266666666667,1.000000000000,0.000000000000,192000,192000,126.095458896
82,000222022,5,16,repressilator+toggle-core,,0.371293698792,0.764046604130,0.392752905338,25.570408485751,25.542903635941,137.833333333333,132.133333333333,1.000000000000,0.000000000000,192000,192000,50.160064138
84,110002022,5,16,other,,1.474908563568,2.791164551575,1.316255988008,25.559573115677,38.578029706056,53.500000000000,54.533333333333,1.000000000000,0.000000000000,192000,192000,124.037869281
85,101211200,6,18,other,,1.041035084088,2.898403940793,1.857368856705,25.415163628131,36.627586168601,25.666666666667,23.800000000000,1.000000000000,0.000000000000,192000,192000,100.537449605
86,110021022,6,18,mixed-cycle+toggle-core,,1.682121702894,3.231945881002,1.549824178108,25.493651761608,41.280188629233,33.000000000000,37.666666666667,1.000000000000,0.000000000000,192000,192000,170.941496504
87,020022022,5,16,repressilator+toggle-core,,0.351566359861,0.645339452837,0.293773092976,25.778347371327,25.307789869887,126.000000000000,121.600000000000,1.000000000000,0.000000000000,192000,192000,49.351308162
88,010222022,6,18,repressilator+toggle-core,,0.378042935224,0.499143008285,0.121100073061,25.824740276183,25.633140798024,146.666666666667,144.533333333333,1.000000000000,0.000000000000,192000,192000,94.054359478
89,000122012,5,16,repressilator,,0.370170237481,0.688811703222,0.318641465741,25.464608494791,24.989233686624,76.833333333333,73.533333333333,1.000000000000,0.000000000000,192000,192000,59.298093748
90,100002012,4,14,other,,1.456921825195,2.754992034310,1.298070209115,23.519687477377,25.412143680714,23.500000000000,20.800000000000,1.000000000000,0.000000000000,192000,192000,108.910122920
93,120022002,5,16,repressilator,,0.360965448127,0.660332488713,0.299367040586,25.487257118062,25.222350862829,140.166666666667,132.066666666667,1.000000000000,0.000000000000,192000,192000,57.816370690
94,002122022,6,18,repressilator+toggle-core,,0.351697204842,0.804792707266,0.453095502424,25.551867335603,24.771974992662,96.666666666667,92.000000000000,1.000000000000,0.000000000000,192000,192000,62.587382605
95,002120102,5,16,other,,1.344978518732,2.611879706606,1.266901187874,25.160225792754,27.616336195978,33.833333333333,34.333333333333,1.000000000000,0.000000000000,192000,192000,62.882508930
98,000122002,4,14,repressilator,,0.351600045871,0.500369304763,0.148769258892,25.673167714624,25.630870294662,80.666666666667,81.666666666667,1.000000000000,0.000000000000,192000,192000,45.724764647
99,210022020,5,16,toggle-core,,1.765544543129,3.039838657057,1.274294113927,24.628468625123,34.843017343131,19.333333333333,19.266666666667,1.000000000000,0.000000000000,192000,192000,99.953292499
100,001000210,3,12,other,,1.583723630365,2.858925807922,1.275202177557,23.855557516225,36.343020789905,24.166666666667,20.600000000000,1.000000000000,0.000000000000,192000,192000,58.417947375
101,001122022,6,18,repressilator+toggle-core,,0.379108201143,0.669098196658,0.289989995514,25.865386387016,25.988977622015,174.000000000000,167.533333333333,1.000000000000,0.000000000000,192000,192000,70.160079031
102,210012022,6,18,mixed-cycle,,1.494322466901,3.071777643255,1.577455176354,28.746949907778,40.958018411041,27.833333333333,22.800000000000,1.000000000000,0.000000000000,192000,192000,97.035305866
103,000121002,4,14,mixed-cycle,,1.382157147639,2.849920425802,1.467763278163,25.189209773277,35.735663317246,32.500000000000,29.200000000000,1.000000000000,0.000000000000,192000,192000,66.301952306
105,000122011,5,16,mixed-cycle,,0.880570166057,2.429973489682,1.549403323625,25.218842087318,32.155556171394,31.000000000000,25.400000000000,1.000000000000,0.000000000000,192000,192000,84.488200261
110,022100000,3,12,other,,1.775724686034,3.610006135177,1.834281449142,25.316023473819,52.263741642636,19.666666666667,16.000000000000,1.000000000000,0.000000000000,192000,192000,34.823751670
111,000121022,5,16,mixed-cycle+toggle-core,,1.391546612676,2.839306610264,1.447759997589,25.533313073658,33.818429734178,22.666666666667,20.600000000000,1.000000000000,0.000000000000,192000,192000,96.198028596
112,010122002,5,16,repressilator,,0.356301849526,0.677618426695,0.321316577169,25.700905925934,26.018003941669,123.333333333333,117.533333333333,1.000000000000,0.000000000000,192000,192000,62.505339560
115,000101101,4,14,other,,1.684684349099,3.390379891554,1.705695542455,26.024635847513,48.110142852398,34.000000000000,38.333333333333,1.000000000000,0.000000000000,192000,192000,124.261267269
116,100122002,5,16,repressilator,,0.376397861233,0.615278326222,0.238880464989,25.425647705375,25.695932418488,153.000000000000,150.200000000000,1.000000000000,0.000000000000,192000,192000,66.635997740
117,120002022,5,16,other,,1.680046681459,2.968908389732,1.288861708273,24.027726502619,34.906539502430,21.833333333333,20.866666666667,1.000000000000,0.000000000000,192000,192000,78.821296271
118,000122000,3,12,other,,0.968474613047,2.651366592923,1.682891979876,25.382915013842,36.321101962407,38.500000000000,28.666666666667,1.000000000000,0.000000000000,192000,192000,38.604357452
