candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
12,0,15.065510557964274,0.43300059883169967,0.13476429634354153,0.293222041715696,0.688125,0.05483631369047614,0.075,0.42857142857142855,0.029166666666666667,4,37,283254.2,475,4984,0.02500000000000001,-0.997508,5,280,0.053874944,,56,8,4,3,0.9374458571333584,0.49641000233567817,2.033550508710165,0
13,0,15.815510557964274,0.4424989229808291,0.1357832283296811,0.27056716129930664,0.6605,0.05695382882882885,0,0,0,0,40,409811.4,952.2,5772,0.1,-0.997114,5,740,0.163718142,,148,6,8,3,0.8512533262344661,0.7870537536256437,0.7301317351693216,1
14,0,15.815510557964274,2.3025859263278,0.16666633333433287,0.16666666666666666,0.5,0.16666566666666666,0,0,0,0,40,6307.8,11,11,0.1,-0.9999945,5,55,0.003482175,,11,16,57,8,0.4346129182712919,0.8828851391402023,0.6294184360929642,1
15,0,15.815510557964274,0.4653570054426204,0.1450962539021852,0.19977236192913841,0.555625,0.06586021505376348,0,0,0.004166666666666667,1,40,251618.6,489,5828,0.1,-0.997086,5,310,0.020425796,,62,7,2,2,0.49584621610302526,0.2924453630733461,1.7406332521419534,0
16,0,15.815510557964274,2.2106744613082276,0.16543178209971496,0.16666666666666666,0.5,0.1611101611111111,0,0,0,0,40,11221.2,36.2,63,0.1,-0.9999685,5,45,0.004512726,,9,17,23,12,0.4912274699667181,0.7899314120278595,0.7971257309563576,1
17,0,15.815510557964274,2.066841720956076,0.16601344030196322,0.17648809523809522,0.528875,0.16516382868217055,0,0,0,0,40,103792.4,358.6,602,0.1,-0.999699,5,430,0.02680168,,86,15,31,25,0.7075221509854026,0.31017684929083755,0.9129283532752652,1
18,0,15.815510557964274,0.45716314709217826,0.13804680611841705,0.2653055750754637,0.6608125,0.06923233561165847,0,0,0,0,40,575539.2,1402.8,14007,0.1,-0.9929965,5,1015,0.152061285,,203,18,4,9,0.7324620060054563,0.7045666817127397,0.5823295115921037,0
19,0,15.315510557964274,0.5405028151352221,0.14156425554514515,0.23240936719666497,0.626625,0.06684773442028986,0.05,0.3333333333333333,0.025,4,38,19548.4,69,92,0.05,-0.999954,5,115,0.009361364,,23,23,39,2,0.6040374046269009,0.5689684942817249,2.249102671586593,0
20,0,15.815510557964274,0.42556509624600874,0.13360206010510442,0.2715106416199568,0.702625,0.05633168267973857,0,0,0.004166666666666667,1,40,221612.2,623.8,11220,0.1,-0.99439,5,510,0.128271724,,102,22,3,44,0.8723227922967794,0.9914471537255556,1.0127691519579747,1
21,1,0.6647252131110126,0.6647252131110126,0.1440900943879923,0.25120347061070214,0.660875,0.07559500059523803,0.125,0.20833333333333334,0.1,19,35,39964.6,121.2,4522,-0.024999999999999994,-0.997739,5,70,0.017081403,,14,10,1,49,0.8454573689762275,0.9614173685506716,1.2099201077361366,0
22,1,0.43393652424601864,0.43393652424601864,0.1372604166666958,0.32176515589014876,0.6953125,0.08895836250000001,0.15,0.3333333333333333,0.075,12,34,62301.8,134.2,540,-0.04999999999999999,-0.99973,5,100,0.016310315,,20,12,11,5,0.8073762330795293,0.5524744219966488,2.6793482459022164,0
23,0,15.815510557964274,0.5785816667789903,0.14790900527221693,0.21645781200410008,0.589875,0.10374989166666669,0,0,0,0,40,81372,269.8,420,0.1,-0.99979,5,350,0.042721401,,70,19,35,18,0.664721131778159,0.7261266133879911,1.5327809689030671,1
24,0,15.815510557964274,0.6179228301694092,0.13862241564639566,0.2627599929697128,0.6710625,0.08607129107142861,0,0,0,0,40,93919.8,249.4,6125,0.1,-0.9969375,5,175,0.031992323,,35,10,2,22,0.9187581927395476,0.6315002572542836,0.5564775372728683,1
25,1,0.5753381710113057,0.5753381710113057,0.14038459038471945,0.3206680344473911,0.6678125,0.07692297275641027,0.15,0.4,0.0625,9,34,75159,123.4,2418,-0.04999999999999999,-0.998791,5,65,0.013967151,,13,13,2,6,0.9763928913961603,0.528862491439694,2.1924131637431907,0
26,0,15.815510557964274,0.6166312906156557,0.14487330833345397,0.19403411989474498,0.5530625,0.07483321249999995,0,0,0,0,40,34825.6,113.2,225,0.1,-0.9998875,5,125,0.007681787,,25,22,21,7,0.5565815852289613,0.33764866634663876,1.355527472220752,1
27,0,15.815510557964274,0.44223151641171654,0.13611194750777214,0.26161144269038233,0.6728125,0.05291408542944785,0,0,0.0125,3,40,337551.2,973,10269,0.1,-0.9948655,5,815,0.145914772,,163,5,2,30,0.791675199149896,0.8309424323332744,1.0527623617046655,0
28,0,15.315510557964274,0.4548321265329546,0.12934760221598857,0.30381496378654926,0.723,0.040853612703252024,0.05,0.2857142857142857,0.029166666666666667,5,38,110138.4,246,2583,0.05,-0.9987085,5,205,0.040290827,,41,5,5,14,0.9880605584605313,0.6209758641280382,1.713527254005266,0
29,0,15.815510557964274,0.46083122807592236,0.13625761772856934,0.2822270273402507,0.651625,0.06710522565789473,0,0,0,0,40,88628,285,665,0.1,-0.9996675,5,475,0.064966085,,95,2,13,29,0.7525886464261087,0.7497205670911944,1.857616319144737,1
30,1,0.4879700283018567,0.4879700283018567,0.1558432196407974,0.29382739706556416,0.667,0.15224089635854346,0.15,0.3,0.08333333333333333,14,34,613133.2,1525.2,4522,-0.04999999999999999,-0.997739,5,1190,0.10212774,,238,9,10,4,0.5348858095235949,0.356563827021273,3.447162003949563,1
31,0,15.815510557964274,0.6086100425595241,0.13675408189326219,0.25273542335762683,0.676,0.07037011203703707,0,0,0,0,40,44867.4,116,846,0.1,-0.999577,5,90,0.007411275,,18,11,5,15,0.6307424390690746,0.42535005457711306,0.7501822628341531,0
