accepted_candidates,best_mga_score,portfolio_size,portfolio_score_sum,niches,cumulative_worker_seconds
41,1046541.3785808537,20,13674721.561423091,33,261036.092248864
42,1046541.3785808537,20,14142134.906237802,34,265915.778619504
43,1046541.3785808537,20,14380720.977035157,34,272863.696198848
44,1046541.3785808537,20,14380720.977035157,35,279952.125052592
45,1046541.3785808537,20,14488784.556007732,36,287608.56462288
46,1046541.3785808537,20,14488784.556007732,37,295790.026751776
47,1046541.3785808537,20,14488784.556007732,38,304085.307442608
48,1046541.3785808537,20,14488784.556007732,39,311220.099982448
49,1046541.3785808537,20,14488784.556007732,40,317411.472709984
50,1046541.3785808537,20,14488784.556007732,40,324294.366366096
51,1046541.3785808537,20,14793650.511034675,41,330385.97857406404
52,1046541.3785808537,20,15186735.730108587,41,336358.33798784006
53,1046541.3785808537,20,15764200.960738996,42,342926.19477992004
54,1046541.3785808537,20,15764200.960738996,43,349077.383295088
55,1046541.3785808537,20,15767542.008032698,43,354465.66166012804
56,1046541.3785808537,20,15767542.008032698,43,361854.163474416
57,1046541.3785808537,20,15767542.008032698,43,368314.12366872
58,1046541.3785808537,20,16249367.159419434,44,373949.793474112
59,1046541.3785808537,20,16720813.925573695,44,381013.115008016
60,1046541.3785808537,20,16720813.925573695,45,387921.237391376
61,1046541.3785808537,20,16720813.925573695,45,394224.02053953597
62,1046541.3785808537,20,16720813.925573695,46,401279.03455244796
63,1046541.3785808537,20,16720813.925573695,46,407084.29759204795
64,1046541.3785808537,20,16894103.735940345,46,413492.8654868319
65,1046541.3785808537,20,17248523.380637344,46,421367.8967710079
66,1046541.3785808537,20,17354093.052931137,47,427156.1029319999
67,1046541.3785808537,20,17354093.052931137,47,433538.0465827199
68,1046541.3785808537,20,17354093.052931137,47,440422.0087312799
69,1046541.3785808537,20,17354093.052931137,48,447275.3604500479
70,1046541.3785808537,20,17354093.052931137,48,453326.4732080959
71,1046541.3785808537,20,17354093.052931137,49,459843.9192956799
72,1046541.3785808537,20,17354093.052931137,50,467456.8908417759
73,1046541.3785808537,20,17619803.66115884,50,472949.0479768639
74,1117267.412018236,20,18063151.582205437,51,478629.5365826879
75,1117267.412018236,20,18276628.4441726,51,484360.8014651999
76,1117267.412018236,20,18276628.4441726,51,491811.9561843999
77,1127109.3274604112,20,18674465.316851422,51,497800.6414869599
78,1127109.3274604112,20,18888343.089244306,51,503182.8919275199
79,1127109.3274604112,20,18888343.089244306,51,510003.3227124159
80,1127109.3274604112,20,19067298.783737484,51,515549.6094897279
81,1127109.3274604112,20,19067298.783737484,52,522943.42901830387
82,1127109.3274604112,20,19282381.873465493,52,528962.4022147518
83,1127109.3274604112,20,19282381.873465493,53,536103.0474148318
84,1127109.3274604112,20,19392947.66771221,54,541850.5099075679
85,1127109.3274604112,20,19392947.66771221,55,545794.2599950879
86,1127109.3274604112,20,19392947.66771221,55,552879.2633559839
87,1127109.3274604112,20,19392947.66771221,55,559537.8939100959
88,1127109.3274604112,20,19392947.66771221,56,565062.122130752
89,1127109.3274604112,20,19392947.66771221,57,570266.157632832
90,1127109.3274604112,20,19392947.66771221,57,577727.2898851839
91,1127109.3274604112,20,19392947.66771221,57,585179.72042024
92,1127109.3274604112,20,19392947.66771221,58,591268.629020624
93,1127109.3274604112,20,19392947.66771221,59,597675.830730464
94,1127109.3274604112,20,19392947.66771221,60,603656.015132576
95,1127109.3274604112,20,19392947.66771221,60,610344.550506048
96,1127109.3274604112,20,19392947.66771221,60,616358.083454432
97,1127109.3274604112,20,19392947.66771221,61,623252.653964352
98,1164199.4851467207,20,19676460.478497464,61,629310.284504976
99,1164199.4851467207,20,19676460.478497464,62,635815.8173887361
100,1164199.4851467207,20,19676460.478497464,63,643433.675801104
