accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
51,3-3-3-2-3-5-3-2-5-2-3-6-5-10,3-3-3-2-3-5-3-2-5-2-3-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F24y,Agent,true,-764444.2709696533,764444.2709696533,1661197.0759993389,2.500078034259827,19.979862103362123,19.979940137621952,9102.745018247018,3520000,2274276,5972.359413776
52,3-3-3-3-5-2-3-2-3-5-2-6-5-10,3-3-3-3-5-2-3-2-3-5-2-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F27y,Agent,true,-976411.7596202659,976411.7596202659,1684039.6716376364,0.00033584802093351986,14.314681221082598,14.314681221082598,10002.879773906949,3520000,2367703,6567.85679208
53,3-3-3-3-5-2-3-2-3-6-2-5-6-10,3-3-3-3-5-2-3-2-3-6-2-5-6-10|0000000000000,L14-I9-TJSJS-R0-F23y,Agent,true,-165799.56528036456,165799.56528036456,1220582.1595445652,0.0024823678042942385,49.894119756264516,49.894119756264516,8463.069852610475,3520000,2307305,6151.188515168
54,3-3-3-3-5-2-3-2-6-2-3-6-5-10,3-3-3-3-5-2-3-2-6-2-3-6-5-10|0000000000011,L14-I9-TJSSJ-R1-F28y,Agent,true,-413636.60702548147,413636.60702548147,1647800.3142830334,0.00016859211922467146,34.83858596520342,34.83858596520342,10342.034713462695,3520000,2066050,5388.27836504
55,3-3-3-3-5-3-2-3-5-2-3-5-6-10,3-3-3-3-5-3-2-3-5-2-3-5-6-10|0000000000000,L14-I9-TJJJS-R0-F29y,Agent,true,-202673.37603598245,202673.37603598245,864080.8797521478,4.986226926262535,34.01610550933079,36.50233243559333,10762.700687366021,3520000,2287164,7388.501814288
56,3-3-3-3-5-3-2-3-5-3-2-5-6-10,3-3-3-3-5-3-2-3-5-3-2-5-6-10|0000000000000,L14-I9-TJJJS-R0-F28y,Agent,true,-137429.6058112922,137429.6058112922,295419.66712694534,2.5000000016326855,19.713701666309813,19.713701667942498,10412.040699417095,3520000,2410101,6459.960194304
57,3-3-3-3-5-2-3-2-3-2-5-6-5-10,3-3-3-3-5-2-3-2-3-2-5-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F25y,Agent,true,-895461.7584122173,895461.7584122173,1833993.6958008346,0.0008118696799275243,18.527748704993638,18.527748704993638,9357.368889437708,3520000,2229193,5635.669805392
58,3-3-2-3-5-2-3-2-3-5-2-6-5-10,3-3-2-3-5-2-3-2-3-5-2-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F27y,Agent,true,-923679.4806898736,923679.4806898736,1580476.0564007098,2.5470558008325823,14.072715379661727,14.11977118049431,10213.090994401442,3520000,2520515,7063.321533904
59,3-3-3-3-5-2-3-2-3-6-2-6-6-10,3-3-3-3-5-2-3-2-3-6-2-6-6-10|0000000000000,L14-I9-TJSSS-R0-F29y,Agent,true,-53048.415423976054,53048.415423976054,841500.5767757271,0.00013886281480588928,68.71499636439493,68.71499636439493,10636.889209625391,3520000,2182538,6908.12238336
60,3-3-3-3-5-2-3-2-6-2-3-5-6-10,3-3-3-3-5-2-3-2-6-2-3-5-6-10|0000000000000,L14-I9-TJSJS-R0-F29y,Agent,true,-181159.34957785707,181159.34957785707,863832.8203440408,4.59868013869873,37.14783612631789,39.24651626501662,10625.632711156657,3520000,2228768,6302.78314816
61,3-3-3-3-6-2-3-2-3-5-2-5-6-10,3-3-3-3-6-2-3-2-3-5-2-5-6-10|0000000000000,L14-I9-TSJJS-R0-F28y,Agent,true,-41422.04397644567,41422.04397644567,556514.8587222011,0.0001968762618083824,64.64275956330559,64.64275956330559,10425.925270407304,3520000,2364419,7055.014012912
62,3-3-3-3-5-2-3-2-3-5-2-5-6-10,3-3-3-3-5-2-3-2-3-5-2-5-6-10|0000000000000,L14-I9-TJJJS-R0-F29y,Agent,true,-78367.60131432369,78367.60131432369,847992.9099344627,7.91719390183673,53.91970251628036,59.33689641811709,10631.587638695946,3520000,2316089,5805.2630396
