point_id,feasible,selected,objective_negative_peak_gain_db,objective_psll_db,objective_active_count,objective_robustness_margin_db,constraint_null_db,constraint_kernel,peak_deg,hpbw_deg,phase_codes,attenuator_codes
100,1,0,-15.158210696238655,-1.730458743074432,14,1.730458743074432,-2.105098735547095,-1,35.0177106715913,17.841244313867918,"3;51;32;41;28;44;34;6;56;25;20;2;50;35;46;10","14;11;16;5;4;0;1;0;0;0;2;7;7;12;12;12"
101,1,0,-15.028558737904039,-3.78606732555049,9,1.971472843879447,-4.844605135686681,-1,24.290028661448776,14.457383769005421,"10;48;42;53;40;27;25;62;59;37;40;4;34;57;48;37","22;17;19;12;9;5;1;0;0;2;5;5;9;17;31;28"
102,1,0,-14.838282319200156,-5.0093945960681205,8,3.2619717907985954,-0.3762525429301924,-1,-16.25322683261038,14.615889117801782,"15;22;28;35;29;48;49;8;3;10;16;43;29;36;42;49","19;18;14;10;6;3;1;0;0;1;3;6;10;12;18;19"
103,1,0,-14.734043019199694,-4.528976610347778,8,2.8378106177971882,-0.8549707850172066,-1,-16.42805925956767,14.491193517521253,"15;22;28;14;29;48;47;8;3;10;16;43;29;25;16;49","20;11;14;10;6;3;1;0;0;1;3;6;7;12;11;12"
104,1,0,-14.645164868616067,-1.3740612766813787,14,1.3740612766813787,-1.946299572063377,-1,40.90024628316041,12.344916959729758,"34;3;45;33;27;19;32;11;53;50;14;46;40;18;54;45","31;17;25;8;8;3;1;0;0;1;3;9;11;19;31;27"
105,1,0,-14.468566666394178,-1.516308458230392,14,1.516308458230392,-1.6339208873167363,-1,32.85693113296681,14.064465358627835,"5;15;40;55;61;25;34;9;53;36;39;9;45;24;13;31","24;22;7;5;7;4;1;0;0;1;2;7;13;17;11;22"
106,1,0,-14.332665749862779,-0.9900713151538476,14,0.9900713151538476,-10.418879365430964,-1,34.429998393896796,13.12681605464067,"5;15;40;55;61;19;34;9;60;36;39;9;45;22;13;7","24;22;7;14;7;4;1;0;0;1;2;7;11;24;11;22"
107,1,0,-14.226822423792601,-1.0586303086538986,14,1.0586303086538986,-1.2580196578410048,-1,39.861510826922725,11.170839832856494,"34;3;44;26;28;19;32;6;53;50;14;45;40;18;54;45","14;17;19;8;8;3;1;0;0;1;3;7;11;19;25;27"
108,1,0,-14.088932570455192,-1.8891169755740045,14,1.8891169755740045,-0.9001429710002409,-1,38.21043836422373,15.06060166042715,"3;17;39;34;59;27;37;56;54;32;10;58;31;25;49;40","28;31;27;12;8;4;1;0;0;2;3;8;17;25;29;31"
109,1,0,-13.98649196363153,-2.395878563532151,8,2.395878563532151,-3.0534921612751873,-1,33.696825050333345,17.197284030793963,"30;50;34;14;60;24;33;10;48;25;21;62;12;24;19;56","23;22;17;8;9;4;1;0;0;1;4;4;7;23;23;30"
110,1,0,-13.746918414404902,-0.8600843652793734,9,0.8600843652793734,-0.4347624696963752,-1,-32.130014324372425,16.647309024966177,"14;24;42;53;40;31;25;62;9;25;40;61;18;59;48;50","22;22;19;12;12;2;1;0;0;2;2;5;9;17;22;28"
111,1,0,-13.619369909493654,-2.113688622023447,8,2.113688622023447,-7.961094740689049,-1,-15.788241504647118,11.869116011591869,"39;9;19;26;26;43;51;12;59;19;21;42;38;46;54;9","17;13;11;8;7;4;0;0;0;4;3;5;14;11;13;14"
112,1,0,-13.449885676573771,-1.5837678869462315,8,1.5837678869462315,-2.07611245724447,-1,-20.551333581509876,15.982514067823598,"22;49;30;17;9;44;46;58;54;19;16;42;35;30;16;37","20;30;8;16;9;6;1;0;0;1;3;6;8;25;12;31"
113,1,0,-13.347613660197053,-0.21569310814747128,9,0.21569310814747128,-8.992009363537807,-1,26.333826016603805,16.494905916778922,"5;15;40;55;61;19;34;9;60;36;39;9;43;22;47;7","24;22;7;12;7;4;1;0;0;1;2;7;11;24;11;22"
114,1,0,-13.20485084386734,-1.1830379917269298,8,1.1830379917269298,-1.3095891869860985,-1,-20.410964088113396,16.342092826876794,"22;49;30;17;9;46;46;58;54;19;16;42;35;30;16;37","20;30;8;16;9;6;1;0;0;1;3;6;8;25;12;31"
115,1,0,-13.09336387637048,-2.820766264458878,8,2.820766264458878,-0.3269489281400828,-1,51.2315721485835,25.63001564254901,"34;47;44;41;28;21;35;6;53;25;16;44;28;26;46;9","14;24;11;13;5;3;1;0;0;1;3;14;8;12;13;11"
116,1,0,-12.90025590614004,-1.3723751929123151,9,1.3723751929123151,-0.13495857594401706,-1,-22.116260532889157,18.032204898794575,"15;46;28;14;34;48;47;9;3;10;40;4;30;57;16;49","22;17;14;9;9;5;1;0;0;1;3;6;9;12;30;12"
117,1,0,-12.64152386587015,-2.3926953782635247,8,2.3926953782635247,-1.5083287645727816,-1,-35.22568541793945,22.21887887168392,"5;51;34;30;61;43;27;62;12;38;54;59;33;25;14;62","13;20;23;6;9;3;1;0;0;2;2;4;15;17;31;31"
118,1,0,-12.242355369125983,-0.9952743509281126,13,0.9952743509281126,-3.403594914570011,-1,-56.76354553364863,43.5550526407803,"10;8;36;52;40;45;27;60;11;33;55;57;34;22;16;38","31;22;25;16;9;5;1;0;0;1;5;9;16;17;24;24"
119,1,0,-12.1908519342795,-0.5524163466102284,14,0.5524163466102284,-2.5027609731723235,-1,-55.32598126315646,48.076441608932534,"10;8;36;52;40;47;27;60;11;35;55;57;34;22;16;38","31;22;25;16;9;5;1;0;0;1;5;9;16;17;24;24"
120,1,0,-12.149029042782274,-1.2800382877842733,8,1.2800382877842733,-0.14648981654092452,-1,48.878908873082544,20.34680590073029,"34;45;44;24;28;20;32;11;53;50;15;44;28;20;54;45","14;17;12;8;5;3;1;0;0;1;3;7;11;12;13;10"
121,1,0,-11.846479364058364,-1.1116853856025932,8,1.1116853856025932,-0.052995220262356924,-1,28.559481340707865,24.744340712992436,"10;14;34;42;27;45;25;59;55;20;22;3;48;21;47;61","22;20;27;15;1;5;1;0;0;1;3;4;6;17;22;23"
122,1,0,-11.76753884506072,-0.1892554831671336,10,0.1892554831671336,-2.3207064199267045,-1,36.46868750398179,12.219097388548974,"27;3;7;29;51;46;30;53;11;34;14;56;38;57;61;42","31;25;25;16;9;5;1;0;0;2;3;9;16;25;31;28"
123,1,0,-11.55398865728133,-0.49352027972061036,8,0.49352027972061036,-0.6272458190341652,-1,34.88824684738331,22.787404418230143,"5;50;34;16;27;46;27;59;58;19;20;3;48;30;13;59","22;20;16;8;7;3;1;0;0;1;3;7;11;11;13;22"
124,1,0,-11.234671677887317,-0.05180269008176594,8,0.05180269008176594,-0.09588932896554336,-1,15.707913591635371,19.309130199295527,"34;45;44;24;30;20;32;6;53;50;15;44;28;20;54;35","14;17;12;8;5;3;1;0;0;1;3;7;11;12;13;11"
125,1,0,-11.068056796120008,-0.1311521351444315,8,0.1311521351444315,-0.39923256320153655,-1,-56.724161450933636,27.419354435968778,"33;45;42;24;28;20;32;6;53;50;15;45;50;20;9;45","14;17;23;16;9;1;1;0;0;1;3;7;11;12;10;15"
126,1,0,-10.934990306256825,-0.24552572849622645,8,0.24552572849622645,-0.4029720239299497,-1,-57.29539225642067,29.155624456723423,"46;45;21;24;28;20;32;6;52;50;16;43;50;21;9;20","14;17;23;9;9;5;1;0;0;1;3;7;11;22;14;30"
