seed,sample,operating_cost,d1_axis1_train,d1_axis2_train,d1_axis1_holdout,d1_axis2_holdout,d1_axis1_hourly,d1_axis2_hourly,d1_axis1_half_hour,d1_axis2_half_hour,d2_axis1_train,d2_axis2_train,d2_axis1_holdout,d2_axis2_holdout,d2_axis1_hourly,d2_axis2_hourly,d2_axis1_half_hour,d2_axis2_half_hour,d3_axis1_train,d3_axis2_train,d3_axis1_holdout,d3_axis2_holdout
424242,123,87.77232734085453103,0.19142754269281487,0.15887736467863992,0.18826826127507240,0.12110865352447024,0.18970488198334709,0.15651452428482507,0.19054302745918889,0.15576074988156163,0.31824566536771726,0.15887736467863992,0.31199032073613686,0.12110865352447024,0.31824566536771726,0.15651452428482507,0.31921051019012864,0.15576074988156163,0.65000000000000024,0.19142754269281487,0.65000000000000024,0.18826826127507240
424242,130,72.38442076627997324,0.25329226290929008,0.09610800066864818,0.25045555075795867,0.08952004196576453,0.25173976292432421,0.09431912027789154,0.25164864923670172,0.09403203294284834,0.31922863531815160,0.09610800066864818,0.31592855380184282,0.08952004196576453,0.31922863531815160,0.09431912027789154,0.31918153047882691,0.09403203294284834,0.65000000000000024,0.25329226290929008,0.65000000000000024,0.25045555075795867
424242,131,71.82135888365004917,0.25156160275108475,0.09575960335069401,0.25045555102480282,0.08952003857595152,0.25173976288521266,0.09431912391588049,0.25164864947169374,0.09403203408254497,0.31922863298768872,0.09575960335069401,0.31592855454693819,0.08952003857595152,0.31922863298768872,0.09431912391588049,0.31918153209841049,0.09403203408254497,0.65000000000000024,0.25156160275108475,0.65000000000000024,0.25045555102480282
424242,135,71.82135890036502701,0.25156160270945493,0.09575960232412549,0.25045555094639610,0.08952003663999804,0.25173976273499082,0.09431911983632719,0.25164864938137083,0.09403203254860741,0.31922863141284130,0.09575960232412549,0.31592855324215863,0.08952003663999804,0.31922863141284130,0.09431911983632719,0.31918153107289177,0.09403203254860741,0.65000000000000024,0.25156160270945493,0.65000000000000024,0.25045555094639610
424242,144,71.82135879530270017,0.25156160278567785,0.09575960310040810,0.25045555122156621,0.08952003637046801,0.25173976282894506,0.09431912318933648,0.25164864956876631,0.09403203684857482,0.31922863183341815,0.09575960310040810,0.31592855488911709,0.08952003637046801,0.31922863183341815,0.09431912318933648,0.31918153161916579,0.09403203684857482,0.65000000000000024,0.25156160278567785,0.65000000000000024,0.25045555122156621
424242,145,71.82135888626295639,0.25156160273622930,0.09575960409969407,0.25045555109531847,0.08952003881832615,0.25173976299119866,0.09431912083949683,0.25164864945888804,0.09403203451973689,0.31922863179907784,0.09575960409969407,0.31592855178110502,0.08952003881832615,0.31922863179907784,0.09431912083949683,0.31918153093370016,0.09403203451973689,0.65000000000000024,0.25156160273622930,0.65000000000000024,0.25045555109531847
424242,147,71.82135887370807836,0.25156160275754541,0.09575960446876014,0.25045555103805778,0.08952003835052731,0.25173976285031446,0.09431912290322653,0.25164864951253596,0.09403203761361960,0.31922863135400159,0.09575960446876014,0.31592855317201896,0.08952003835052731,0.31922863135400159,0.09431912290322653,0.31918153107879155,0.09403203761361960,0.65000000000000024,0.25156160275754541,0.65000000000000024,0.25045555103805778
424242,148,70.74471001646679724,0.18234105743940898,0.09985700205957553,1.00000000000000000,0.02851198690820807,0.18251390593432898,0.09889180223534237,0.18245347791602778,0.09864751327826753,0.31325224301587690,0.09985700205957553,0.30443718663610464,0.02851198690820807,0.31325224301587690,0.09889180223534237,0.31322181911547659,0.09864751327826753,0.64583333333333359,0.18234105743940898,0.64583333333333359,1.00000000000000000
424242,149,69.14606823281144443,0.27427389736446228,0.10657824101383938,0.27302308962043031,0.09492697181269572,0.27445441204547311,0.10481501266719311,0.27434842700025230,0.10456337162443126,0.31503912173767523,0.10657824101383938,0.31079809994645546,0.09492697181269572,0.31503912173767523,0.10481501266719311,0.31562947229671556,0.10456337162443126,0.64583333333333359,0.27427389736446228,0.64583333333333359,0.27302308962043031
424242,156,72.38442073027913182,0.25329226301821328,0.09610800051006570,0.25045555108404671,0.08952003640220900,0.25173976295852935,0.09431912046003850,0.25164864948152804,0.09403203226920831,0.31922863343553792,0.09610800051006570,0.31592855604874165,0.08952003640220900,0.31922863343553792,0.09431912046003850,0.31918153228725749,0.09403203226920831,0.65000000000000024,0.25329226301821328,0.65000000000000024,0.25045555108404671
