niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_throughput_per_hour_train,descriptor_mean_wip_train,descriptor_throughput_per_hour_validation,descriptor_mean_wip_validation,validation_niche_id,same_niche,visit_count,decision_buffer_capacity,decision_speed_a,decision_speed_b,decision_maintenance_threshold_a,decision_maintenance_threshold_b,decision_rework_probability,decision_dispatch_priority,decision_staff_a,decision_staff_b
6,6,0,27.01092532191013,26.654794814140185,61.5,6.5642020049375,59.40625,6.260207615247914,5,0,168,1,0.8622757349153126,0.8684386174811599,0.7714639860663547,0.912786568647181,0,0.8067125579713241,4,3
36,6,3,27.01546725816951,26.02376423473609,60,60.24177436219789,58.53125,58.13690108665053,25,0,4,15,0.7870179570078869,0.8811954796501611,0.43089264446851766,0.5087226349689612,0.5604255011197692,0.9835007284533168,2,3
15,5,1,27.286060874849547,27.87477691555794,50.375,36.67561608481042,48.0625,38.30210593997343,14,0,192,1,0.986720323534944,0.9034533447050215,0.7069759473170392,0.6641278045796603,0.5601847600064489,0.9970908149676676,2,2
14,4,1,27.348785342492683,27.698617940625436,49.1875,34.931446160908344,47.25,36.99909959619999,14,1,143,1,1.007503558719228,0.884565691761669,0.7205257751065303,0.6819478859920316,0.5368588737177904,0.9955197741719343,2,2
7,7,0,28.023749562534235,27.791356362878332,70.25,7.340295987792712,67.1875,7.125130361459375,6,0,157,3,0.9062448327626867,0.9093576217851843,0.8157349975596828,0.93249348698393,0.031700319110766255,0.7621251413617436,4,3
16,6,1,28.434131361503606,28.922493696472287,68.5,37.91847306883022,67.125,39.287038273749474,16,1,114,4,0.9859145430071069,0.9076194573475097,0.6975612013678437,0.5242175541866825,0.6126062745140126,1,2,3
8,8,0,29.24104055084321,29.228539623169667,80.75,7.801930375033337,77.53125,7.91037135514844,7,0,134,3,1.0815973403662524,0.8941325047519058,0.8275689996463592,0.9325837383359429,0.0649529293468146,0.720684203710513,3,4
27,7,2,29.410976172364855,28.807653104742684,70,40.62039010783957,68.8125,36.84709163727031,16,0,35,14,1.0105944349097877,0.9006964003374626,0.5559095813917462,0.5780864821833688,0.637477703296501,1,2,3
17,7,1,29.549285952604,29.4721266809981,71.125,38.51394642834269,69.75,35.15007269668021,16,0,193,17,1.0391608272461552,0.9417934620117623,0.5781113650768606,0.5743339453188269,0.643877083686656,0.982752094432788,2,3
18,8,1,36.028456763066565,34.00869799860926,80.25,20.24017533072499,74.78125,19.705508594504696,7,0,20,32,1.4027236097832512,1.0668360121425329,0.5696229008770891,0.6750641246800272,0.21698078441974844,0.7401353811735776,2,3
