frequency_hz,gain_db
6839.116472814293,-3.551849543879293
7079.457843841374,-3.2140290920426478
7328.245331389045,-2.874372610322858
7585.775750291836,-2.532908963703729
7852.356346100718,-2.189699972536876
8128.305161640995,-1.8448488613559215
8413.951416451948,-1.4985104701466203
8709.635899560806,-1.1509035314990448
9015.711376059571,-0.8023253393074964
9332.543007969905,-0.45316914022285554
9660.508789898131,-0.10394455492121518
10000,0.24469873650222643
10351.42166679343,0.5919439585320744
10715.193052376071,0.9367770251777513
11091.748152624008,1.2779537292638672
11481.53621496884,1.613965533940032
11885.022274370189,1.9430060265320948
12302.68770812381,2.26294122837099
12735.030810166629,2.571288330246551
13182.567385564074,2.8652089161418672
13645.831365889238,3.1415240727927185
14125.375446227554,3.396759492300286
14621.771744567182,3.6272281068161885
15135.612484362071,3.8291552200574492
15667.5107010815,3.9988459791018687
16218.100973589299,4.132887413331722
16788.040181225588,4.228368215463419
17378.00828749376,4.2830911688858295
17988.709151287872,4.295748579702813
18620.871366628657,4.266032826703595
19275.249131909368,4.194663030896203
19952.62314968879,4.083323105644299
20653.80155810527,3.93452210361134
21379.620895022323,3.751400249279703
22130.947096056363,3.5375101166415925
22908.6765276777,3.2966013983069398
23713.737056616552,3.0324313027384866
24547.089156850285,2.7486136993361
25409.727055493066,2.4485114542110784
26302.679918953814,2.1351697261640505
27227.0130807791,1.8112839355565604
28183.82931264455,1.479194436946675
29174.27014001166,1.1408999609393302
30199.51720402019,0.7980829216679758
31260.793671239557,0.4521411297609251
32359.36569296281,0.1042219199581221
33496.54391578279,-0.24474401072475102
34673.685045253165,-0.5940107346001368
35892.193464500495,-0.9429881172473521
37153.52290971728,-1.2912161295172997
38459.178204535354,-1.6383424992196742
39810.71705534969,-1.9841035453166165
41209.751909733044,-2.328307923616801
42657.95188015926,-2.670822962540023
44157.044735331205,-3.0115632572572366
45708.818961487515,-3.350481204064514
47315.12589614803,-3.6875591832030867
48977.88193684456,-4.022803130355042
50699.070827470445,-4.356237270316877
52480.74602497723,-4.687899818319886
54325.03314924325,-5.017839483772821
56234.13251903491,-5.346112637260276
58210.321777087214,-5.672781024317182
60255.958607435685,-5.997909928953636
62373.483548241915,-6.32156670640284
64565.422903465624,-6.643819618442052
66834.39175686135,-6.964736916238989
69183.09709189362,-7.2843861253298545
71614.34102129027,-7.602833495341277
74131.02413009177,-7.920143583693287
76736.14893618185,-8.23637894798825
79432.82347242821,-8.55159992630169
82224.26499470712,-8.865864488307109
85113.80382023759,-9.179228143227917
88104.88730080146,-9.491743893128547
91201.08393559097,-9.803462222131758
94406.08762859226,-10.114431113856456
97723.72209558112,-10.42469609077556
101157.94542598983,-10.73430027035143
104712.85480508985,-11.043284433759217
108392.69140212038,-11.351687103792782
112201.84543019629,-11.6595446291946
116144.86138403414,-11.966891273183089
120226.4434617413,-12.273759304388248
124451.46117713844,-12.580179088767347
128824.95516931322,-12.886179181368664
133352.1432163324,-13.191786417054136
138038.42646028838,-13.497025999491925
142889.39585111008,-13.801921587893503
147910.83881682073,-14.106495381102997
153108.7461682032,-14.41076819875601
158489.3192461111,-14.71475955931363
164058.97731995388,-15.01848775484888
169824.3652461746,-15.32196992252031
175792.36139586932,-15.625222112714388
181970.08586099825,-15.928259353874223
188364.9089489802,-16.23109571406126
194984.45997580455,-16.533744359318728
201836.63636815597,-16.836217608923146
208929.6130854041,-17.138526987622008
216271.852372702,-17.440683274965334
223872.11385683378,-17.742696551845068
231739.46499684796,-18.044576244359423
239883.29190194898,-18.346331165121747
248313.3105295568,-18.64796955213372
257039.57827688646,-18.949499105341385
266072.50597988087,-19.25092702099113
275422.87033381633,-19.552260023900153
285101.826750391,-19.8535043977523
295120.9226666384,-20.154666013527013
305492.1113215509,-20.455750356165492
316227.7660168379,-20.75676254957311
