niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_throughput_per_hour_train,descriptor_mean_wip_train,descriptor_throughput_per_hour_validation,descriptor_mean_wip_validation,validation_niche_id,same_niche,visit_count,decision_buffer_capacity,decision_speed_a,decision_speed_b,decision_maintenance_threshold_a,decision_maintenance_threshold_b,decision_rework_probability,decision_dispatch_priority,decision_staff_a,decision_staff_b
86,6,4,24.09915358486057,28.41597775342269,31.3125,48.96830100540626,31.21875,47.121249925899484,86,1,923,1,0.9653385602781844,1.0722968950528484,0.2101922096374058,0.6450666056778854,0.48119777442538536,0.9848107204039998,2,1
109,9,5,24.124029190176405,27.590614273484704,49.3125,57.76642708781561,50.21875,62.00056483655156,130,0,1034,1,0.7514815093031453,0.9060866581555195,0.703056491612511,0.5844798048224119,0.5391786122974968,1,2,2
110,10,5,24.149364251761373,28.394156296028864,50.25,59.412090977513515,50.75,63.85883019971092,130,0,1442,1,0.7355980020487372,0.9358773586388895,0.704661265844892,0.6489876186558142,0.5718951697705249,1,2,2
131,11,6,24.58750686240485,27.72754636686545,55,66.84900723742498,56.5,66.62768782189949,131,1,1792,7,0.7128940948524513,0.9997263559139913,0.6627018307772374,0.6844214972463252,0.5655485739845515,0.9978529249949183,2,2
108,8,5,24.621942102879782,29.279154902519302,40.875,58.578696473225,41.84375,62.41439363167499,128,0,771,1,0.7472769898509358,0.7,0.7124067517714976,0.45304682251612316,0.5518934683126507,1,2,2
84,4,4,24.845292621292216,29.28599566923744,23.0625,49.82119237887707,23.65625,51.445190396336436,104,0,1218,1,0.8406303650832422,0.7418255265689404,0.7279194993110032,0.5098268893948762,0.5846137256172159,1,2,1
3,3,0,24.867518302976695,26.35069492375617,19.75,6.34790293044896,19.40625,6.979365662768226,3,1,536,1,0.9974961293232767,0.7376193953948093,0.7483389123892855,0.15,0.5526894145865694,1,3,1
8,8,0,25.07051150952889,25.39354279090592,44.125,5.730592456902077,42.625,6.033375671319268,8,1,1817,1,0.8681816222939526,0.7987196452462269,0.7191913356658739,0.8974254793323815,0.37757455803784223,0.07321829746150586,4,2
111,11,5,25.078274254929728,28.624732060736516,57.9375,59.65425742164686,58.3125,64.16841217972186,131,0,1386,15,0.7346557486737146,0.8683983514159624,0.7272262232932241,0.8758953641080189,0.5618920600543855,1,2,3
9,9,0,25.113320949503617,25.38180613851413,46,5.837429600817713,45.0625,6.139743347462502,9,1,1752,1,0.8506005138310707,0.8582358602180499,0.7054042887644436,0.95,0.24750383253674169,0.22156559647858287,4,2
151,11,7,25.205335030605514,27.366402310773676,55,70.6952857740875,56.4375,68.36724783536825,131,0,37,25,0.7,1.0648821958500108,0.6108155413304097,0.4178467163040095,1,0.9941680158642007,2,2
89,9,4,25.273352845122336,28.064792150223777,48.3125,49.677060576383354,49.875,49.40511478556511,89,1,1060,1,0.8425233953201091,0.8690481049371235,0.95,0.8636218823047659,0.40888640496099865,1,2,2
7,7,0,25.302195791671952,25.34307054432079,39.8125,5.926576926748959,39.8125,5.962398231783335,7,1,823,1,0.8541867793165723,0.7128050593918959,0.9067491965240123,0.758398419112958,0.2707954147521031,0.47232573228675473,4,2
24,4,1,25.34263834377915,25.9421289470748,24.25,10.112710360095832,25.90625,10.082090496138022,25,0,907,1,0.8305919089870052,0.9217422367766885,0.9225522629599835,0.3176339248389304,0.3618350508212534,0.9702714186875603,3,1
10,10,0,25.391920231894545,25.722247064465055,50.875,6.904013788944789,49.375,7.066221660823437,9,0,1201,1,0.9940962472104051,0.962952627592713,0.9260335526734326,0.7754503431128408,0.3257439743881403,0.9851171267330711,3,2
