maximum_gap_hours,negative_contact_hours,launch_complexity,quality,altitude_km,inclination_deg,raan_1_deg,raan_2_deg,raan_3_deg,raan_4_deg,mean_anomaly_1_deg,mean_anomaly_2_deg,mean_anomaly_3_deg,mean_anomaly_4_deg
3.616861979167,-17.338671875000,0.541278443588,2.436620153464,635.994668024277,90.248396083448,163.571464663697,147.827409922360,216.252294913140,254.263778054484,283.731541965044,340.506316748715,207.856561066420,204.361259782988
3.795898437500,-26.749609375000,1.317351301762,2.406886387470,890.803947880445,84.999017752893,236.503902440817,77.092462039606,38.113059328010,152.098476401474,208.765438046713,152.743741020089,205.509293373252,40.243057542182
3.796679687500,-26.753190104167,1.317351301762,2.406816506185,890.803947880445,85.420099255095,236.503902440817,77.092462039606,38.113059328010,152.098476401474,208.765438046713,152.743741020089,205.509293373252,40.243057542182
3.804231770833,-15.378515625000,0.331598037748,2.403905110860,532.700545243014,90.091796122682,308.248511234986,260.730641812419,180.103595167256,233.493928308112,137.194403416189,159.088531826989,198.757775588685,33.781721443074
3.802799479167,-26.936588541667,1.342703505800,2.394036735141,899.135875611637,85.420099255095,236.503902440817,77.092462039606,34.822774768392,152.098476401474,208.765438046713,152.743741020089,205.762790429341,40.243057542182
3.845638020833,-14.444140625000,0.260018981250,2.365721692515,500.475846006995,90.150222125652,308.248511234986,260.730641812420,180.103595167256,233.428635093077,137.194403416189,159.088531826989,198.757775588685,33.914943219198
4.724934895833,-28.807421875000,1.150598274073,2.339777431319,894.175144381553,85.409583183913,107.369457757667,122.090465670238,158.773170742913,235.185241715155,212.454592055565,319.970282048074,69.680069318251,116.771626026195
4.113151041667,-14.617252604167,0.246933625985,2.292629063228,515.609171258873,91.052526475122,296.890036760285,355.390361254666,322.960444012782,252.504621766740,328.966982657804,56.665209953601,115.252953606523,47.534100771901
4.803906250000,-17.160872395833,0.357346421138,2.178353065231,564.291849775416,90.118004914814,278.857494858157,260.730641812419,180.103595167256,263.860806227609,134.880488682320,160.647897014384,191.104173519525,1.811447564412
5.076302083333,-22.002018229167,0.672756036605,2.164664314534,691.776083942661,88.021886011039,284.180138477696,302.236062750207,38.324148908575,299.987640972144,67.381643844946,223.291273286530,162.424407018727,40.004989023800
4.809960937500,-17.018033854167,0.356069506593,2.160002334467,563.717238229969,90.091796122682,278.857494858157,260.730641812419,180.103595167256,263.860806227609,135.393441199868,159.172019523163,191.104173519525,1.811447564412
4.903450520833,-16.857877604167,0.340950832263,2.129531725776,559.067504507535,90.091796122682,278.857494858157,260.730641812419,180.103595167256,234.716736598404,135.393441199868,159.088531826989,198.757775588685,31.483876091162
