design,field_deg,wavelength_um,ray_id,x_mm,y_mm
reference,14,0.4861,16,0.011017926229087927,12.527976369469002
reference,14,0.4861,17,0.010958443090111736,12.53159599403834
reference,14,0.4861,18,0.009623712477062174,12.546277844420729
reference,14,0.4861,19,0.0051237251823108565,12.587857091492367
reference,14,0.4861,20,0,12.538289597885464
reference,14,0.4861,21,0,12.534400093832215
reference,14,0.4861,22,0,12.531098959384671
reference,14,0.4861,23,0,12.528793135142353
reference,14,0.4861,24,0,12.528116391118756
reference,14,0.4861,25,0,12.531389253813888
reference,14,0.4861,26,0,12.545020160810484
reference,14,0.4861,27,0,12.584180883077675
reference,14,0.4861,28,0,12.682995579704873
reference,14,0.4861,29,-0.011031122110871427,12.534664117204228
reference,14,0.4861,30,-0.010722478320017714,12.531150976691174
reference,14,0.4861,31,-0.010778524135721446,12.528667082937021
reference,14,0.4861,32,-0.011017926229087927,12.527976369469002
reference,14,0.4861,33,-0.010958443090111736,12.53159599403834
reference,14,0.4861,34,-0.009623712477062174,12.546277844420729
reference,14,0.4861,35,-0.0051237251823108565,12.587857091492367
reference,14,0.4861,36,-0.02492947948660218,12.535408000363674
reference,14,0.4861,37,-0.02429990519002745,12.531359351769817
reference,14,0.4861,38,-0.024194885380399267,12.528457793006638
reference,14,0.4861,39,-0.024197640850279978,12.527883691628467
reference,14,0.4861,40,-0.02322674599343255,12.532786205872084
reference,14,0.4861,41,-0.01910094022207609,12.551026952173864
reference,14,0.4861,42,-0.007588311496752986,12.600596914427703
reference,14,0.4861,43,-0.0425856583537052,12.531914723905077
reference,14,0.4861,44,-0.04178020901423274,12.5287511295276
reference,14,0.4861,45,-0.040385467121272445,12.52896311051012
reference,14,0.4861,46,-0.03643538250516798,12.536913240265909
reference,14,0.4861,47,-0.025980327629573363,12.562616416603205
reference,14,0.4861,48,-0.056892857676871245,12.533660982106444
reference,14,0.5876,0,0.07086680876002127,12.527144474598611
reference,14,0.5876,1,0.04905823038286261,12.53250822647595
reference,14,0.5876,2,0.04891157786362621,12.527302820830688
reference,14,0.5876,3,0.04868151719143521,12.524448634428722
reference,14,0.5876,4,0.046541988595791395,12.527673943018023
reference,14,0.5876,5,0.038808201517281926,12.545986341450234
reference,14,0.5876,6,0.028306533402864265,12.53749534666557
reference,14,0.5876,7,0.02782752441843428,12.532345867635161
reference,14,0.5876,8,0.028133464319300305,12.527794237854835
reference,14,0.5876,9,0.028842766142247456,12.524626743806373
reference,14,0.5876,10,0.0289553236458846,12.52543826077784
reference,14,0.5876,11,0.026440582899962095,12.537215454261005
reference,14,0.5876,12,0.017340232882046447,12.576444623030342
reference,14,0.5876,13,0.012504399339146488,12.536780870702911
reference,14,0.5876,14,0.012273142501275869,12.532365318626004
reference,14,0.5876,15,0.01252673211493427,12.52844297512996
reference,14,0.5876,16,0.013100612039071313,12.525414696142853
