point_id,feasible,selected,objective_mean_huber_error,objective_p95_detection_error,objective_total_emission_g_s,decision_source_1_x_m,decision_source_1_y_m,decision_source_1_log10_emission_g_s,decision_source_1_height_m,decision_source_2_x_m,decision_source_2_y_m,decision_source_2_log10_emission_g_s,decision_source_2_height_m,decision_wind_direction_bias_deg,decision_wind_speed_scale,decision_lateral_dispersion_scale,decision_vertical_dispersion_scale
134,1,0,0.03637239483646558,0.8297957924773538,0.5028842956284021,-816.0778928762884,408.6587909807348,-0.43762020526982437,20.000661088677077,962.7123464810584,-501.6735326263497,-0.8607153963476388,24.26180478299152,2.775788609198422,0.8001550535172632,1.203659782781172,0.7001572939835994
135,1,0,0.03726145332053899,0.8389837953908144,0.49445281778931716,-816.5622972394156,401.3010754289768,-0.45104957494924847,20.00046956411076,962.9611434649589,-516.1181290501318,-0.8523364006594252,28.099230175007932,2.4890726115553203,0.8000005453186847,1.177798463595371,0.7000301760121905
136,1,0,0.03388897905546491,0.8505940052730274,0.5390752421758448,-815.7456999226767,400.6362797567855,-0.45755562602317834,20.0014786455359,963.6416993341174,-551.5130645042202,-0.7203756597489159,36.20381230111326,2.6493803143339996,0.8000131384847078,1.187787661252202,0.7000010270675081
137,1,0,0.033702924613817443,0.8598846337867752,0.5390752421758448,-815.7104058093951,401.79453636917185,-0.45755562602317834,20.004923311646657,963.6519763129179,-552.3235632050762,-0.7203756597489159,36.20381230111326,2.887722157779422,0.8000131384847078,1.1870239450614932,0.7000010270675081
138,1,0,0.03887627984049468,0.8802510425598298,0.46884691831308944,-815.7533477855645,403.75448689240125,-0.47035500577564315,20.000569260710733,967.7056040712469,-501.68443042556,-0.8851234811285973,24.753075380107205,2.672678929009329,0.8000150969652073,1.209709782788618,0.700014502231447
139,1,0,0.03811896417136262,0.8924655116887861,0.48589686766029916,-813.9699893019472,408.16809765664993,-0.47339538386855895,20.000115979867275,962.7281027847596,-501.7523274656978,-0.824802799679792,24.548866516839112,2.849332903090601,0.8000770151983188,1.1577992992198856,0.7000237405775682
140,1,0,0.03963161987004232,0.8953683281679816,0.4633465621735011,-815.7700501326665,401.85532690213563,-0.4636363258899636,20.004647149137284,963.9249449284046,-501.96163085069816,-0.922629181522433,24.898812587448163,2.8391429814889086,0.8000089391400339,1.18900609179796,0.7000030968233621
141,1,0,0.04332518594782899,0.8889463060484815,0.44766523036505634,-814.0534547206814,402.11426631470806,-0.462732830125997,20.032769562770824,963.613093354523,-501.72119780353137,-0.9867270265405192,23.917478783165848,2.5042845206844744,0.800021886986336,1.3,0.7000013598387538
142,1,0,0.04005492165265241,0.9086767624311198,0.45851071218298844,-816.6569870960616,404.2692675526765,-0.4872765305808161,20.000661088677077,962.7123464810581,-501.71605822373857,-0.8765357499018007,23.87899005102054,2.5216452535422804,0.8000183602914783,1.208592524077909,0.7000938210159527
143,1,0,0.04148089180405615,0.9122841698868269,0.4462060252472783,-815.3254453747068,404.6855907423461,-0.47311853243177016,20.037265321162938,963.4636461342518,-501.7523274656978,-0.9594518995261918,22.32222824816653,2.852000096170939,0.8003482510310147,1.2175547318267235,0.7000228850554158
144,1,0,0.0397561462668225,0.9195621473069293,0.4598280424002514,-814.0960213293042,402.2704030446282,-0.47339538386855895,20.00012202284252,962.7983070124579,-503.2136343804059,-0.9079017914349157,24.542927484839765,2.792208211705234,0.8000099963812619,1.1970598629600464,0.7000039067277766
145,1,0,0.038161016467721465,0.9386787906667271,0.48263377574454114,-814.3262393902455,408.7951833142346,-0.48355674701056084,20.00831293578077,963.828590120341,-555.7131796794711,-0.8119059138142131,31.50209539459432,2.854305355551858,0.8000219840922362,1.2116460331255965,0.7000747228126597
146,1,0,0.04284755806096537,0.926778772241319,0.43251072014214,-815.3254453747068,404.6855907423461,-0.49116815440541695,20.037265321162934,972.4912524327657,-501.8868539601246,-0.9594518995261918,22.32222824816653,2.4640398048845182,0.8000140551422418,1.2330301345020103,0.7000228850554158
147,1,0,0.042705971062972664,0.9326154697565039,0.43727535229224807,-813.822539916285,412.1534822538574,-0.47648694356062804,20.001167400876604,968.0817789665068,-498.2099921667884,-0.9852493065035393,21.984864705987654,2.561398220774074,0.8000158931989978,1.2121701137235168,0.7000242451497336
148,1,0,0.04250061771502666,0.9441221456214777,0.43111969327253064,-816.7446565912257,403.03958628298597,-0.5019219310571268,20.00093292984664,963.4446294227325,-503.50360013431396,-0.9344640801529409,24.708793834456287,2.500277466021833,0.8000060367738908,1.2269022398345912,0.7000088726372005
149,1,0,0.04342507307597405,0.9491241958090337,0.42378913319484113,-816.0738772253234,401.4534898373522,-0.5044407861054644,20.00093292984664,963.5167398512135,-510.62383991473996,-0.9555448667170957,24.348378644099373,2.5217304795814126,0.8000090870245244,1.2159376619064393,0.7000471764882323
150,1,0,0.04327400272155473,0.9643771534112444,0.4223070690930826,-815.5132422315273,401.4534898373522,-0.514251897357253,20.00093292984664,963.2753080951134,-503.50360013431396,-0.9344640801529409,24.360581721368536,2.5217304795814126,0.8000090447931072,1.2269022398345912,0.7000471764882323
151,1,0,0.04392934963025738,0.9643771534112444,0.41685596756294957,-815.5132422315273,401.4534898373522,-0.514251897357253,20.00093292984664,963.2753080951134,-503.50360013431396,-0.9553145668596787,24.360581721368533,2.5217304795814126,0.8000090447931072,1.2269022398345912,0.7000471764882323
152,1,0,0.04540602577365003,0.9736813066285612,0.41109572751235923,-809.8103681636728,408.3707501058432,-0.5135871708637543,20.0029527622238,972.7107628778638,-506.5672151701166,-0.9804343396381647,22.662912502277816,2.3087425084927915,0.8000035011285744,1.2081018206493002,0.7000537878223421
