evaluations,elapsed_seconds,best_quality
18944,0.063487176,-0.10500081934759788
19200,0.064788467,-0.10500081934759788
19456,0.065821666,-0.10500081934759788
19712,0.066833154,-0.10500081934759788
19968,0.067852293,-0.10500081934759788
20224,0.068981063,-0.10500081934759788
20480,0.070458305,-0.10500081934759788
20736,0.071635616,-0.10500081934759788
20992,0.072724105,-0.10500081934759788
21248,0.073774334,-0.10500081934759788
21504,0.074808293,-0.10500081934759788
21760,0.075854242,-0.10500081934759788
22016,0.076880391,-0.10500081934759788
22272,0.078202262,-0.10500081934759788
22528,0.079295011,-0.10500081934759788
22784,0.080428111,-0.10500081934759788
23040,0.081555301,-0.10500081934759788
23296,0.082781461,-0.10500081934759788
23552,0.083929321,-0.10481200988956185
23808,0.085275623,-0.10481200988956185
24064,0.087654433,-0.10033442704416116
24320,0.088805163,-0.10033442704416116
24576,0.089963953,-0.09760463246872002
24832,0.091205474,-0.09760463246872002
25088,0.092433874,-0.09760463246872002
25344,0.093675075,-0.09760463246872002
25600,0.094863445,-0.09760463246872002
25856,0.096076145,-0.09311834467978004
26112,0.097277846,-0.09311834467978004
26368,0.098511516,-0.09311834467978004
26624,0.099789837,-0.09311834467978004
26880,0.101182479,-0.09311834467978004
27136,0.10245131,-0.09311834467978004
27392,0.103755481,-0.09311834467978004
27648,0.104955642,-0.09311834467978004
27904,0.106089412,-0.09311834467978004
28160,0.107386933,-0.09311834467978004
28416,0.108804095,-0.09311834467978004
28672,0.110021715,-0.09311834467978004
28928,0.111214386,-0.09311834467978004
29184,0.112500316,-0.09311834467978004
29440,0.113708617,-0.09311834467978004
29696,0.114993808,-0.0873739162333728
29952,0.116290099,-0.0873739162333728
30208,0.11754559,-0.0873739162333728
30464,0.118841011,-0.0873739162333728
30720,0.120171882,-0.0873739162333728
30976,0.121658105,-0.0873739162333728
31232,0.122884676,-0.0873739162333728
31488,0.124286408,-0.0873739162333728
31744,0.125520368,-0.0873739162333728
32000,0.126737649,-0.0873739162333728
32256,0.12799535,-0.0873739162333728
32512,0.129288031,-0.0873739162333728
32768,0.130564332,-0.08548220220189724
33024,0.131837813,-0.08548220220189724
33280,0.133201274,-0.08548220220189724
33536,0.134457645,-0.08548220220189724
33792,0.137055928,-0.08548220220189724
34048,0.138401479,-0.08548220220189724
34304,0.13964809,-0.08548220220189724
34560,0.14082351,-0.08548220220189724
34816,0.142076641,-0.08548220220189724
35072,0.143254831,-0.08548220220189724
35328,0.144423491,-0.08548220220189724
35584,0.145625361,-0.08317174909496737
35840,0.146860182,-0.08317174909496737
36096,0.148050302,-0.08317174909496737
36352,0.149429114,-0.08317174909496737
36608,0.150843066,-0.08317174909496737
36864,0.152094877,-0.08317174909496737
37120,0.153362467,-0.08317174909496737
37376,0.156420054,-0.08317174909496737
37632,0.157648324,-0.08317174909496737
37888,0.158913145,-0.08317174909496737
38144,0.160357178,-0.08317174909496737
38400,0.161708729,-0.08317174909496737
38656,0.1629258,-0.08317174909496737
38912,0.164224171,-0.08317174909496737
39168,0.165692103,-0.08317174909496737
39424,0.166900084,-0.08317174909496737
39680,0.168330936,-0.08317174909496737
39936,0.17000751,-0.08227302549411117
40192,0.171278971,-0.08227302549411117
40448,0.172492012,-0.08227302549411117
40704,0.173668152,-0.08227302549411117
40960,0.174880622,-0.08227302549411117
41216,0.176059492,-0.08227302549411117
41472,0.177272843,-0.08227302549411117
41728,0.178667615,-0.08086760118289085
41984,0.179925336,-0.08086760118289085
42240,0.181108876,-0.08086760118289085
42496,0.182348296,-0.08086760118289085
42752,0.183578367,-0.08086760118289085
43008,0.184775217,-0.08086760118289085
43264,0.186039738,-0.08086760118289085
43520,0.187295419,-0.07652822253204937
43776,0.18859422,-0.07652822253204937
44032,0.189805701,-0.07652822253204937
44288,0.191002941,-0.07652822253204937
44544,0.192182611,-0.07652822253204937
44800,0.193431742,-0.07652822253204937
45056,0.194582602,-0.07652822253204937
45312,0.195780012,-0.07652822253204937
45568,0.197218184,-0.07652822253204937
45824,0.198487845,-0.07652822253204937
46080,0.199742496,-0.07652822253204937
46336,0.200947456,-0.07652822253204937
46592,0.202135236,-0.07652822253204937
46848,0.203464738,-0.07652822253204937
47104,0.204636708,-0.07652822253204937
47360,0.205697007,-0.07652822253204937
47616,0.206763736,-0.07652822253204937
47872,0.207907096,-0.07652822253204937
48128,0.209096666,-0.07652822253204937
48384,0.210434348,-0.07652822253204937
48640,0.211601818,-0.07652822253204937
48896,0.212778708,-0.07652822253204937
49152,0.21424498,-0.07652822253204937
49408,0.215642382,-0.07652822253204937
49664,0.217049475,-0.07652822253204937
49920,0.218266275,-0.07652822253204937
50176,0.219633627,-0.07652822253204937
50432,0.22121386,-0.07652822253204937
50688,0.222454391,-0.07652822253204937
50944,0.223719502,-0.07652822253204937
51200,0.224912732,-0.07652822253204937
51456,0.226294944,-0.07652822253204937
51712,0.227539785,-0.07652822253204937
51968,0.228777995,-0.07652822253204937
52224,0.229995156,-0.07652822253204937
52480,0.231261717,-0.07652822253204937
52736,0.232534068,-0.07652822253204937
52992,0.233681537,-0.07652822253204937
53248,0.235364482,-0.07652822253204937
53504,0.23862668,-0.07652822253204937
53760,0.241586555,-0.07652822253204937
54016,0.242868066,-0.07652822253204937
54272,0.244040507,-0.07652822253204937
54528,0.24563226,-0.07652822253204937
54784,0.246654669,-0.07652822253204937
55040,0.247741848,-0.07652822253204937
55296,0.248730847,-0.07652822253204937
55552,0.249729655,-0.07652822253204937
55808,0.250768124,-0.07622912717481485
56064,0.251793623,-0.07622912717481485
56320,0.253060534,-0.07622912717481485
56576,0.254193424,-0.07622912717481485
56832,0.255286613,-0.07622912717481485
57088,0.256513633,-0.07622912717481485
57344,0.257700544,-0.07622912717481485
57600,0.258816293,-0.07622912717481485
57856,0.259928053,-0.0761642352781605
