experiment,scenario_mode,algorithm,seed,workers,popsize,evaluations,optimizer_rollouts,train_scenarios,validation_scenarios,horizon,train_best,validation_score,mean_loss,cvar_loss,success_rate,mean_steps,rms_force,wall_seconds
scaling,fixed,biteopt,42,24,64,20480,81920,4,128,300,0.994628963669,2.076462863537,1.298098140690,2.223899208134,0.000000000000,278.148438,7.173659029480,0.161829494
scaling,fixed,pgpe,43,24,64,20480,81920,4,128,300,0.152752776632,1.006322948913,0.575214202294,1.231739276054,0.492187500000,295.625000,6.687137461290,0.154931199
scaling,fixed,crfmnes,43,24,64,20480,81920,4,128,300,0.385410513905,1.061274784312,0.674503070862,1.105062038428,0.156250000000,295.523438,8.195663631448,0.186742843
scaling,fixed,cmaes,43,24,64,20480,81920,4,128,300,1.087174589329,1.343681931578,0.963457491850,1.086355542079,0.000000000000,300.000000,7.466906682864,0.451785366
scaling,fixed,biteopt,43,24,64,20480,81920,4,128,300,0.778901205435,2.837160470743,1.926715578888,2.601271119587,0.000000000000,221.281250,6.829767183139,0.159756101
scaling,fixed,pgpe,44,24,64,20480,81920,4,128,300,0.174315302373,0.253032193223,0.152485799430,0.287275410839,0.984375000000,298.437500,5.278118556270,0.153479004
scaling,fixed,crfmnes,44,24,64,20480,81920,4,128,300,0.554012654467,1.187756163532,0.801206936712,1.104426362342,0.023437500000,300.000000,8.386153895439,0.187903412
scaling,fixed,cmaes,44,24,64,20480,81920,4,128,300,1.161247947911,1.319183241732,0.936957711843,1.092072942539,0.000000000000,300.000000,6.155309146738,0.453352462
scaling,fixed,biteopt,44,24,64,20480,81920,4,128,300,0.932604981931,1.762581660782,1.193885898673,1.624845034597,0.000000000000,291.789062,7.334481564453,0.164868935
scaling,fixed,pgpe,45,24,64,20480,81920,4,128,300,0.316225088782,1.052189418173,0.705982712304,0.989162016767,0.171875000000,300.000000,7.445974556323,0.157354666
scaling,fixed,crfmnes,45,24,64,20480,81920,4,128,300,0.272900490059,1.028262212156,0.533875368615,1.412533838689,0.632812500000,291.773438,7.390768787068,0.184656319
scaling,fixed,cmaes,45,24,64,20480,81920,4,128,300,1.237496668178,1.367639787481,0.984418016472,1.094919345740,0.000000000000,299.234375,7.525815684975,0.448807065
scaling,fixed,biteopt,45,24,64,20480,81920,4,128,300,0.513697298387,1.264274446058,0.888187256062,1.074534828561,0.007812500000,299.828125,7.742726840131,0.162654661
scaling,fixed,pgpe,46,24,64,20480,81920,4,128,300,0.180510483302,1.107723086682,0.727734199490,1.085682534833,0.328125000000,300.000000,7.371354279925,0.153818157
scaling,fixed,crfmnes,46,24,64,20480,81920,4,128,300,0.158777368556,2.478507967879,1.331587568984,3.276915425414,0.531250000000,228.015625,6.598767056210,0.179852286
scaling,fixed,cmaes,46,24,64,20480,81920,4,128,300,0.994679143940,1.182242729598,0.827824455704,1.012623639697,0.039062500000,300.000000,6.552352846746,0.476231101
scaling,fixed,biteopt,46,24,64,20480,81920,4,128,300,1.019887888509,1.325394685914,0.960740539239,1.041868990498,0.000000000000,300.000000,7.289491717076,0.164141767
