experiment,scenario_mode,algorithm,seed,workers,evaluations,train_best,monitor_score
quality,fixed,biteopt,44,24,4160,0.943063341997,1.680752021051
quality,fixed,biteopt,44,24,6208,0.942901435597,1.679036345973
quality,fixed,biteopt,44,24,8256,0.942866299072,1.678650903836
quality,fixed,biteopt,44,24,10304,0.942848340618,1.676837393715
quality,fixed,biteopt,44,24,12352,0.942759263370,1.678900550054
quality,fixed,biteopt,44,24,14400,0.942520491348,1.679443536247
quality,fixed,biteopt,44,24,16448,0.933149885891,1.989607428868
quality,fixed,biteopt,44,24,18496,0.932957654221,1.992850289141
quality,fixed,biteopt,44,24,20480,0.932604981931,1.996344592926
quality,fixed,pgpe,45,24,64,1.569287143684,1.550232762537
quality,fixed,pgpe,45,24,2112,0.753203642723,1.143193090876
quality,fixed,pgpe,45,24,4160,0.673892848311,1.120136376915
quality,fixed,pgpe,45,24,6208,0.440345628721,1.119868607472
quality,fixed,pgpe,45,24,8256,0.435129212681,0.814671335402
quality,fixed,pgpe,45,24,10304,0.348708726602,0.815627965594
quality,fixed,pgpe,45,24,12352,0.346470558466,0.718239968328
quality,fixed,pgpe,45,24,14400,0.316225088782,1.093289902536
quality,fixed,pgpe,45,24,16448,0.316225088782,1.093289902536
quality,fixed,pgpe,45,24,18496,0.316225088782,1.093289902536
quality,fixed,pgpe,45,24,20480,0.316225088782,1.093289902536
quality,fixed,crfmnes,45,24,64,1.549756627896,1.556924633631
quality,fixed,crfmnes,45,24,2112,1.242778396530,1.417162124669
quality,fixed,crfmnes,45,24,4160,1.144453133751,1.271522998180
quality,fixed,crfmnes,45,24,6208,1.007884299530,1.251556982391
quality,fixed,crfmnes,45,24,8256,0.939148233821,1.176963297370
quality,fixed,crfmnes,45,24,10304,0.933032174608,1.210921092611
quality,fixed,crfmnes,45,24,12352,0.828036212801,1.123075720022
quality,fixed,crfmnes,45,24,14400,0.771150495089,1.196241119366
quality,fixed,crfmnes,45,24,16448,0.564986387259,0.920233276941
quality,fixed,crfmnes,45,24,18496,0.347791827120,1.355474771417
quality,fixed,crfmnes,45,24,20480,0.272900490059,0.950154460504
quality,fixed,cmaes,45,24,64,1.876159692001,1.904686822534
quality,fixed,cmaes,45,24,2112,1.255200279783,1.761305567484
quality,fixed,cmaes,45,24,4160,1.237496668178,1.331609304656
quality,fixed,cmaes,45,24,6208,1.237496668178,1.331609304656
quality,fixed,cmaes,45,24,8256,1.237496668178,1.331609304656
quality,fixed,cmaes,45,24,10304,1.237496668178,1.331609304656
quality,fixed,cmaes,45,24,12352,1.237496668178,1.331609304656
quality,fixed,cmaes,45,24,14400,1.237496668178,1.331609304656
quality,fixed,cmaes,45,24,16448,1.237496668178,1.331609304656
quality,fixed,cmaes,45,24,18496,1.237496668178,1.331609304656
quality,fixed,cmaes,45,24,20480,1.237496668178,1.331609304656
quality,fixed,biteopt,45,24,64,3.499487155657,2.961732395151
quality,fixed,biteopt,45,24,2112,0.641814266854,1.319392569529
quality,fixed,biteopt,45,24,4160,0.529642788518,1.331701316709
quality,fixed,biteopt,45,24,6208,0.518898755932,1.352248234765
quality,fixed,biteopt,45,24,8256,0.517848021512,1.330870154257
quality,fixed,biteopt,45,24,10304,0.517377609553,1.343404387863
quality,fixed,biteopt,45,24,12352,0.517023760257,1.326546045474
quality,fixed,biteopt,45,24,14400,0.514134033385,1.279685860681
quality,fixed,biteopt,45,24,16448,0.513997551379,1.319103883624
quality,fixed,biteopt,45,24,18496,0.513784290315,1.320845696953
quality,fixed,biteopt,45,24,20480,0.513697298387,1.245930888327
quality,fixed,pgpe,46,24,64,1.942798022126,1.936461041860
quality,fixed,pgpe,46,24,2112,0.874860573022,1.353264644539
quality,fixed,pgpe,46,24,4160,0.414730124654,0.969074971949
quality,fixed,pgpe,46,24,6208,0.221761190611,0.845690753187
quality,fixed,pgpe,46,24,8256,0.209557411208,0.568181455168
quality,fixed,pgpe,46,24,10304,0.188354210626,0.884959421143
quality,fixed,pgpe,46,24,12352,0.187783860361,1.013337935376
quality,fixed,pgpe,46,24,14400,0.183842440652,0.915108565229
quality,fixed,pgpe,46,24,16448,0.182512222141,0.992494497232
quality,fixed,pgpe,46,24,18496,0.181491548585,1.058808386621
quality,fixed,pgpe,46,24,20480,0.180510483302,1.036723692114
quality,fixed,crfmnes,46,24,64,1.945631198071,1.940686877640
quality,fixed,crfmnes,46,24,2112,1.058559180915,1.379142407088
quality,fixed,crfmnes,46,24,4160,1.058559180915,1.379142407088
quality,fixed,crfmnes,46,24,6208,0.888747995008,1.135184977964
quality,fixed,crfmnes,46,24,8256,0.888747995008,1.135184977964
quality,fixed,crfmnes,46,24,10304,0.701221210984,1.162888837480
quality,fixed,crfmnes,46,24,12352,0.275145650942,0.269600471921
quality,fixed,crfmnes,46,24,14400,0.182341283139,0.801631386988
quality,fixed,crfmnes,46,24,16448,0.174361326372,1.380029633572
quality,fixed,crfmnes,46,24,18496,0.168253453017,1.546759979817
quality,fixed,crfmnes,46,24,20480,0.158777368556,2.686444094695
quality,fixed,cmaes,46,24,64,1.942798022126,1.936461041860
quality,fixed,cmaes,46,24,2112,1.238840756485,1.506492919744
quality,fixed,cmaes,46,24,4160,1.124857177251,1.335925752197
quality,fixed,cmaes,46,24,6208,0.994679143940,1.171607311128
quality,fixed,cmaes,46,24,8256,0.994679143940,1.171607311128
quality,fixed,cmaes,46,24,10304,0.994679143940,1.171607311128
quality,fixed,cmaes,46,24,12352,0.994679143940,1.171607311128
quality,fixed,cmaes,46,24,14400,0.994679143940,1.171607311128
quality,fixed,cmaes,46,24,16448,0.994679143940,1.171607311128
quality,fixed,cmaes,46,24,18496,0.994679143940,1.171607311128
quality,fixed,cmaes,46,24,20480,0.994679143940,1.171607311128
quality,fixed,biteopt,46,24,64,2.422375748186,1.839638360387
quality,fixed,biteopt,46,24,2112,1.343873428040,1.456996593803
quality,fixed,biteopt,46,24,4160,1.140866072083,1.346399841780
quality,fixed,biteopt,46,24,6208,1.031068505717,1.323344685806
quality,fixed,biteopt,46,24,8256,1.023205516772,1.323878094803
quality,fixed,biteopt,46,24,10304,1.023092052482,1.318781584181
quality,fixed,biteopt,46,24,12352,1.022902586137,1.318863016892
quality,fixed,biteopt,46,24,14400,1.022803776198,1.312180065869
quality,fixed,biteopt,46,24,16448,1.020063318068,1.309277761118
quality,fixed,biteopt,46,24,18496,1.019974927173,1.308460824895
quality,fixed,biteopt,46,24,20480,1.019887888509,1.313566454935
noise,rotating,pgpe,42,24,64,1.547649873889,2.442203811675
noise,rotating,pgpe,42,24,2112,1.063139885869,1.363936185828
noise,rotating,pgpe,42,24,4160,0.959663019777,1.135424410568
noise,rotating,pgpe,42,24,6208,0.701745574586,1.127424044894
noise,rotating,pgpe,42,24,8256,0.186043637767,0.350148842674
noise,rotating,pgpe,42,24,10304,0.173596322469,0.337859425554
noise,rotating,pgpe,42,24,12352,0.173596322469,0.337859425554
noise,rotating,pgpe,42,24,14400,0.173596322469,0.337859425554
