coordinate,convex_total_cost,tiered_total_cost,ratio_lcoe,delivered_lcoe,delivered_grid_tier,delivered_inclusions
0.66,575175.0590104077,580018.2852237253,0.06253617556110465,0.052298659868221097,3,2
0.67,573516.126412558,578160.9952382966,0.06235580734353684,0.05290545962533979,4,2
0.68,571860.1262404001,576306.6376785635,0.062175757955315,0.05304206837569584,4,2
0.69,570233.5456407388,574481.6996913259,0.06199890722378342,0.05321053874260625,4,2
0.7,568646.7123769384,572696.509039951,0.061826378039812974,0.05345414918986964,4,2
0.71,567276.2105327649,571127.6498082017,0.061677369589965524,0.05373332522315689,4,2
0.72,566865.5860029174,570518.667890778,0.06163272424715038,0.05404837697818115,4,2
0.73,566470.7816984451,569925.5061987292,0.061589798965690445,0.05438585012895739,4,2
0.74,566081.2184608262,569337.5855735345,0.061547443521659535,0.05474652204957265,4,2
0.75,565816.9392194169,568874.9489445488,0.06151870963833302,0.05514175517583069,4,2
0.76,565569.124990901,568428.7773284564,0.06149176592118424,0.05559004598934551,4,2
0.77,565338.1930776178,567999.4880275968,0.061466657741603946,0.05609539171137962,4,2
0.78,565288.1496246656,567751.087187068,0.06146121674392772,0.056677812108499856,4,2
0.79,565259.2071153224,567523.7872901493,0.06145806995615047,0.05729627172507783,4,2
0.8,565384.2675212846,567450.4903085362,0.06147166720690132,0.057947917390462574,4,2
0.81,565550.7138901742,567418.5792898512,0.061489764165702517,0.05864191837762267,4,2
0.82,565720.8518313937,567390.359843492,0.06150826249242067,0.059406867472148475,4,2
0.83,565904.5903863432,567363.2750177545,0.061528239552186496,0.060210748059846185,4,2
0.84,566096.2565581128,567369.0497950595,0.06154907854577487,0.06210937548845052,5,2
0.85,566289.023143332,577644.0251593573,0.061570037182326884,0.0629898638072237,5,2
0.86,566483.127956799,577621.4812193859,0.06159114131836698,0.06391347504469079,5,2
0.87,566679.2133150211,577601.4442451098,0.0616124607900559,0.06488167657359774,5,2
0.88,567088.8653854812,577794.973983071,0.06165700040177226,0.06589626147472347,5,2
0.89,567648.1517252347,578139.2367822073,0.061717809068949046,0.06695899077827118,5,2
0.9,568208.8645398762,578484.9600231571,0.06177877283027088,0.06807190225125667,5,2
0.91,568927.6968712525,578988.802780838,0.06185692820952409,0.06923724012091079,5,2
0.92,569647.0283352819,579493.1446711781,0.061935137857206946,0.07046839456372185,5,2
0.93,570367.5026763985,579998.6294386035,0.062013471764732174,0.07177952666766445,5,2
0.94,571089.5792008479,580505.791568066,0.062091979870384756,0.07315005430933565,5,2
0.95,571812.7184086519,581015.0746240786,0.062170603516778875,0.07458201985843485,5,2
0.96,572536.389037866,581524.889101509,0.06224928494221275,0.07607849176205168,5,2
0.97,573303.6193112449,582078.970202322,0.062332702410199566,0.07764105173998616,5,2
0.98,574085.3265309304,582647.8954626226,0.062417693890900655,0.07927223860920198,5,2
0.99,574867.384423668,583217.1713959775,0.06250272349869229,0.08097471835722832,5,2
1,575731.6787092217,583869.0921931573,0.06259669429650616,0.08275110732545783,5,2
