niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_centroid_x_train,descriptor_centroid_y_train,descriptor_centroid_x_validation,descriptor_centroid_y_validation,visit_count,decision_source_1_x_m,decision_source_1_y_m,decision_source_1_log10_emission_g_s,decision_source_1_height_m,decision_source_2_x_m,decision_source_2_y_m,decision_source_2_log10_emission_g_s,decision_source_2_height_m,decision_wind_direction_bias_deg,decision_wind_speed_scale,decision_lateral_dispersion_scale,decision_vertical_dispersion_scale
1,1,0,1.668188644856533,2.03215159485158,-1091.5817843052246,-1673.0136973304943,-1091.5817843052246,-1673.0136973304943,9,-1095.9530226119355,-1800,0.4327454455257137,66.02680248658179,-1037.8403036191637,-111.80118648883592,-0.6569596988655784,54.19061937278426,-6.31051718802751,0.8050971254424805,1.21215552021717,1.161554284228141
30,0,3,1.6691632093017745,1.7184543390305553,-1443.1902165183726,-695.6653644562416,-1443.1902165183726,-695.6653644562416,8,-1734.7951897097996,-1239.8982010576874,0.24710133663132114,65.33432971408557,-857.3689123440238,397.67397959900967,-0.05586889829466882,72.33929127322631,-2.6913842851269507,0.9215741780952754,0.9997316791862884,1.0415602631907759
11,1,1,1.678281082909159,1.819240217279474,-1113.205024237441,-1202.7602198732397,-1113.205024237441,-1202.7602198732397,15,-1130.1862874246951,-1297.170716526208,0.4214091316226623,64.6141320122501,-909.1405853202389,-68.22595025289166,-0.6583882047737695,46.95097975139165,-6.7141320167064995,0.8,1.1211378356583026,1.1253849957316095
32,2,3,1.6812784737742221,1.7312585009128363,-921.5426196525051,-577.8259142526945,-921.5426196525051,-577.8259142526945,11,-944.5739420799342,-129.0196743940409,-0.87642120498672,64.54282104677509,-920.2766694577091,-602.4952031554494,0.3834810503578032,64.79147231153817,-5.807937142728325,0.8053103337830736,1.0434180530035106,1.1212699883082835
23,3,2,1.6843331758173377,1.6793141735951236,-415.1973534502295,-789.1738777371708,-415.1973534502295,-789.1738777371708,4,-1144.4111977092327,-215.7168704760598,-0.8839288348824292,62.13789000586985,-353.01600731668145,-838.07356462867,0.18526595070166735,66.32698794229063,-9.555348629055796,0.8614913819329807,0.8916760038254913,1.0987080485251923
87,7,8,1.686941830704367,1.820894454347257,778.2371518462795,1198.1931916286665,778.2371518462795,1198.1931916286665,18,-330.5358098001466,661.5341348060674,-0.4579816660860696,45.82605956554841,898.4433364646115,1256.3743882243396,0.5069341479483164,94.67375045165345,10.433754518567088,1.0565837053123697,0.7277038259733221,0.8582210415458751
77,7,7,1.6940302896360946,1.3898508438920738,742.3993638061853,967.2212037554175,742.3993638061853,967.2212037554175,11,-769.1930013954675,649.1770231521235,-0.47890519509022145,49.386602337948375,893.2384718193807,998.9582656878445,0.5220155390705339,91.40010632120605,6.624082064539607,1.0915430436827402,0.7468904009798119,0.8211805577890776
74,4,7,1.6964996186056236,1.9532593402164213,-108.85984006441758,771.0611080404196,-108.85984006441758,771.0611080404196,5,-422.0382149211272,1391.125696350318,-0.45157552835853065,71.2998069672384,814.9604510733815,-1058.0187214937223,-0.9213712592393825,51.62376565671414,-5.997504640644339,0.9686717693208029,1.0524402193042093,1.2176348324934616
78,8,7,1.7046624735345304,1.7873450873638537,1284.143144947997,1043.9390228056254,1284.143144947997,1043.9390228056254,16,-319.1778007837764,648.3560259562107,-0.2350916338383231,40.295172579041264,1526.2864965448252,1103.6823904369367,0.5858562830263352,104.76831046138773,8.595446185580743,1.1225406523166712,0.7,0.7886518768371286
71,1,7,1.7066511390171613,1.6034271021699311,-1107.120359256761,729.5849022311428,-1107.120359256761,729.5849022311428,6,-1537.8529444629062,-19.361111187616157,-0.4376570370946471,53.90219690749164,-837.6015023282151,1198.2169035486404,-0.23403846548967336,90.34653441731291,0.7015872575759152,1.1387119101996421,1.2196923491814764,1.273781071598627
