proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
34,101100011,5,16,other,,1.673667050921,3.072342886807,1.398675835886,25.646607428894,42.921196969260,36.500000000000,34.533333333333,1.000000000000,0.000000000000,192000,192000,158.294408802
35,010222200,5,16,toggle-core,,1.533328234603,3.000457500740,1.467129266137,24.213668014308,36.806952497208,18.666666666667,18.466666666667,1.000000000000,0.000000000000,192000,192000,107.712267306
36,002200200,3,12,other,,1.433789650924,2.910797070700,1.477007419776,23.499947014069,31.604312969373,24.333333333333,21.666666666667,1.000000000000,0.000000000000,192000,192000,32.238430214
37,000000110,2,10,other,,1.577535487957,3.152246133446,1.574710645490,23.935887016900,45.491778827322,27.000000000000,29.466666666667,1.000000000000,0.000000000000,192000,192000,41.648126925
38,020022021,5,16,mixed-cycle+toggle-core,,1.586328032774,3.336603901630,1.750275868856,28.834944682718,38.658062286379,71.666666666667,52.133333333333,1.000000000000,0.000000000000,192000,192000,89.720234173
39,200000101,3,12,other,,1.696159431968,2.979252347885,1.283092915917,25.193258846393,38.489699892149,24.333333333333,24.066666666667,1.000000000000,0.000000000000,192000,192000,50.249694077
40,102000101,4,14,other,,1.816538357567,3.206324314471,1.389785956904,23.512489878489,36.802015085509,13.500000000000,13.333333333333,1.000000000000,0.000000000000,192000,192000,98.527512541
41,122021010,6,18,other,,1.614395735857,3.127528266581,1.513132530724,23.426712928470,35.664479226314,27.166666666667,22.933333333333,1.000000000000,0.000000000000,192000,192000,115.152489771
42,002120010,4,14,other,,1.352811488682,2.997333378583,1.644521889901,24.063844171671,35.726396650742,26.000000000000,21.466666666667,1.000000000000,0.000000000000,192000,192000,77.229431770
43,102200000,3,12,other,,1.573974436493,2.973644802831,1.399670366338,25.357973608597,36.338433050428,19.000000000000,18.266666666667,1.000000000000,0.000000000000,192000,192000,40.276818978
44,100110202,5,16,toggle-core,,1.391935829626,3.206848577768,1.814912748142,24.738357819012,48.019607253430,36.333333333333,35.266666666667,1.000000000000,0.000000000000,192000,192000,133.942893679
45,000001100,2,10,other,,1.488206254668,2.911473119024,1.423266864356,24.264924063680,35.314357168353,40.500000000000,37.333333333333,1.000000000000,0.000000000000,192000,192000,36.682576074
47,010020110,4,14,other,,1.568102807605,2.898303557176,1.330200749571,25.943635939623,34.822672746581,15.833333333333,14.133333333333,1.000000000000,0.000000000000,192000,192000,86.589742531
48,120100001,4,14,other,,1.731817626337,2.928229529943,1.196411903606,26.608640280344,40.913179032943,19.833333333333,20.266666666667,1.000000000000,0.000000000000,192000,192000,80.445397217
49,011001022,5,16,other,,1.525987758636,3.377735689349,1.851747930713,28.906126527855,49.011105974167,54.166666666667,47.400000000000,1.000000000000,0.000000000000,192000,192000,124.039289729
50,010211020,5,16,other,,1.065520867869,3.098807151848,2.033286283979,26.609894818055,44.813256612085,43.833333333333,40.933333333333,1.000000000000,0.000000000000,192000,192000,73.083362980
51,221000201,5,16,other,,1.487977082082,2.320793169175,0.832816087093,24.307565872897,29.361829410749,16.333333333333,14.200000000000,1.000000000000,0.000000000000,192000,192000,65.400635864
52,220010211,6,18,other,,0.987990415355,1.854995484795,0.867005069441,25.210396244811,24.636064644918,21.833333333333,18.466666666667,1.000000000000,0.000000000000,192000,192000,75.204622665
