seed,sample,peak_deg,hpbw_deg,holdout_peak_deg,holdout_hpbw_deg,taper_efficiency,holdout_taper_efficiency,active_count,worst_psll_db,holdout_worst_psll_db
42,86,28.878929067556317,10.118115418115124,29.116086159527203,10.127197699609354,0.7683674016873254,0.7683674016873254,16,-10.436721530094342,-10.781433598958028
42,89,38.653610983631154,10.04268104029417,38.86769704419762,10.086968714155411,0.8757203398157639,0.8757203398157639,16,-10.887272581580953,-11.769865390235735
42,92,50.10051679220347,11.35396121193024,50.31737990592601,11.43270927686195,0.9409486734799605,0.9409486734799605,16,-10.675451907363488,-10.675490183106088
42,97,-35.67772548831112,9.634802229056167,-35.49952570803409,9.60739144624748,0.8741804133295137,0.8741804133295137,16,-11.201725121923456,-11.65620457311465
42,99,-30.88941216465797,10.991868842779496,-30.58997584167196,10.969881553824923,0.7247835197605402,0.7247835197605398,15,-10.225504606705567,-10.473996285781011
42,102,-18.482328722161512,8.712051210673081,-18.29224584255245,8.724788895878904,0.8271285312025494,0.8271285312025494,16,-11.416869960850185,-11.74183928493266
42,107,-2.6808696605306035,9.100857654474908,-2.471153020969386,9.089136478564091,0.7424766086219551,0.7424766086219553,16,-10.27837447961232,-10.626037892630407
42,113,17.026524370648815,7.938071023901722,17.189333004339204,7.910810186961264,0.8987104247074541,0.898710424707454,16,-10.920937382264693,-10.92089434623313
42,116,26.5083395496791,8.175294907235546,26.666095785236433,8.198757220760388,0.9320631097156576,0.9320631097156575,16,-10.547434572900203,-10.547481798957342
42,118,33.46097406076927,10.005594467701815,33.66646784591712,10.027100654990605,0.8201378671847837,0.8201378671847837,16,-10.926721096910342,-11.431015623769154
42,121,42.04642181661491,10.793679758972836,42.250300889106406,10.819357566757468,0.8548613818193364,0.8548613818193362,16,-11.473476889393472,-11.473502667970052
42,124,-49.244780490109044,11.363087368820025,-49.01116227971353,11.296981388851911,0.9266608786185451,0.9266608786185451,16,-10.81563611545062,-10.81563611545062
42,131,-28.286113785762026,10.243500820087405,-28.04328888059453,10.19616733930938,0.7510384199799321,0.751038419979932,16,-10.112487598655541,-11.011929010251485
42,134,-16.818392146107247,8.768232052832602,-16.632893543400613,8.73809820567415,0.813669282055154,0.8136692820551538,16,-10.939142853360057,-10.973494119326006
42,137,-5.590399144890934,7.557316763004404,-5.449971509493964,7.548236106144094,0.9077100536305485,0.9077100536305485,16,-10.531955419716223,-10.531972136273339
42,139,0.52101554996145,9.037776365808394,0.7432236730605316,9.078946231486887,0.7487234935973566,0.7487234935973563,16,-10.378777969677937,-10.732934523403479
42,142,10.195876908325474,8.962875372297017,10.400470047981562,8.979300981224581,0.7713292586904882,0.7713292586904882,16,-10.72188524066605,-11.52680970445276
