niche_id,grid_x,grid_y,selected,quality_robustness_db,descriptor_log10_f0,descriptor_peak_gain_db,visit_count,r1_index,r2_index,r3_index,c1_index,c2_index,r1_ohm,r2_ohm,r3_ohm,c1_f,c2_f
146,6,7,0,0.07644934735730513,3.397239848084143,-23.482482224742228,26,35,2,26,42,45,82000,150,15000,0.000000033000000000000004,0.000000056000000000000005
147,7,7,0,0.09101215396814627,3.694632118643218,-20.635710273999614,16,33,5,26,37,40,56000,270,15000,0.000000012000000000000002,0.000000022000000000000002
148,8,7,0,0.1553170100271357,3.9947843908791856,-21.789133964872324,12,20,4,13,40,44,4700,220,1200,0.000000022000000000000002,0.000000047000000000000004
149,9,7,0,0.1854302648009374,4.0413935917869495,-23.35057918029012,13,36,22,22,53,3,100000,6800,6800,0.00000027,0.000000000018
150,10,7,0,0.12725384315055013,4.462145059338562,-22.770648718378858,17,33,5,34,18,32,56000,270,68000,0.00000000033,0.0000000047
151,11,7,0,0.12886790081106075,4.582798393415131,-21.77763840972185,13,36,5,32,22,28,100000,270,47000,0.0000000006799999999999999,0.0000000022000000000000003
152,12,7,0,0.13117786130577772,4.762067066399482,-20.59170137359596,13,27,5,31,15,31,18000,270,39000,0.00000000018,0.0000000039
153,13,7,0,0.08937769446212628,5.043214646342583,-21.36796183044685,20,35,1,24,28,23,82000,120,10000,0.0000000022000000000000003,0.00000000082
154,14,7,0,0.12109209755210885,5.199576920226498,-20.68375898652186,15,21,0,16,25,31,5600,100,2200,0.0000000012,0.0000000039
155,15,7,0,0.17946120224830744,5.409205076340651,-24.34896407487899,18,17,9,3,34,22,2700,560,180,0.0000000068000000000000005,0.0000000006799999999999999
156,16,7,0,0.15435372683597834,5.8159331745036,-22.66779485132141,14,18,0,18,13,26,3300,100,3300,0.00000000012,0.0000000015
157,17,7,0,0.18246480555424074,6.03582109573031,-24.932210288932392,7,22,0,7,34,11,6800,100,390,0.0000000068000000000000005,0.000000000082
158,18,7,0,0.16700360273767004,6.238601993402549,-21.918932783906772,6,22,6,12,15,14,6800,330,1000,0.00000000018,0.00000000015
159,19,7,0,0.1822712461914552,6.376258119098349,-23.065680649980976,1,18,7,7,16,14,3300,390,390,0.00000000022,0.00000000015
160,0,8,0,0.10900039845458005,2.0430346936098,-15.622460943085729,7,31,12,36,43,57,39000,1000,100000,0.000000039000000000000005,0.00000056
161,1,8,0,0.1411760561117125,2.329294980369691,-17.108771040867456,4,30,6,36,42,57,33000,330,100000,0.000000033000000000000004,0.00000056
162,2,8,0,0.1375338345517259,2.657897255960859,-17.792770681217696,15,36,13,27,49,44,100000,1200,18000,0.00000012000000000000002,0.000000047000000000000004
163,3,8,0,0.12062263698652917,2.78821163470319,-17.867781979299455,22,36,12,28,46,44,100000,1000,22000,0.000000068,0.000000047000000000000004
164,4,8,0,0.09873752747237918,2.9430925324198083,-19.936953566770725,17,33,8,29,41,48,56000,470,27000,0.000000027,0.0000001
165,5,8,0,0.11254467468329038,3.258151484215323,-19.89169155230008,14,32,6,26,41,45,47000,330,15000,0.000000027,0.000000056000000000000005
166,6,8,0,0.07384467742780244,3.3988819867787092,-19.638096222387418,17,33,2,27,41,45,56000,150,18000,0.000000027,0.000000056000000000000005
167,7,8,0,0.14234827497832606,3.687434791880004,-19.594883776496708,14,36,18,30,28,32,100000,3300,33000,0.0000000022000000000000003,0.0000000047
168,8,8,0,0.14584896789845367,3.9957437617565006,-18.840154998761733,11,20,6,27,25,43,4700,330,18000,0.0000000012,0.000000039000000000000005
169,9,8,0,0.17751644844058723,4.070258822407932,-16.480964678982154,13,25,7,15,60,17,12000,390,1800,0.000001,0.00000000027
170,10,8,0,0.10152985238602316,4.45093434243574,-17.39711794257869,16,36,11,29,25,25,100000,820,27000,0.0000000012,0.0000000012
171,11,8,0,0.08177545629189552,4.600217016754108,-16.178597689049347,18,30,5,35,16,30,33000,270,82000,0.00000000022,0.0000000033
172,12,8,0,0.10531315862754757,4.7580726975292205,-16.10264360737295,10,36,4,29,26,23,100000,220,27000,0.0000000015,0.00000000082
173,13,8,0,0.11238914876183415,5.036143581902716,-16.46947032689283,15,36,6,33,17,20,100000,330,56000,0.00000000027,0.0000000004699999999999999
