accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
43,3-2-5-10,3-2-5-10|001,L4-I2-TJ-R1-F9y,Agent,true,-1033247.4251274925,1033247.4251274925,1775638.8080781274,3.4348319949561215,13.29127550106537,14.226107496021491,3313.6092748528545,3520000,1884674,602.33092144
44,3-2-2-3-3-5-10,3-2-2-3-3-5-10|000001,L7-I5-TJ-R1-F16y,Agent,true,-1252852.4715401805,1252852.4715401805,1767197.4234209054,3.4490335869237243,8.435492035172665,9.384525622096389,6183.618002792389,3520000,1817454,1285.727487456
45,3-2-2-3-2-5-10,3-2-2-3-2-5-10|000001,L7-I5-TJ-R1-F12y,Agent,true,-1140208.7184289682,1140208.7184289682,1746329.711023644,4.21428226562713,9.688769642265868,11.403051907892998,4697.7597996819095,3520000,1785274,1258.67787632
46,3-2-3-2-2-3-5-5-10,3-2-3-2-2-3-5-5-10|00000001,L9-I6-TJJ-R1-F19y,Agent,true,-578936.6422243852,578936.6422243852,1750642.8141962206,2.57117579581134,28.009073216211057,28.080249012022396,7083.864943126284,3520000,1855210,2112.280013936
47,3-2-3-2-3-3-5-10,3-2-3-2-3-3-5-10|0000001,L8-I6-TJ-R1-F17y,Agent,true,-1330185.1396590923,1330185.1396590923,1767156.2517446892,2.8363812131709625,7.579144903515376,7.915526116686339,6545.182289573631,3520000,1854961,1679.664277728
48,3-2-2-2-5-3-5-10,3-2-2-2-5-3-5-10|0000001,L8-I5-TJJ-R1-F24y,Agent,true,-964714.4871155061,964714.4871155061,1787046.2878033945,4.158536824393408,14.407142785872807,16.065679610266216,8924.04560402003,3520000,1888623,2448.472837136
49,3-2-3-2-2-3-3-5-2-10,3-2-3-2-2-3-3-5-2-10|000000000,L10-I8-TJ-R0-F18y,Agent,true,-801929.997246146,801929.997246146,901372.8704936778,3.2529767132470995,3.064453634115494,3.8174303473625937,6651.172489128668,3520000,2049338,2261.492628176
50,3-2-3-3-5-2-10,3-2-3-3-5-2-10|000000,L7-I5-TJ-R0-F16y,Agent,true,-849612.8296741102,849612.8296741102,917772.2311528975,4.170297180315757,1.1731072816165264,2.843404461932283,6021.424035413185,3520000,1914388,1911.696870688
51,3-2-2-3-3-5-3-10,3-2-2-3-3-5-3-10|0000000,L8-I6-TJ-R0-F16y,Agent,true,-812698.3091406304,812698.3091406304,913939.1744167856,3.6851964324927224,2.644648382394444,3.8298448148871667,6004.423658352188,3520000,1853478,1799.166993872
52,3-3-3-3-2-3-5-10,3-3-3-3-2-3-5-10|0000001,L8-I6-TJ-R1-F17y,Agent,true,-1139194.2108275895,1139194.2108275895,1768642.3406871571,2.500000455286318,11.736136469881359,11.736136925167678,6448.830688104256,3520000,1952541,1743.689386832
53,3-2-6-2-3-3-5-10,3-2-6-2-3-3-5-10|0000001,L8-I5-TSJ-R1-F21y,Agent,true,-922809.2469492524,922809.2469492524,1721699.6035214004,5.061140602208235,13.680015492774626,16.241156094982863,7981.1251676259835,3520000,1711872,2559.116933232
