station,satellite,open_seconds,close_seconds,duration_seconds,accepted
Svalbard,SAT-1,26013.046875,26150.156250,137.109375,false
Fairbanks,SAT-1,26566.640625,26755.078125,188.437500,true
Troll,SAT-3,26588.437500,26972.109375,383.671875,true
Svalbard,SAT-2,28442.109375,28880.156250,438.046875,true
Troll,SAT-1,29168.437500,29550.234375,381.796875,true
Cordoba,SAT-4,29489.062500,29730.468750,241.406250,true
Fairbanks,SAT-3,29641.875000,30067.265625,425.390625,true
Svalbard,SAT-4,31303.125000,31740.703125,437.578125,true
Svalbard,SAT-1,31543.125000,31890.000000,346.875000,true
Troll,SAT-3,32307.421875,32730.468750,423.046875,true
Svalbard,SAT-2,34147.500000,34584.375000,436.875000,true
Cordoba,SAT-4,35136.562500,35471.718750,335.156250,true
Fairbanks,SAT-3,35350.312500,35746.640625,396.328125,true
Svalbard,SAT-4,37012.265625,37449.843750,437.578125,true
Svalbard,SAT-1,37171.875000,37589.531250,417.656250,true
Troll,SAT-3,38012.109375,38442.421875,430.312500,true
Singapore,SAT-4,38437.968750,38812.968750,375.000000,true
Hartebeesthoek,SAT-3,38790.468750,39180.000000,389.531250,true
Svalbard,SAT-2,39846.562500,40260.937500,414.375000,true
Svalbard,SAT-3,40488.046875,40728.281250,240.234375,true
Svalbard,SAT-4,42719.765625,43158.046875,438.281250,true
Svalbard,SAT-1,42851.718750,43288.125000,436.406250,true
Troll,SAT-3,43730.156250,44060.859375,330.703125,true
Fairbanks,SAT-2,44960.625000,45319.218750,358.593750,true
Svalbard,SAT-2,45548.203125,45884.296875,336.093750,true
Svalbard,SAT-3,46063.593750,46442.343750,378.750000,true
Cordoba,SAT-1,46652.578125,47076.562500,423.984375,true
Hartebeesthoek,SAT-2,47161.406250,47573.671875,412.265625,true
Svalbard,SAT-4,48420.000000,48845.859375,425.859375,true
Svalbard,SAT-1,48556.875000,48993.984375,437.109375,true
Singapore,SAT-1,49975.781250,50390.156250,414.375000,true
Fairbanks,SAT-2,50608.828125,51040.078125,431.250000,true
Svalbard,SAT-2,51309.375000,51388.593750,79.218750,false
Svalbard,SAT-3,51712.265625,52140.000000,427.734375,true
Troll,SAT-2,53521.640625,53899.687500,378.046875,true
Fairbanks,SAT-4,53592.187500,53866.171875,273.984375,true
Svalbard,SAT-4,54118.359375,54488.906250,370.546875,true
Svalbard,SAT-1,54266.484375,54704.531250,438.046875,true
Cordoba,SAT-3,55657.500000,55756.406250,98.906250,false
Hartebeesthoek,SAT-4,55731.562500,56156.484375,424.921875,true
Fairbanks,SAT-2,56402.812500,56724.609375,321.796875,true
Svalbard,SAT-3,57403.125000,57840.703125,437.578125,true
Troll,SAT-2,59172.890625,59610.937500,438.046875,true
Fairbanks,SAT-4,59179.687500,59612.578125,432.890625,true
Svalbard,SAT-4,59838.984375,60052.265625,213.281250,true
Svalbard,SAT-1,59969.296875,60404.296875,435.000000,true
Cordoba,SAT-3,61220.390625,61596.328125,375.937500,true
Troll,SAT-4,62132.343750,62463.515625,331.171875,true
Fairbanks,SAT-2,62331.562500,62363.437500,31.875000,false
Svalbard,SAT-3,63112.031250,63548.906250,436.875000,true
Singapore,SAT-3,64524.140625,64931.250000,407.109375,true
Troll,SAT-2,64903.359375,65318.671875,415.312500,true
Fairbanks,SAT-4,64935.234375,65303.671875,368.437500,true
Svalbard,SAT-1,65666.718750,66070.312500,403.593750,true
Hartebeesthoek,SAT-1,67387.031250,67628.671875,241.640625,true
Troll,SAT-4,67750.078125,68182.500000,432.421875,true
Svalbard,SAT-3,68819.765625,69258.046875,438.281250,true
Cordoba,SAT-2,69808.125000,70231.171875,423.046875,true
Troll,SAT-2,70665.234375,71046.328125,381.093750,true
Fairbanks,SAT-1,70750.078125,71154.609375,404.531250,true
Fairbanks,SAT-4,70815.000000,70968.046875,153.046875,false
Svalbard,SAT-1,71370.468750,71676.093750,305.625000,true
Singapore,SAT-2,72199.453125,72478.593750,279.140625,true
Hartebeesthoek,SAT-1,73038.046875,73343.671875,305.625000,true
Troll,SAT-4,73461.796875,73887.890625,426.093750,true
Troll,SAT-1,73766.718750,73981.875000,215.156250,true
Fairbanks,SAT-2,73778.437500,74092.968750,314.531250,true
Svalbard,SAT-3,74520.234375,74949.609375,429.375000,true
Troll,SAT-2,76411.406250,76802.578125,391.171875,true
Fairbanks,SAT-1,76444.218750,76859.062500,414.843750,true
Cordoba,SAT-4,78385.312500,78806.953125,421.640625,true
Troll,SAT-4,79220.156250,79606.875000,386.718750,true
Troll,SAT-1,79319.296875,79728.281250,408.984375,true
Fairbanks,SAT-2,79461.796875,79894.453125,432.656250,true
Fairbanks,SAT-3,79718.203125,79954.218750,236.015625,true
Svalbard,SAT-3,80217.421875,80598.984375,381.562500,true
Singapore,SAT-4,80712.656250,81121.875000,409.218750,true
Hartebeesthoek,SAT-3,81842.578125,82251.328125,408.750000,true
Troll,SAT-2,82128.750000,82557.187500,428.437500,true
Fairbanks,SAT-1,82274.062500,82534.453125,260.390625,true
Fairbanks,SAT-4,82363.125000,82609.921875,246.796875,true
Hartebeesthoek,SAT-2,83081.953125,83133.984375,52.031250,false
Troll,SAT-4,84974.765625,85355.625000,380.859375,true
Troll,SAT-1,84997.265625,85433.906250,436.640625,true
Fairbanks,SAT-2,85178.671875,85553.203125,374.531250,true
Fairbanks,SAT-3,85282.265625,85712.343750,430.078125,true
Svalbard,SAT-3,85931.015625,86175.468750,244.453125,true
