active_index,member_index,node_a,node_b,x_a_m,y_a_m,x_b_m,y_b_m,length_m,section_index,section_name,axial_force_n,utilization
19,36,7,8,4.51390740963532977,2.11142886207979696,4.79999999999999982,4.00000000000000000,1.91011777470573207,11,CHS219.1x8.0,-0.00000000025296329,0.00000000000000022
20,37,7,9,4.51390740963532977,2.11142886207979696,6.84277248860044018,-0.19820365422703184,3.27994129770716869,8,CHS139.7x5.0,-0.00000000011750084,0.00000000000000026
21,42,8,10,4.79999999999999982,4.00000000000000000,7.13208540021431059,1.82684105236943650,3.18767032887021085,8,CHS139.7x5.0,-38056.18411579287203494,0.08365642605954594
22,45,9,10,6.84277248860044018,-0.19820365422703184,7.13208540021431059,1.82684105236943650,2.04560700637753756,9,CHS168.3x6.3,-0.00000000096355513,0.00000000000000140
23,52,10,12,7.13208540021431059,1.82684105236943650,9.54425226531131976,-0.08251715500389817,3.07639362714458997,9,CHS168.3x6.3,-41303.57069055236206623,0.05991612268886007
24,53,10,13,7.13208540021431059,1.82684105236943650,9.30787614970623345,2.25849935221440123,2.21819617558945170,6,CHS101.6x4.0,5607.11005598229530733,0.02126380294199999
25,56,11,12,7.19999999999999929,4.00000000000000000,9.54425226531131976,-0.08251715500389817,4.70770273109065140,9,CHS168.3x6.3,-202046.35761980648385361,0.29309413567855697
26,58,11,14,7.19999999999999929,4.00000000000000000,9.51727900360031676,3.99161279642273126,2.31729418195246106,7,CHS114.3x4.5,-109389.03211808358901180,0.32777105061363393
27,60,12,13,9.54425226531131976,-0.08251715500389817,9.30787614970623345,2.25849935221440123,2.35291987859704133,9,CHS168.3x6.3,24325.82899222535706940,0.03528773251412352
28,61,12,14,9.54425226531131976,-0.08251715500389817,9.51727900360031676,3.99161279642273126,4.07421924029118454,6,CHS101.6x4.0,80140.44867379286733922,0.30391604432035008
29,62,12,15,9.54425226531131976,-0.08251715500389817,12.00000000000000000,0.00000000000000000,2.45713369951627225,1,CHS42.4x2.6,-0.00000000006777813,0.00000000000000305
30,63,12,16,9.54425226531131976,-0.08251715500389817,12.00000000000000000,2.00000000000000000,3.21987183554161271,7,CHS114.3x4.5,143017.40506655393983237,0.42853441708943130
31,65,13,14,9.30787614970623345,2.25849935221440123,9.51727900360031676,3.99161279642273126,1.74571812321309405,7,CHS114.3x4.5,25477.86082252543201321,0.07634133923200311
32,70,14,16,9.51727900360031676,3.99161279642273126,12.00000000000000000,2.00000000000000000,3.18283286976218838,7,CHS114.3x4.5,-139836.31733027572045103,0.41900267108871236
33,71,14,17,9.51727900360031676,3.99161279642273126,12.00000000000000000,4.00000000000000000,2.48273516331236621,7,CHS114.3x4.5,0.00000000002847042,0.00000000000000009
34,72,15,16,12.00000000000000000,0.00000000000000000,12.00000000000000000,2.00000000000000000,2.00000000000000000,7,CHS114.3x4.5,-179999.99999999874853529,0.53934830547513668
35,74,16,17,12.00000000000000000,2.00000000000000000,12.00000000000000000,4.00000000000000000,2.00000000000000000,9,CHS168.3x6.3,0.00000000007300204,0.00000000000000011
