candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
38,1,0.4650023941636244,0.4650023941636244,0.14684245055866665,0.30075919668545703,0.697125,0.12150900900900907,0.15,0.42857142857142855,0.058333333333333334,8,34,455434.8,929.8,17871,-0.04999999999999999,-0.9910645,5,555,0.087811741,,111,18,2,20,0.844572524677129,0.5132634091584529,3.1778077860393243,0
39,0,15.565510557964274,0.42225959538978486,0.13211563116370814,0.2857550217643133,0.692875,0.0361858974358974,0.025,0.3333333333333333,0.0125,2,39,377213.4,867,5850,0.07500000000000001,-0.997075,5,650,0.090219165,,130,6,4,5,0.48666571857266455,0.7851721056962426,1.5050023958859653,1
40,0,15.815510557964274,1.056381803908135,0.14824939857031963,0.2061384469877127,0.532875,0.09775611025641026,0,0,0.004166666666666667,1,40,24560.2,72.6,234,0.1,-0.999883,5,65,0.005864519,,13,12,14,36,0.7247555578643963,0.39099994380663783,1.0814373175187735,1
41,1,0.44881520577495426,0.44881520577495426,0.14324792243767306,0.295058980557425,0.69375,0.09864035087719296,0.2,0.36363636363636365,0.09166666666666666,14,32,252985.4,570,4085,-0.1,-0.9979575,5,475,0.108342459,,95,5,6,3,0.6859333912620114,0.92301710748382,2.755964433806252,1
42,0,15.815510557964274,0.6586997060881713,0.15404957500009175,0.22562151255068405,0.585,0.13158324166666668,0,0,0,0,40,334345.2,976.2,2600,0.1,-0.9987,5,1000,0.183807554,,200,11,20,4,0.747934866321967,0.9236987180591685,0.7807773058197713,0
43,0,15.815510557964274,0.43986468141367985,0.13773738293444326,0.24991703492673767,0.6316875,0.04939516129032255,0,0,0.0125,3,40,267703.2,517.2,7626,0.1,-0.996187,5,310,0.061461263,,62,8,3,10,0.9727386340373351,0.5055698746678093,1.2672115111022704,1
44,0,15.815510557964274,0.42958985767007213,0.13390417316403055,0.25759380134980253,0.6635625,0.03783167495854064,0,0,0,0,40,345223.6,1095.6,8241,0.1,-0.9958795,5,1005,0.096748431,,201,20,6,49,0.6691244520356298,0.4820260216178477,1.4544566513445663,1
45,1,0.7498571301381527,0.7498571301381527,0.15820307500022077,0.28643499058929917,0.636875,0.14270812083333334,0.325,0.2708333333333333,0.2,35,27,28922.4,66,1944,-0.225,-0.999028,5,40,0.006305314,,8,20,1,14,0.6369070518461375,0.7069918170151973,1.872850416400152,0
46,1,0.47110398129076325,0.47110398129076325,0.1541135865595325,0.29321822642118,0.7165625,0.13781531531531538,0.375,0.3488372093023256,0.17916666666666667,28,25,492081.4,1344.2,19795,-0.275,-0.9901025,5,925,0.194847036,,185,9,3,45,0.8438058584739521,0.8401578346647798,2.7989982955634343,0
47,0,15.815510557964274,0.4352986238094212,0.13536400854401578,0.26413589498946216,0.662125,0.04363202547169805,0,0,0,0,40,102634.6,310.4,8162,0.1,-0.995919,5,265,0.044592592,,53,13,2,55,0.8081479763060717,0.7242119735425541,1.1700079096206852,1
